# epoch 0  H=7.9971 C=8.0032 HO=-0.0034  A(t)=0
         1  ....r....F..~.a.  ffff16977203c399a346bd0f7e1a61b5
         1  ....,~.TPI..PQ.6  fffecb082c7efe545049c41750511936
         1  ..i....,......>.  fffe690780d3fa2cc2eceabdf0d63ecb
         1  ......Q.........  fffdee8b031951d69403d6a3870fd796
         1  ...._se.pE.;...z  fffcd6b25f7365957045fe3bc513b17a
         1  ..Q........r.Q#,  fffa510183ccb3bfb98fb072ce51232c
         1  ..>....J......$R  fff83e01a2d7fd4ae50fc318c6a32452
         1  ....^.p.K.T.)..`  fff7c2965ec8701f4b1154172985df60
         1  .....(....9.....  fff78ce28628c6e4d48b39b4e7fb9408
# epoch 450  H=7.9794 C=8.0032 HO=-0.0211  A(t)=0
         1  ..R[.^].1v.T~...  ffff525b945e5dff3176fe547e1bd404
         1  ....r....F..~.a.  ffff16977203c399a346bd0f7e1a61b5
         1  ....,~.TPI..PQ.6  fffecb082c7efe545049c41750511936
         1  ..i....,....._>.  fffe690780d3fa2cc2eceabdf05f3ecb
         1  ......Q..y......  fffdee8b031951d69479d6a3870fd796
         1  ...._se.pE.;...z  fffcd6b25f7365957045fe3bc513b17a
         1  ..Q........r.Q#,  fffa510183ccb3bfb98fb072ce51232c
         1  ..>....J......$R  fff83e01a2d7fd4ae50fc318c6a32452
         1  ....^.p.K.T.)..`  fff7c2965ec8701f4b1154172985df60
         1  .....(....9.....  fff78ce28628c6e4d48b39b4e7fb9408
# epoch 500  H=7.9788 C=8.0032 HO=-0.0217  A(t)=0
         1  ..R[.^].1v.T~...  ffff525b945e5dff3176fe547e1bd404
         1  ....r....F..~.a.  ffff16977203c399a346bd0f7e1a61b5
         1  ....,~.TPI..PQ.6  fffecb082c7efe545049c41750511936
         1  ..i.........._>.  fffe690780d3faa6c2eceabdf05f3ecb
         1  ......Q..y......  fffdee8b031951d69479d6a3870fd796
         1  ...._se.pE.;...z  fffcd6b25f7365957045fe3bc513b17a
         1  ..8i.....!...I$E  fffc38699cce0703e72112f39b492445
         1  ..Q........r.Q#,  fffa510183ccb3bfb98fb072ce51232c
         1  ..>....J......$R  fff83e01a2d7fd4ae50fc318c6a32452
         1  ....^.p.K.T.)..`  fff7c2965ec8701f4b1154172985df60
# epoch 550  H=7.9792 C=8.0032 HO=-0.0213  A(t)=0
         1  ..R[.^].1v.T~...  ffff525b945e5dff3176fe547e1bd404
         1  ....r....F..~.a.  ffff16977203c399a346bd0f7e1a61b5
         1  ....,~.TPI..PQ.6  fffecb082c7efe545049c41750511936
         1  ..i.........._>.  fffe690780d3faa6c2eceabdf05f3ecb
         1  ......Q..y......  fffdee8b031951d69479d6a3870fd796
         1  ...._se.pE.;...z  fffcd6b25f7365977045fe3b2e13b17a
         1  ..8i.....!...I$E  fffc38699cce0703e72112f39b492445
         1  ..Q........r.Q#,  fffa510183ccb3bfb98fb072ce51232c
         1  ..>....J......$R  fff83e01a2d7fd4ae50fc318c6a32452
         1  ....^.p.K.T.)..`  fff7c2965ec8701f4b1154172985df60
# epoch 600  H=7.9787 C=8.0027 HO=-0.0218  A(t)=0
         1  ..R[.^].1v.T~...  ffff525b945e5dff3176b6547e1bd404
         1  ....r....F....a.  ffff16977203c399a346bd0fd11a61b5
         1  ....,~.TPI..PQ.6  fffecb082c7efe545049c41750511936
         1  ..i.........._>.  fffe690780d3faa6c2eceabdf05f3ecb
         1  ......Q..y......  fffdee8b031951d69479d6a3870fd796
         1  ...._se.)E.;...z  fffcd6b25f7365972945fe3b2e13b17a
         1  ..8i.....!...I$E  fffc38699cce0703e72112f3ee492445
         1  ..Q........r.Q#,  fffa510183ccb3bfb98fb072ce51232c
         1  ..>....J......$R  fff83e01a2d7fd4ae50fc318c6a32452
         1  ....^.p.K.T....`  fff7c2965ec8701f4b1154171e85df60
# epoch 650  H=7.9779 C=8.0022 HO=-0.0226  A(t)=0
         1  ..R[.^].1v.T~...  ffff525b945e5dff3176b6547e1bd404
         1  ....r....F....a.  ffff16977203c399a346bd0fd11a61b5
         1  ....,~.TPI..PQ.6  fffecb082c7efe545049c41750511936
         1  ..i.........._>.  fffe690780d3faa6c2eceabdf05f3ecb
         1  ......Q..y......  fffdee8b031951d69479d6a3870fd796
         1  ...._se.)E.;...z  fffcd6b25f7365972945fe3b2e13b17a
         1  ..8i.....!...I$E  fffc38699cce0703e72112f3ee492445
         1  ..Q........r.Q#,  fffa510183ccb3bfb98fb072ce51232c
         1  ..>....J......$R  fff83e01a2d7fd4ae50fc318c6a32452
         1  ....^.p.K.T....`  fff7c2965ec8701f4b1154171e85df60
# epoch 700  H=7.9777 C=8.0021 HO=-0.0228  A(t)=0
         1  ..R[.^].1v.T~...  ffff525b945e5dff3176b6547e1bd404
         1  ....r....F....a.  ffff16977203c399a346b80fd11a61b5
         1  ....,~.TPI..PQ.6  fffecb082c7efe545049c41750511936
         1  ..i.........._>.  fffe690780d3d9a6c2eceabdf05f3ecb
         1  ......Q..y......  fffdee8b031951d69479d6a3870fd796
         1  ...._se.)E.;...z  fffcd6b25f7365972945fe3b2e13b17a
         1  ..8i.....!...I$E  fffc38699cce0703e72112f3ee492445
         1  ..Q........r.Q.,  fffa510183ccb3bfb98fb072ce519e2c
         1  ..>....J......$R  fff83e01a2d7fd4ae50fc318c6a32452
         1  ....^.p.K.T....`  fff7c2965ec8701f4b1154171e85df60
# epoch 750  H=7.9784 C=8.0023 HO=-0.0221  A(t)=0
         1  ..R[.^].1v.T~...  ffff525b945e5dff3176b6547e1bd404
         1  ....r....F....a.  ffff16977203c399a346b80fd11a61b5
         1  ....,~.TPI..PQ..  fffecb082c7efe545049c417505119b4
         1  ..i.........._>.  fffe690780d3d9a6c2eceabdf05f3ecb
         1  ......Q..y......  fffdee8b031951d69479d6a3870fd796
         1  ...._se.)E.;...z  fffcd6b25f7365972945fe3b2e13b17a
         1  ..8i.....!...I$.  fffc38699cce0785e72112f3ee4924ba
         1  ..Q........r.Q.,  fffa510183ccb3bfb98fb072ce519e2c
         1  ..>....J......$R  fff83e01a2d7e74ae50fc318c6a32452
         1  ......p.K.T....`  fff7c29698c8701f4b1154171e85df60
# epoch 800  H=7.9786 C=8.0028 HO=-0.0219  A(t)=0
         1  ..R[.^].1v.T~...  ffff525b945e5dff3176b6547e1bd404
         1  ....r....F....a.  ffff16977203c399a346b80fd11a61b5
         1  ....,~.TPI..PQ..  fffecb082c7efe545049c417505119b4
         1  ..i.........._>.  fffe690780d3d9a6c2eceabdf05f3ecb
         1  ......Q..y......  fffdee8b031951d69479d6a3870fd796
