epoch,wall_s,sim_s,entropy_bits,zlib_bits,high_order_entropy,mean_steps,frac_copy_runs,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t
9000,10.899,9.866,7.521392,7.37085,0.150542,573.9746,0.844336,0.056426,0.818076,0.125498,102400,58775000,3211,57505,1,83
9200,11.14,10.087,7.559845,7.445557,0.114288,539.8994,0.836016,0.052314,0.81584,0.131846,102400,55285701,3198,57859,6,86
9400,11.366,10.293,7.555052,7.401733,0.153319,556.57,0.848711,0.054102,0.837432,0.108467,102400,56992766,3128,57413,4,87
9600,11.6,10.507,7.583087,7.427734,0.155353,572.7606,0.839248,0.05585,0.832734,0.111416,102400,58650688,3283,57572,2,89
9800,11.847,10.735,7.591488,7.417969,0.17352,569.3504,0.831855,0.055586,0.815439,0.128975,102400,58301476,3192,57519,4,92
10000,12.075,10.943,7.603005,7.385742,0.217263,596.5215,0.82707,0.058584,0.803096,0.13832,102400,61083801,3112,57271,5,92
10200,12.336,11.184,7.621726,7.412842,0.208884,557.7389,0.833662,0.054111,0.803662,0.142227,102400,57112468,3090,57374,6,93
10400,12.547,11.375,7.607315,7.377441,0.229873,516.5844,0.807617,0.049316,0.773691,0.176992,102400,52898247,3157,57161,7,95
10600,12.761,11.571,7.587187,7.342163,0.245024,542.7797,0.771143,0.053262,0.730225,0.216514,102400,55580638,3112,57102,6,95
10800,12.978,11.769,7.597185,7.310181,0.287005,541.7802,0.777275,0.053076,0.742715,0.204209,102400,55478291,3142,56938,4,95
11000,13.193,11.964,7.611335,7.308472,0.302863,493.6556,0.790957,0.046943,0.75125,0.201807,102400,50550338,3140,56962,6,97
11200,13.393,12.145,7.626855,7.240234,0.386621,456.2266,0.806904,0.041855,0.792529,0.165615,102400,46717605,3195,56428,8,98
11400,13.598,12.33,7.591772,7.265137,0.326636,433.3599,0.817783,0.038604,0.82334,0.138057,102400,44376054,3213,56929,12,102
11600,13.789,12.501,7.606766,7.286987,0.319779,409.1398,0.833584,0.035752,0.846787,0.117461,102400,41895916,3163,56952,13,104
