# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       487  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       152  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       111  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       108  iiiiiiiiiiiiiiii  69696969696969696969696969696969
       106  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       103  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       100  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        94  XXXXXXXXXXXXXXXX  58585858585858585858585858585858
# epoch 2000  H=7.8521 C=7.6581 HO=0.1271  A(t)=255
       653  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       485  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       390  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       119  ................  e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4
       100  kkkkkkkkkkkkkkkk  6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b
        98  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
        95  ................  d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
        92  ((((((((((((((((  28282828282828282828282828282828
        91  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        90  """"""""""""""""  22222222222222222222222222222222
# epoch 2250  H=7.8462 C=7.6469 HO=0.1313  A(t)=268
       731  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       654  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       453  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       300  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       158  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       127  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
       122  ))))))))))))))))  29292929292929292929292929292929
       109  ................  ffffffffffffffffffffffffffffffff
       109  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       103  ................  c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4
# epoch 2500  H=7.8359 C=7.6258 HO=0.1401  A(t)=283
       590  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
