# epoch 0  H=7.9949 C=7.9678 HO=0.0271  A(t)=0
# epoch 60  H=6.0670 C=0.3577 HO=5.7093  A(t)=291
      1014  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
      1013  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1012  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1012  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
      1011  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1011  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1011  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1011  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1011  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1011  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
# epoch 70  H=6.0198 C=0.3209 HO=5.6989  A(t)=303
      1031  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1031  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1031  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1031  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1031  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
      1030  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1030  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1030  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1029  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1029  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
# epoch 80  H=5.9731 C=0.3135 HO=5.6596  A(t)=314
      1057  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1056  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1056  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1056  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1056  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
      1055  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1055  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1055  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1055  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1055  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
# epoch 90  H=5.8951 C=0.3202 HO=5.5749  A(t)=330
      1066  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1065  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1065  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1064  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1064  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1064  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1064  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
      1062  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1061  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1061  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
# epoch 100  H=5.8892 C=0.2953 HO=5.5939  A(t)=362
      1070  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1070  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1067  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1067  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1066  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1066  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
      1055  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1053  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1053  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1052  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
# epoch 110  H=5.8982 C=0.3087 HO=5.5895  A(t)=385
      1062  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1062  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1062  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1061  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1061  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1061  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1061  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
      1048  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1047  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1047  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
# epoch 120  H=5.9305 C=0.3221 HO=5.6083  A(t)=389
      1043  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1042  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1042  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1042  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
      1041  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1040  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
      1040  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1039  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1039  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1038  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
# epoch 130  H=5.9078 C=0.3046 HO=5.6032  A(t)=397
      1065  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
      1060  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1056  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1056  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1054  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1053  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
