epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
1550,43.718,31.956,7.989911,7.908203,0.081708,7.953751,7.899994,0.089917,619.8736,0.433994,0.884556,96.181,0.066587,0.376748,0.556665,204800,126950116,6226,463247,60,132,60,132
1600,45.09,32.962,7.989803,7.907745,0.082058,7.955627,7.900024,0.089779,616.6748,0.430288,0.884817,92.9548,0.066113,0.372627,0.56126,204800,126295008,6257,463241,62,136,62,136
1650,46.546,34.048,7.989415,7.906845,0.08257,7.957047,7.897079,0.092336,613.7395,0.431729,0.88406,95.7311,0.065801,0.372642,0.561558,204800,125693843,6332,463111,68,139,68,139
1700,47.952,35.059,7.989006,7.90062,0.088387,7.949875,7.891647,0.097359,621.6646,0.431333,0.885739,94.4705,0.06665,0.372412,0.560938,204800,127316907,6174,462884,69,139,69,139
1750,49.348,36.08,7.988997,7.900421,0.088575,7.950836,7.892868,0.096129,631.0691,0.427871,0.887962,95.3304,0.067803,0.369927,0.562271,204800,129242958,6166,463076,64,141,64,141
1800,50.772,37.13,7.988816,7.902145,0.086671,7.952713,7.894302,0.094514,619.5017,0.427529,0.886476,94.6968,0.066587,0.367314,0.566099,204800,126873958,6345,463253,63,142,63,142
1850,52.259,38.225,7.988749,7.904739,0.084009,7.956924,7.895767,0.092981,628.7531,0.424106,0.888855,96.2505,0.067632,0.365713,0.566655,204800,128768630,6202,463398,65,144,65,144
1900,53.689,39.288,7.988539,7.905807,0.082732,7.953903,7.896408,0.092131,637.2121,0.423794,0.890384,100.0285,0.06874,0.364253,0.567007,204800,130501035,6346,463442,61,145,61,145
1950,55.108,40.337,7.988212,7.905792,0.08242,7.958893,7.895721,0.09249,633.7442,0.427651,0.890067,101.6928,0.068442,0.363306,0.568252,204800,129790819,6235,463490,64,151,64,151
2000,56.512,41.381,7.987749,7.904388,0.083361,7.957306,7.89476,0.092989,633.5913,0.425259,0.890944,101.4374,0.068438,0.357666,0.573896,204800,129759491,6276,463487,65,151,65,151
2050,57.845,42.356,7.987391,7.908585,0.078806,7.959152,7.895203,0.092188,622.1126,0.425195,0.889125,97.6513,0.066953,0.357319,0.575728,204800,127408652,6291,463505,64,151,64,151
2100,59.282,43.395,7.986923,7.905777,0.081146,7.95607,7.892883,0.094039,616.7416,0.426782,0.888405,94.1661,0.066343,0.357583,0.576074,204800,126308672,6266,463474,66,153,66,153
