# epoch 0  H=7.9996 C=8.0025 HO=-0.0004  A(t)=0
        36  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
# epoch 400  H=7.9965 C=7.9412 HO=0.0589  A(t)=61
       352  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       124  gggggggggggggggg  67676767676767676767676767676767
        89  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        78  ................  ffffffffffffffffffffffffffffffff
        49  IIIIIIIIIIIIIIII  49494949494949494949494949494949
        48  ................  f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2
        47  ________________  20202020202020202020202020202020
        44  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        36  ................  fafafafafafafafafafafafafafafafa
        36  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
# epoch 450  H=7.9963 C=7.9409 HO=0.0572  A(t)=64
       297  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        91  gggggggggggggggg  67676767676767676767676767676767
        78  ................  ffffffffffffffffffffffffffffffff
        70  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        47  xxxxxxxxxxxxxxxx  78787878787878787878787878787878
        46  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        43  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        40  IIIIIIIIIIIIIIII  49494949494949494949494949494949
        36  ................  fafafafafafafafafafafafafafafafa
        35  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 500  H=7.9961 C=7.9382 HO=0.0585  A(t)=70
       270  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        77  gggggggggggggggg  67676767676767676767676767676767
        70  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        62  ................  ffffffffffffffffffffffffffffffff
        49  ................  88888888888888888888888888888888
        47  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        47  xxxxxxxxxxxxxxxx  78787878787878787878787878787878
        46  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        38  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
        36  ................  fafafafafafafafafafafafafafafafa
# epoch 550  H=7.9958 C=7.9381 HO=0.0594  A(t)=72
       218  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        67  gggggggggggggggg  67676767676767676767676767676767
        62  ................  ffffffffffffffffffffffffffffffff
        61  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
