# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  .......8~.H.Db,<  fffff9aac99bcc387ebc48fd44622c3c
         1  ...b..Ge.R...q,+  fffff86217dd47658652b1981f712c2b
         1  ...............M  ffffec1ea3a7d8fa028ac1b1f19cf64d
         1  ......._.....Fk.  ffffbdabe2821420e8af08ef0e466bcd
         1  .....k...k.42.W.  ffffba99026b18b1b56b803432d857a4
         1  ...^0.Y.....nd:&  ffffa35e30ea59ba84b1e1c66e643a26
         1  ......H.....x..8  ffffa0c00cdf48989cf3f4e078dfcd38
         1  ...;............  ffff9d3b17c415c1ab85f0c2f5d7948f
         1  ....._.(.K..r.M=  ffff99ffff209a28ff4ba2eb72eb4d3d
         1  ......WR........  ffff820393d25752adb3a99ffe17e10a
# epoch 250  H=7.9860 C=7.8713 HO=0.0846  A(t)=0
       452  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       149  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       141  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        89  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        75  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
        66  ................  b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7
        62  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        59  ................  17171717171717171717171717171717
        58  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        58  gggggggggggggggg  67676767676767676767676767676767
# epoch 500  H=7.9620 C=7.8191 HO=0.0894  A(t)=0
       353  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       222  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       189  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       141  ................  cdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcd
       104  ________________  20202020202020202020202020202020
       100  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        98  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        85  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        78  DDDDDDDDDDDDDDDD  44444444444444444444444444444444
        69  ................  84848484848484848484848484848484
# epoch 750  H=7.9302 C=7.7523 HO=0.1134  A(t)=0
       567  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       482  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       183  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       172  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
       121  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       110  ................  06060606060606060606060606060606
       107  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
        83  ................  e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
        79  wwwwwwwwwwwwwwww  77777777777777777777777777777777
        79  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
# epoch 1000  H=7.9008 C=7.7107 HO=0.1228  A(t)=0
       456  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       405  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       371  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       163  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       134  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
       125  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       122  ................  01010101010101010101010101010101
       100  ................  85858585858585858585858585858585
        92  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        92  KKKKKKKKKKKKKKKK  4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b
# epoch 1250  H=7.8746 C=7.6664 HO=0.1377  A(t)=211
       573  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
