epoch,wall_s,sim_s,entropy_bits,zlib_bits,high_order_entropy,mean_steps,frac_copy_runs,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t
0,0.052,0.0,7.997125,8.003174,-0.006049,0.0,0.0,0.0,0.0,0.0,0,0,0,58368,0,0
20,0.1,0.025,7.995832,7.955444,0.040387,565.2263,0.52207,0.05293,0.641797,0.305273,10240,5787917,333,57938,0,0
40,0.135,0.042,7.994476,7.878418,0.116058,546.0102,0.52041,0.050586,0.636328,0.313086,10240,5591144,310,57363,0,0
60,0.17,0.058,7.992994,7.842529,0.150464,543.0887,0.510059,0.050488,0.625586,0.323926,10240,5561228,348,57125,0,0
80,0.208,0.075,7.992606,7.833984,0.158622,537.0165,0.516699,0.051172,0.627637,0.321191,10240,5499049,307,57085,0,0
100,0.242,0.092,7.991413,7.794678,0.196735,529.6446,0.513672,0.050684,0.615332,0.333984,10240,5423561,306,56831,11,11
120,0.277,0.108,7.990159,7.769043,0.221116,489.642,0.503809,0.04668,0.613477,0.339844,10240,5013934,313,56682,25,25
140,0.351,0.141,7.988925,7.731445,0.257479,530.786,0.506836,0.052539,0.615234,0.332227,10240,5435249,321,56494,30,32
160,0.428,0.177,7.98493,7.663818,0.321112,520.8563,0.50791,0.050488,0.616211,0.333301,10240,5333569,289,56002,32,34
180,0.511,0.21,7.983906,7.658447,0.325459,528.4555,0.505371,0.05166,0.621582,0.326758,10240,5411384,285,56003,37,39
200,0.583,0.242,7.983445,7.643433,0.340012,542.0509,0.496484,0.054004,0.62959,0.316406,10240,5550601,322,55983,41,43
220,0.631,0.273,7.980586,7.612915,0.367671,528.3128,0.498145,0.052148,0.628418,0.319434,10240,5409923,298,55782,48,51
240,0.666,0.289,7.980144,7.588623,0.391521,549.8406,0.495703,0.054492,0.632422,0.313086,10240,5630368,337,55676,52,55
260,0.701,0.306,7.977718,7.563477,0.414241,556.7006,0.488184,0.055176,0.633008,0.311816,10240,5700614,298,55517,53,56
280,0.735,0.323,7.977028,7.549316,0.427712,539.9357,0.488867,0.053418,0.630078,0.316504,10240,5528942,311,55448,57,60
300,0.77,0.339,7.975262,7.546631,0.428631,524.9444,0.485449,0.051465,0.626855,0.32168,10240,5375431,321,55486,58,61
320,0.805,0.356,7.974805,7.542725,0.43208,530.2713,0.490723,0.052734,0.625098,0.322168,10240,5429978,310,55561,63,66
340,0.84,0.372,7.974196,7.544922,0.429275,553.1905,0.493457,0.055371,0.618945,0.325684,10240,5664671,330,55655,65,68
360,0.892,0.393,7.973305,7.556763,0.416542,555.6871,0.504297,0.055762,0.607812,0.336426,10240,5690236,333,55786,67,70
380,0.968,0.429,7.971555,7.536377,0.435178,539.6599,0.491699,0.053906,0.604688,0.341406,10240,5526117,302,55720,66,70
400,1.036,0.459,7.967425,7.527344,0.440081,534.0318,0.485938,0.05293,0.609082,0.337988,10240,5468486,315,55690,65,71
420,1.107,0.494,7.967514,7.535034,0.43248,547.9478,0.489062,0.055078,0.606348,0.338574,10240,5610985,301,55779,66,72
440,1.179,0.527,7.966005,7.545898,0.420106,557.0595,0.505371,0.056055,0.607422,0.336523,10240,5704289,334,55885,65,72
460,1.257,0.56,7.963922,7.535278,0.428643,529.3822,0.512695,0.052832,0.60791,0.339258,10240,5420874,271,55856,65,73
480,1.329,0.593,7.957919,7.517212,0.440707,567.2758,0.520508,0.056836,0.615332,0.327832,10240,5808904,283,55762,61,73
500,1.401,0.626,7.956185,7.515137,0.441048,553.5242,0.511035,0.055469,0.620801,0.32373,10240,5668088,323,55748,62,74
520,1.474,0.659,7.95455,7.505371,0.449179,550.1671,0.506348,0.055176,0.614453,0.330371,10240,5633711,316,55763,60,74
