epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,copies_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive,distinct_tapes,distinct_labels
0,1.415,0.0,7.999913,8.000019,-0.000106,8.000019,8.002464,-0.002551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1867776,0,0,0,0,32768,
250,15.833,13.266,7.996171,7.923466,0.072706,7.967751,7.906982,0.089189,751.2924,0.518535,0.869867,100.2428,6.1048,0.078986,0.607049,0.313965,4096000,3077293598,128208,1854060,0,0,0,0,32768,
500,31.151,27.532,7.992677,7.908562,0.084115,7.96077,7.877586,0.11509,798.5072,0.525872,0.881708,122.8791,7.088,0.085718,0.574306,0.339977,4096000,3270685667,128354,1853893,0,0,0,0,32768,
750,46.232,41.433,7.989248,7.893604,0.095644,7.960274,7.858932,0.130316,791.226,0.535512,0.882894,126.2827,7.359,0.085113,0.556212,0.358676,4096000,3240861562,128031,1854495,0,0,0,0,32768,
1000,60.98,55.137,7.986313,7.882664,0.103649,7.957691,7.842339,0.143974,790.1609,0.542707,0.88448,132.9476,7.9982,0.085285,0.541298,0.373416,4096000,3236499023,127805,1854598,0,0,0,0,32768,
1250,75.912,68.977,7.983343,7.87603,0.107313,7.956562,7.836609,0.146734,788.085,0.549349,0.885179,134.5211,7.8106,0.085159,0.534733,0.380109,4096000,3227996071,127971,1855247,193,193,193,193,32768,
1500,90.984,82.869,7.981216,7.86797,0.113247,7.950462,7.823013,0.158203,781.0459,0.554321,0.884755,137.2618,8.2752,0.084356,0.530728,0.384916,4096000,3199164117,128705,1854447,202,206,202,206,32768,
1750,106.34,96.854,7.978163,7.860996,0.117166,7.94709,7.815697,0.162466,784.6614,0.549998,0.886649,141.7982,8.5249,0.084896,0.520748,0.394356,4096000,3213973200,127376,1854696,197,210,197,210,32768,
2000,121.429,110.682,7.975543,7.858746,0.116797,7.943985,7.810165,0.165377,787.52,0.55528,0.887595,149.6921,10.2525,0.085336,0.515539,0.399125,4096000,3225682051,128017,1855171,194,220,194,220,32768,
2250,136.534,124.458,7.973479,7.858067,0.115413,7.94516,7.808758,0.164722,793.9592,0.563033,0.888867,154.9575,10.6131,0.086125,0.512837,0.401039,4096000,3252057056,127986,1855551,185,223,185,223,32768,
2500,151.978,138.625,7.971095,7.852554,0.118541,7.940792,7.803368,0.167727,800.3221,0.563799,0.890214,159.5894,10.3848,0.086979,0.509951,0.40307,4096000,3278119145,128111,1855281,185,229,185,229,32768,
2750,167.244,152.61,7.968992,7.837223,0.131769,7.93198,7.791039,0.177954,790.7493,0.567798,0.888889,164.5191,10.2858,0.085767,0.509809,0.404424,4096000,3238909188,127953,1854059,180,233,180,233,32768,
3000,182.439,166.581,7.968122,7.835205,0.132917,7.926495,7.784309,0.183813,775.2826,0.565077,0.887137,161.0762,10.3766,0.083917,0.507294,0.408789,4096000,3175557391,127994,1853925,183,237,183,237,32768,
3250,197.53,180.382,7.966302,7.832592,0.13371,7.926258,7.776363,0.189939,769.5147,0.566496,0.88671,158.2251,10.7172,0.083273,0.504659,0.412068,4096000,3151932333,128104,1853984,185,240,185,240,32768,
3500,212.448,194.105,7.964131,7.824299,0.139833,7.921894,7.769699,0.194432,763.7057,0.568992,0.886108,155.4923,10.4631,0.08254,0.50278,0.41468,4096000,3128138578,128114,1853687,188,243,188,243,32768,
3750,227.55,207.941,7.962838,7.820335,0.142503,7.921234,7.765865,0.196973,768.8669,0.574977,0.886521,159.2446,10.4935,0.083175,0.505402,0.411422,4096000,3149278901,127701,1853623,197,247,197,247,32768,
4000,242.824,221.947,7.96085,7.810452,0.150398,7.914757,7.755165,0.205685,783.1021,0.574981,0.889286,163.8223,9.941,0.084967,0.499542,0.415491,4096000,3207586285,127393,1852303,205,250,205,250,32768,
4250,258.234,236.026,7.959022,7.808529,0.150493,7.913857,7.752666,0.206356,782.754,0.574604,0.890011,166.9335,9.7597,0.08501,0.493868,0.421121,4096000,3206160503,128653,1853308,195,251,195,251,32768,
4500,273.385,249.935,7.957715,7.80508,0.152635,7.910126,7.749165,0.20855,769.0585,0.576287,0.888672,165.5384,10.4186,0.083426,0.490495,0.426079,4096000,3150063759,127807,1853356,191,252,191,252,32768,
4750,288.416,263.657,7.955211,7.79887,0.156341,7.906487,7.743118,0.212093,758.606,0.576237,0.887923,167.4175,10.4058,0.082199,0.48617,0.43163,4096000,3107250285,127714,1853052,193,254,193,254,32768,
5000,303.542,277.484,7.953497,7.798355,0.155141,7.908665,7.742817,0.21068,771.9,0.57554,0.88993,169.002,11.8133,0.083833,0.485102,0.431065,4096000,3161702240,128323,1853653,198,255,198,255,32768,
5250,318.565,291.395,7.953253,7.801258,0.151995,7.908512,7.745003,0.208251,779.1109,0.575067,0.890984,170.9152,11.9475,0.084713,0.482026,0.433261,4096000,3191238369,128146,1854303,196,256,196,256,32768,
5500,333.468,305.255,7.953569,7.793579,0.15999,7.89954,7.736164,0.217405,778.7548,0.574159,0.891232,171.7505,11.9132,0.084665,0.479162,0.436174,4096000,3189779670,127619,1852441,194,257,194,257,32768,
5750,348.443,319.138,7.951783,7.78978,0.162004,7.897625,7.733463,0.21832,783.4008,0.570513,0.892761,168.4242,12.782,0.085292,0.471462,0.443246,4096000,3208809831,128012,1852967,200,257,200,257,32768,
6000,363.504,333.078,7.951057,7.788952,0.162105,7.899799,7.733437,0.21762,791.1379,0.574758,0.893529,168.0734,12.9014,0.086212,0.474684,0.439104,4096000,3240500870,127506,1853174,203,257,203,257,32768,
6250,379.253,347.621,7.949389,7.788548,0.160841,7.896839,7.727848,0.221541,806.1596,0.577995,0.896029,174.6802,13.445,0.088139,0.470789,0.441072,4096000,3302029908,128477,1852555,205,257,205,257,32768,
6500,394.875,362.079,7.948912,7.78791,0.161001,7.894482,7.725971,0.222941,798.1172,0.578683,0.895477,172.055,13.0535,0.087189,0.467957,0.444854,4096000,3269088221,128409,1853429,208,257,208,257,32768,
6750,410.23,376.291,7.94689,7.78075,0.166139,7.890484,7.720573,0.226316,794.9944,0.582086,0.894994,172.0661,12.5573,0.086773,0.467693,0.445534,4096000,3256296883,127909,1852497,207,257,207,257,32768,
