epoch,wall_s,sim_s,entropy_bits,zlib_bits,high_order_entropy,mean_steps,frac_copy_runs,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t
2300,7.91,6.452,3.58903,2.862305,0.726725,351.8722,0.790078,0.025508,0.927812,0.04668,51200,18015859,789,24868,286,386
2350,8.042,6.539,3.394505,2.730713,0.663792,310.8153,0.786387,0.021777,0.935332,0.042891,51200,15913744,762,23593,282,387
2400,8.177,6.627,3.323101,2.68103,0.64207,322.2507,0.771777,0.022598,0.935391,0.042012,51200,16499237,772,22877,289,389
2450,8.312,6.715,3.355775,2.681519,0.674257,322.1049,0.788594,0.022656,0.937754,0.03959,51200,16491772,759,23642,290,391
2500,8.442,6.801,3.192459,2.507935,0.684525,287.3736,0.79668,0.01748,0.940703,0.041816,51200,14713526,767,21879,290,394
2550,8.573,6.882,2.977111,2.407227,0.569885,242.9799,0.79627,0.012207,0.948184,0.039609,51200,12440572,792,20135,278,394
2600,8.707,6.966,2.843756,2.311279,0.532476,244.7067,0.822656,0.011582,0.94916,0.039258,51200,12528984,804,19318,280,394
2650,8.831,7.044,2.610354,2.124268,0.486087,214.5008,0.830215,0.007812,0.956133,0.036055,51200,10982441,813,18278,278,394
2700,8.954,7.12,2.498891,2.046143,0.452748,211.6761,0.816895,0.008066,0.950605,0.041328,51200,10837814,771,17717,280,394
2750,9.079,7.197,2.495285,2.049805,0.44548,214.3935,0.798418,0.00834,0.952207,0.039453,51200,10976949,789,17885,276,394
2800,9.206,7.274,2.408883,2.02124,0.387643,210.2254,0.803008,0.007793,0.954551,0.037656,51200,10763541,794,16939,280,400
2850,9.331,7.35,2.423724,2.016479,0.407245,205.6983,0.786855,0.007598,0.953535,0.038867,51200,10531754,790,16995,273,400
2900,9.457,7.427,2.425902,2.033447,0.392455,201.2013,0.779648,0.006934,0.953496,0.03957,51200,10301506,765,17569,275,403
2950,9.584,7.503,2.358088,1.977295,0.380793,200.5272,0.816562,0.006719,0.959785,0.033496,51200,10266993,771,16919,293,413
3000,9.713,7.58,2.209356,1.863281,0.346075,218.2705,0.813848,0.009629,0.958047,0.032324,51200,11175448,774,16289,301,418
3050,9.84,7.657,2.13282,1.773071,0.359749,217.1056,0.794316,0.009844,0.966621,0.023535,51200,11115806,801,15360,293,418
3100,9.993,7.743,2.118957,1.81665,0.302306,182.88,0.783691,0.00543,0.973809,0.020762,51200,9363455,734,15512,297,425
3150,10.12,7.818,2.114866,1.816528,0.298338,167.7019,0.795898,0.003516,0.975488,0.020996,51200,8586338,762,15850,300,426
3200,10.264,7.907,1.952776,1.714478,0.238298,161.7629,0.786543,0.003633,0.978438,0.01793,51200,8282263,800,15042,303,441
3250,10.388,7.979,1.894678,1.651978,0.2427,156.486,0.79707,0.002656,0.982559,0.014785,51200,8012081,741,14182,296,444
3300,10.517,8.052,1.833431,1.581543,0.251888,154.7552,0.79709,0.002129,0.987266,0.010605,51200,7923465,789,14213,291,444
3350,10.641,8.125,1.724651,1.517944,0.206707,156.0707,0.822168,0.001973,0.990059,0.007969,51200,7990818,807,13972,294,457
3400,10.765,8.196,1.738213,1.519409,0.218803,153.7064,0.822598,0.001738,0.988711,0.009551,51200,7869768,760,14087,290,459
3450,10.889,8.268,1.754081,1.517822,0.236258,156.4912,0.80457,0.002129,0.988223,0.009648,51200,8012348,779,13863,289,467
3500,11.015,8.341,1.60051,1.419922,0.180588,153.1594,0.813223,0.001953,0.987949,0.010098,51200,7841760,712,11964,285,467
3550,11.142,8.414,1.597634,1.419434,0.178201,150.8704,0.816172,0.00166,0.986191,0.012148,51200,7724562,804,11923,285,476
3600,11.264,8.484,1.613859,1.387085,0.226774,153.4827,0.832988,0.001875,0.988066,0.010059,51200,7858314,714,11590,292,486
3650,11.391,8.556,1.52316,1.373047,0.150113,164.3902,0.839805,0.003828,0.987773,0.008398,51200,8416779,767,11445,288,486
3700,11.517,8.628,1.471663,1.31543,0.156233,161.7622,0.852598,0.003887,0.992012,0.004102,51200,8282223,809,10680,291,489
3750,11.641,8.699,1.33309,1.208008,0.125083,162.558,0.869688,0.003945,0.991309,0.004746,51200,8322969,813,8760,288,489
3800,11.777,8.783,1.414843,1.277344,0.137499,150.7572,0.862539,0.0025,0.992012,0.005488,51200,7718771,791,9348,280,490
3850,11.898,8.852,1.414175,1.293823,0.120352,150.8195,0.845508,0.00252,0.992871,0.004609,51200,7721956,776,9818,276,491
3900,12.019,8.922,1.356617,1.256836,0.099781,150.149,0.846445,0.002402,0.993242,0.004355,51200,7687628,787,9910,295,515
3950,12.137,8.991,1.497073,1.369873,0.1272,138.6869,0.841777,0.000977,0.99293,0.006094,51200,7100769,813,11688,300,526
4000,12.256,9.06,1.538827,1.400024,0.138803,138.0779,0.832363,0.000898,0.992266,0.006836,51200,7069588,744,11919,301,529
4050,12.377,9.13,1.562607,1.411377,0.15123,146.3451,0.835605,0.001934,0.992168,0.005898,51200,7492871,837,12216,294,529
4100,12.499,9.201,1.627355,1.450928,0.176428,149.5569,0.824414,0.002285,0.992051,0.005664,51200,7657312,800,12333,296,540
4150,12.624,9.271,1.450854,1.34668,0.104174,138.3588,0.831582,0.000859,0.994355,0.004785,51200,7083970,806,11523,297,545
4200,12.745,9.339,1.40855,1.33606,0.07249,130.1361,0.823574,0.0,0.997598,0.002402,51200,6662970,844,12223,313,560
4250,12.867,9.408,1.327059,1.271851,0.055208,129.5908,0.80957,0.0,0.997129,0.002871,51200,6635051,769,10846,309,570
4300,12.989,9.476,1.264439,1.212158,0.052281,129.2579,0.810898,0.0,0.99916,0.00084,51200,6618005,811,10404,299,570
4350,13.113,9.544,1.252763,1.162964,0.089799,128.9143,0.813262,0.0,0.998711,0.001289,51200,6600412,785,9725,305,578
4400,13.237,9.613,1.233743,1.18103,0.052713,128.8672,0.816777,0.0,0.997969,0.002031,51200,6598002,809,9804,309,586
4450,13.361,9.681,1.121666,1.11499,0.006676,128.8169,0.833945,0.0,0.997051,0.002949,51200,6595427,776,8422,300,591
4500,13.482,9.749,1.123263,1.103394,0.019869,128.9148,0.828965,0.0,0.998652,0.001348,51200,6600440,778,8624,302,596
4550,13.605,9.817,1.155184,1.122192,0.032991,128.9983,0.82125,0.0,0.999961,3.9e-05,51200,6604715,747,8729,281,603
4600,13.724,9.884,1.1201,1.082153,0.037946,129.0131,0.821953,2e-05,0.996719,0.003262,51200,6605473,792,8612,276,607
4650,13.851,9.957,1.174345,1.148071,0.026274,128.8955,0.82209,0.0,0.995684,0.004316,51200,6599448,772,9245,274,608
4700,13.975,10.028,1.275368,1.192139,0.083229,128.8536,0.826758,0.0,0.997773,0.002227,51200,6597306,750,10230,271,608
4750,14.098,10.096,1.212251,1.216064,-0.003813,128.8584,0.837402,0.0,0.997754,0.002246,51200,6597552,799,9843,277,612
4800,14.223,10.165,1.187405,1.167236,0.020169,128.9298,0.836582,0.0,0.99877,0.00123,51200,6601207,827,9556,303,645
4850,14.345,10.232,1.155997,1.124023,0.031973,128.749,0.831621,0.0,0.996094,0.003906,51200,6591948,816,9243,298,650
