# epoch 0  H=7.9968 C=8.0032 HO=-0.0064  A(t)=0
         1  ..[.v.......d...  ffff5bbd761690e0f415bd946402bdd4
         1  ..Ss.9w..6..i6.9  fffe5373ae39778c0336fe936936a239
         1  ..o".{!...R..-.b  fffd6f22c87b21cbc1b652af842ddc62
         1  ..J&.A]..3..vjF.  fffd4a26e1415df18f33f31b766a46b0
         1  ..;M.W...Q..b#9.  fffd3b4d9857bcf81251daaf62233989
         1  ...x;.1S._k.7...  fffc06783b993153f35f6b8937af85c1
         1  ....._H...._L.V~  fffaa1088820488a1bc0045f4c9e567e
         1  ....O..6uD.|..f_  fff9eefc4f8318367544177cf817665f
         1  ...:.M+..:*w.TF.  fff9833ac34d2bf7fd3a2a77f25446ec
         1  ....Y.PT#......S  fff88f0d591050542309b0a8a5ae1e53
# epoch 50  H=7.9888 C=7.8235 HO=0.1653  A(t)=0
       115  ................  0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a
       111  3333333333333333  33333333333333333333333333333333
        83  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
        64  ................  d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
        49  .r.r.r.r.r.r.r.r  d172d172d172d172d172d172d172d172
        49  r.r.r.r.r.r.r.r.  72d172d172d172d172d172d172d172d1
        34  ................  bfbfbfbfbfbfbfbfbfbfbfbfbfbfbfbf
        32  iiiiiiiiiiiiiiii  69696969696969696969696969696969
        17  ................  87878787878787878787878787878787
        14  ................  e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
# epoch 100  H=7.9818 C=7.6757 HO=0.3061  A(t)=0
       175  ................  19191919191919191919191919191919
        99  ................  0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a
        76  3333333333333333  33333333333333333333333333333333
        61  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
        45  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
        37  ................  d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
        36  ................  10101010101010101010101010101010
        34  ................  bfbfbfbfbfbfbfbfbfbfbfbfbfbfbfbf
        32  UvUvUvUvUvUvUvUv  55765576557655765576557655765576
        31  vUvUvUvUvUvUvUvU  76557655765576557655765576557655
# epoch 150  H=7.9756 C=7.5900 HO=0.3857  A(t)=0
       195  EEEEEEEEEEEEEEEE  45454545454545454545454545454545
        90  ................  0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a
        85  3333333333333333  33333333333333333333333333333333
        50  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
        47  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
        36  ................  10101010101010101010101010101010
        34  ................  bfbfbfbfbfbfbfbfbfbfbfbfbfbfbfbf
        24  ................  b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
        14  ................  e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
        13  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
# epoch 200  H=7.9698 C=7.4918 HO=0.4780  A(t)=0
       145  EEEEEEEEEEEEEEEE  45454545454545454545454545454545
       140  3333333333333333  33333333333333333333333333333333
