# epoch 0  H=7.9973 C=8.0032 HO=-0.0059  A(t)=0
# epoch 160  H=7.9790 C=7.7172 HO=0.2618  A(t)=24
       197  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
       184  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
       155  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
       150  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
        70  ................  eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
        44  ................  e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5
        40  ................  a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
        40  ................  01010101010101010101010101010101
        39  kkkkkkkkkkkkkkkk  6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b
        37  ................  fefefefefefefefefefefefefefefefe
# epoch 180  H=7.9747 C=7.6739 HO=0.3007  A(t)=26
       283  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       192  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
       145  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
       133  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        88  ................  02020202020202020202020202020202
        70  ................  eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
        51  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        43  ................  c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2
        40  ................  01010101010101010101010101010101
        39  ................  a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
# epoch 200  H=7.9720 C=7.6533 HO=0.3187  A(t)=29
       310  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       183  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
       181  ................  02020202020202020202020202020202
       129  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
       103  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        64  ................  eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
        48  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        42  ................  c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2
        39  kkkkkkkkkkkkkkkk  6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b
        38  ................  e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5
# epoch 220  H=7.9708 C=7.6440 HO=0.3267  A(t)=32
       270  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       182  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
       164  ................  02020202020202020202020202020202
       129  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
       102  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
       102  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
        64  ................  eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
        42  ................  c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2
        39  kkkkkkkkkkkkkkkk  6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b
        38  ................  a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
# epoch 240  H=7.9681 C=7.6262 HO=0.3419  A(t)=36
       252  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       201  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       153  ................  02020202020202020202020202020202
       150  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
       123  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        93  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        56  ................  eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
        42  ................  c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2
        40  ................  ffffffffffffffffffffffffffffffff
        36  ................  96969696969696969696969696969696
# epoch 260  H=7.9668 C=7.6190 HO=0.3478  A(t)=39
       225  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       225  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       141  ................  02020202020202020202020202020202
       132  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
       123  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        86  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        42  ................  c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2
        40  ................  eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
        39  ................  ffffffffffffffffffffffffffffffff
        36  ................  96969696969696969696969696969696
# epoch 280  H=7.9623 C=7.5975 HO=0.3648  A(t)=41
       299  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       249  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       141  ................  02020202020202020202020202020202
       123  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
       123  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
        84  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        42  ................  c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2
        40  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
        37  ................  ffffffffffffffffffffffffffffffff
        36  ................  96969696969696969696969696969696
# epoch 300  H=7.9595 C=7.5880 HO=0.3714  A(t)=43
       326  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       233  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       135  ................  02020202020202020202020202020202
       123  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
       123  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
        78  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        42  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        40  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
        39  ................  c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2
        37  ................  ffffffffffffffffffffffffffffffff
# epoch 320  H=7.9584 C=7.5858 HO=0.3725  A(t)=44
       324  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       279  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       135  ................  02020202020202020202020202020202
       116  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
       107  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
        76  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        39  ................  c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2
        37  ................  ffffffffffffffffffffffffffffffff
        33  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
        32  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
# epoch 340  H=7.9549 C=7.5652 HO=0.3897  A(t)=46
       315  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       294  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       180  ................  02020202020202020202020202020202
       116  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        98  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
        75  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        48  7777777777777777  37373737373737373737373737373737
        37  ................  ffffffffffffffffffffffffffffffff
        32  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
        29  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
# epoch 360  H=7.9502 C=7.5499 HO=0.4003  A(t)=47
       321  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       277  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       193  ................  02020202020202020202020202020202
       101  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        92  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
        74  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        48  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        43  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        37  ................  ffffffffffffffffffffffffffffffff
        32  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 380  H=7.9469 C=7.5374 HO=0.4096  A(t)=47
       302  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       241  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       227  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
       179  ................  02020202020202020202020202020202
        97  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        74  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        47  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        43  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        37  ................  ffffffffffffffffffffffffffffffff
        32  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 400  H=7.9482 C=7.5471 HO=0.4011  A(t)=48
       280  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       222  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
       220  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       169  ................  02020202020202020202020202020202
        97  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        58  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        47  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        43  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        37  ................  ffffffffffffffffffffffffffffffff
        32  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 420  H=7.9488 C=7.5582 HO=0.3905  A(t)=49
       257  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       217  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       217  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
