epoch,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
0,7.997252,8.000488,-0.003236,8.000488,8.003174,-0.005922,58368,0,0,0,0
500,7.948216,7.592773,0.355443,7.675171,7.555542,0.392674,55795,0,0,0,0
1000,7.934903,7.639771,0.295133,7.76001,7.598145,0.336759,56819,0,0,0,0
1500,7.846457,7.365845,0.480613,7.512817,7.306274,0.540183,55357,18,18,18,18
2000,7.811948,7.280273,0.531675,7.473022,7.215942,0.596006,55552,12,20,12,20
2500,7.75686,7.332764,0.424096,7.550049,7.239502,0.517358,56437,14,24,14,24
3000,7.688016,7.337646,0.35037,7.523804,7.26123,0.426786,56737,13,29,13,29
3500,7.659214,7.319824,0.33939,7.492432,7.249878,0.409336,56672,12,31,12,31
4000,7.607795,7.390747,0.217048,7.527832,7.331421,0.276374,57298,9,34,9,34
4500,7.575396,7.388428,0.186968,7.493042,7.328857,0.246538,57307,11,37,11,37
5000,7.544313,7.336792,0.207521,7.440063,7.274658,0.269655,56928,11,41,11,41
5500,7.522045,7.28418,0.237865,7.394409,7.229248,0.292797,56611,10,42,10,42
6000,7.445193,7.133545,0.311648,7.265503,7.075562,0.369631,56528,14,47,14,47
6500,7.461322,7.227051,0.234271,7.337524,7.147095,0.314227,56841,12,49,12,49
7000,7.477841,7.231323,0.246518,7.36145,7.174683,0.303158,56857,9,51,9,51
7500,7.393816,7.160156,0.233659,7.271362,7.112427,0.281389,56843,8,53,8,53
8000,7.480372,7.134155,0.346216,7.298828,7.088135,0.392237,56396,9,55,9,55
8500,7.456671,6.993652,0.463019,7.179688,6.923828,0.532843,55810,9,56,9,56
9000,7.445647,7.021118,0.424529,7.193115,6.961426,0.484221,56102,13,60,13,60
9500,7.400073,7.182861,0.217212,7.307983,7.083008,0.317065,57242,11,62,11,62
10000,7.420958,7.161255,0.259703,7.279907,7.079468,0.34149,56717,12,64,12,64
10500,7.437261,7.115723,0.321538,7.266846,7.049683,0.387578,56694,10,66,10,66
11000,7.50494,7.253662,0.251278,7.399536,7.166626,0.338314,56964,10,67,10,67
11500,7.480572,7.244019,0.236554,7.354614,7.174927,0.305646,56855,12,70,12,70
12000,7.485954,7.284912,0.201042,7.413086,7.23645,0.249504,57203,11,74,11,74
12500,7.512088,7.299438,0.21265,7.397095,7.208618,0.30347,56949,13,77,13,77
13000,7.526376,7.240112,0.286263,7.352051,7.15686,0.369515,56510,8,77,8,77
13500,7.513861,7.229004,0.284857,7.36377,7.179443,0.334418,56801,15,80,15,80
14000,7.471104,7.137817,0.333287,7.298706,7.071533,0.399571,56323,13,84,13,84
14500,7.511463,7.270386,0.241077,7.390625,7.190796,0.320667,56952,11,85,11,85
15000,7.544865,7.276611,0.268254,7.412964,7.198975,0.34589,56890,11,89,11,89
15500,7.551103,7.26123,0.289872,7.404541,7.195923,0.35518,56796,6,90,6,90
16000,7.48562,7.296753,0.188867,7.406006,7.215454,0.270166,57169,11,92,11,92
16500,7.45575,7.21814,0.23761,7.360596,7.156128,0.299622,57002,11,95,11,95
17000,7.431837,7.244507,0.18733,7.361206,7.181396,0.25044,57168,9,97,9,97
17500,7.43879,7.272217,0.166573,7.363892,7.19873,0.24006,57287,10,98,10,98
18000,7.378761,7.278931,0.09983,7.364502,7.212646,0.166114,57537,6,98,6,98
18500,7.423762,7.242065,0.181696,7.335449,7.192749,0.231013,57101,7,98,7,98
19000,7.430073,7.199707,0.230366,7.320312,7.138672,0.291401,56798,8,98,8,98
19500,7.393051,7.259521,0.13353,7.358521,7.18335,0.209702,57341,7,98,7,98
20000,7.39716,7.223022,0.174138,7.327393,7.171265,0.225895,57147,7,98,7,98
