rep,epoch,frac_bytes_a,frac_tapes_a,distinct_tapes,mean_steps,copies_per_run
0,0,0.5,0.5,3290,0.0,0.0
0,10,0.484528,0.484741,1312,8112.94,492.795
0,20,0.500837,0.501099,1032,8141.24,488.777
0,30,0.523571,0.523804,910,8131.7,485.242
0,40,0.545782,0.545898,811,8135.29,485.36
0,50,0.530054,0.53009,781,8141.43,475.2
0,60,0.512014,0.511597,803,8144.48,469.24
0,70,0.487347,0.487305,809,8137.07,472.199
0,80,0.485634,0.48584,777,8143.02,479.929
0,90,0.497667,0.497437,755,8141.25,478.498
0,100,0.481874,0.481812,726,8146.78,481.327
0,110,0.488358,0.488342,714,8157.04,482.514
0,120,0.48802,0.487183,745,8146.64,484.783
0,130,0.483644,0.482666,740,8158.13,492.002
0,140,0.488413,0.488037,704,8162.02,494.487
0,150,0.491417,0.490112,761,8165.32,475.339
0,160,0.520185,0.519104,724,8163.42,473.556
0,170,0.500046,0.499512,700,8160.62,465.228
0,180,0.506855,0.506714,723,8157.48,469.318
0,190,0.490587,0.489929,701,8159.0,460.736
0,200,0.456982,0.456482,708,8162.53,468.284
0,210,0.461866,0.46106,671,8160.13,469.288
0,220,0.469345,0.468628,732,8160.1,463.273
0,230,0.487816,0.486694,700,8159.91,460.801
0,240,0.463905,0.462891,727,8161.12,451.9
0,250,0.456022,0.454712,685,8165.19,455.229
0,260,0.465244,0.463989,715,8164.83,444.544
0,270,0.510654,0.510254,692,8165.65,435.141
0,280,0.520189,0.520752,692,8167.87,422.804
0,290,0.521994,0.523682,727,8169.65,424.3
0,300,0.539845,0.543213,693,8171.23,432.717
1,0,0.5,0.5,3351,0.0,0.0
1,10,0.481672,0.482056,1278,8126.1,505.852
1,20,0.527756,0.527954,1058,8128.93,493.977
1,30,0.514383,0.514404,1004,8133.46,484.647
1,40,0.540842,0.540894,951,8121.3,478.359
1,50,0.56004,0.560547,936,8130.35,474.071
1,60,0.555628,0.555908,890,8146.33,468.314
1,70,0.531952,0.531677,880,8146.5,482.963
1,80,0.502613,0.501709,867,8150.44,495.343
1,90,0.525536,0.524292,904,8158.18,493.339
1,100,0.519444,0.518311,808,8159.72,480.38
1,110,0.498566,0.498779,861,8158.9,472.223
1,120,0.492579,0.492676,875,8143.49,473.369
1,130,0.480404,0.480591,886,8137.71,472.156
1,140,0.497889,0.497803,867,8139.78,485.566
1,150,0.519669,0.519653,879,8131.5,482.079
1,160,0.510431,0.510498,807,8126.99,478.57
1,170,0.510307,0.510498,792,8147.22,480.451
1,180,0.515467,0.515869,819,8139.57,479.475
1,190,0.515326,0.515137,857,8148.81,481.199
1,200,0.51939,0.518677,877,8141.56,483.874
1,210,0.506021,0.505127,866,8148.06,484.372
1,220,0.503702,0.503174,828,8146.16,484.609
1,230,0.48851,0.488525,852,8153.81,492.457
1,240,0.497801,0.497681,815,8157.25,497.941
1,250,0.499851,0.499878,797,8168.16,500.565
1,260,0.47361,0.472656,826,8161.17,503.586
1,270,0.468666,0.467896,822,8162.81,509.592
1,280,0.451483,0.450073,884,8150.43,517.806
1,290,0.434849,0.433167,909,8146.15,524.366
1,300,0.448853,0.447937,884,8151.19,523.974
2,0,0.5,0.5,3355,0.0,0.0
2,10,0.477448,0.477783,1227,8131.96,498.084
2,20,0.479408,0.479736,991,8163.68,498.724
2,30,0.491526,0.491699,869,8156.76,498.35
2,40,0.505489,0.505615,841,8153.56,492.127
2,50,0.489141,0.489014,861,8148.9,494.575
2,60,0.502144,0.502197,799,8155.18,494.492
2,70,0.495913,0.49585,833,8152.52,496.799
2,80,0.503157,0.503296,802,8163.04,496.06
2,90,0.472883,0.473145,789,8160.25,493.468
2,100,0.464111,0.464233,794,8148.97,490.516
2,110,0.455648,0.455811,780,8163.46,487.174
2,120,0.454708,0.454712,825,8156.0,481.498
2,130,0.475925,0.476196,816,8165.35,475.209
2,140,0.486889,0.487061,847,8155.83,467.046
2,150,0.488214,0.488159,860,8158.09,467.934
2,160,0.500151,0.5,761,8165.42,471.35
2,170,0.488512,0.488525,789,8159.69,466.145
2,180,0.496456,0.496155,800,8155.73,467.672
2,190,0.495565,0.496094,823,8157.95,467.627
2,200,0.521254,0.521362,794,8160.27,466.53
2,210,0.513809,0.514282,874,8167.13,471.068
2,220,0.511232,0.511841,843,8161.47,472.958
2,230,0.503426,0.503906,813,8164.05,473.343
2,240,0.483688,0.484253,787,8161.34,470.168
2,250,0.484255,0.484863,800,8153.55,477.913
2,260,0.487886,0.488342,792,8164.86,482.825
2,270,0.484215,0.484741,792,8166.26,485.761
2,280,0.504486,0.505127,813,8167.86,480.392
2,290,0.503452,0.50415,809,8152.7,472.4
2,300,0.507914,0.508362,802,8158.79,472.863
3,0,0.5,0.5,3298,0.0,0.0
3,10,0.509989,0.510254,1301,8109.4,499.34
3,20,0.510735,0.510742,1021,8135.33,510.827
3,30,0.489569,0.489502,951,8140.3,503.702
3,40,0.477983,0.477478,924,8143.2,509.72
3,50,0.495438,0.495239,912,8159.73,517.574
3,60,0.520889,0.520996,866,8154.03,507.942
3,70,0.532858,0.532776,831,8162.45,512.02
3,80,0.551483,0.552002,767,8157.14,507.783
3,90,0.545343,0.546021,819,8159.63,500.678
3,100,0.581533,0.581787,805,8158.89,489.257
3,110,0.563126,0.563721,846,8153.11,491.8
3,120,0.533958,0.534668,852,8145.23,494.197
3,130,0.522804,0.523254,795,8159.51,506.911
3,140,0.538321,0.538818,797,8161.88,505.17
3,150,0.529055,0.530151,813,8169.96,505.871
3,160,0.533375,0.535767,821,8160.21,502.096
3,170,0.546547,0.548706,862,8162.87,504.094
3,180,0.529898,0.53186,873,8156.3,502.308
3,190,0.517187,0.519104,835,8162.33,505.798
3,200,0.470463,0.472046,825,8161.83,503.131
3,210,0.460651,0.463013,904,8162.13,497.658
3,220,0.444683,0.44751,909,8159.82,498.956
3,230,0.434847,0.437744,913,8138.76,505.722
3,240,0.427477,0.430298,912,8150.67,511.897
3,250,0.44902,0.451538,868,8160.09,510.171
