rep,epoch,frac_bytes_a,frac_tapes_a,distinct_tapes,mean_steps,copies_per_run
0,0,0.5,0.5,3610,0.0,0.0
0,10,0.489847,0.490723,1582,8076.55,377.942
0,20,0.507889,0.509277,1359,8058.14,373.772
0,30,0.520876,0.521973,1310,8021.45,368.489
0,40,0.551819,0.55249,1191,8009.01,363.102
0,50,0.535576,0.536072,1107,8034.35,361.801
0,60,0.528101,0.528687,1104,8070.68,361.267
0,70,0.499125,0.499878,1099,8056.15,359.226
0,80,0.485956,0.487915,1125,8025.25,360.201
0,90,0.494055,0.49585,1161,7989.04,354.532
0,100,0.475321,0.477539,1172,7988.81,357.023
0,110,0.467693,0.470032,1170,8019.88,364.645
0,120,0.449465,0.451782,1202,8024.0,370.386
0,130,0.420963,0.422607,1124,8021.01,372.615
0,140,0.451525,0.452515,1127,8104.14,380.405
