rep,epoch,frac_bytes_a,frac_tapes_a,distinct_tapes,mean_steps,copies_per_run
0,0,0.5,0.5,3219,0.0,0.0
0,10,0.485546,0.486084,1298,8144.54,515.521
0,20,0.498322,0.498901,1050,8156.96,517.665
0,30,0.513639,0.514038,972,8146.7,529.121
0,40,0.53496,0.5354,858,8145.32,541.922
0,50,0.520554,0.520813,825,8150.16,530.725
0,60,0.497494,0.497314,832,8155.1,525.858
0,70,0.472143,0.472168,814,8150.09,529.998
0,80,0.473442,0.473999,791,8157.55,539.982
0,90,0.475101,0.47522,773,8150.65,542.368
0,100,0.47155,0.471802,746,8155.9,547.779
0,110,0.464497,0.464783,739,8156.01,547.775
0,120,0.463163,0.463379,762,8147.74,554.673
0,130,0.453213,0.453735,786,8158.61,564.893
0,140,0.463467,0.463013,773,8155.82,565.303
0,150,0.46279,0.461914,811,8162.81,552.396
0,160,0.487328,0.486145,780,8154.82,548.611
0,170,0.461107,0.460327,737,8154.52,545.252
0,180,0.459734,0.458679,751,8159.4,548.793
0,190,0.448503,0.447449,725,8154.59,537.545
0,200,0.420383,0.420105,714,8160.03,541.088
0,210,0.441244,0.440918,687,8159.47,541.197
0,220,0.446085,0.446411,752,8150.59,527.28
0,230,0.46603,0.466187,719,8152.3,522.623
0,240,0.451578,0.451843,730,8154.15,518.935
0,250,0.456671,0.456543,699,8164.93,517.833
0,260,0.468225,0.468384,727,8156.78,510.842
0,270,0.485643,0.485962,698,8162.64,505.376
0,280,0.496069,0.496216,712,8163.64,504.704
0,290,0.52112,0.521057,733,8153.21,503.788
0,300,0.528431,0.528564,698,8162.22,503.556
1,0,0.5,0.5,3210,0.0,0.0
1,10,0.483868,0.48407,1237,8141.03,523.012
1,20,0.531246,0.531372,1030,8115.27,506.516
1,30,0.520144,0.520264,890,8131.24,501.191
1,40,0.539061,0.539185,886,8119.55,495.567
1,50,0.557224,0.557251,879,8134.26,495.526
1,60,0.55895,0.559204,808,8147.2,497.329
1,70,0.531063,0.531128,795,8154.66,508.736
