epoch,wall_s,sim_s,entropy_bits,zlib_bits,high_order_entropy,mean_steps,frac_copy_runs,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t
0,0.047,0.0,7.997252,8.003174,-0.005922,0.0,0.0,0.0,0.0,0.0,0,0,0,65536,0,0
50,0.269,0.191,7.98597,7.813477,0.172494,1467.6329,0.538477,0.149121,0.614219,0.23666,51200,75142804,794,64488,0,0
100,0.48,0.379,7.97942,7.727661,0.251759,1557.6587,0.571875,0.163984,0.590078,0.245938,51200,79752125,764,64619,0,0
150,0.693,0.568,7.974068,7.621826,0.352242,1578.7429,0.596172,0.163711,0.598438,0.237852,51200,80831637,743,64562,0,0
200,0.905,0.757,7.970086,7.545044,0.425042,1516.0612,0.613047,0.154648,0.606777,0.238574,51200,77622333,790,64514,0,0
250,1.115,0.938,7.964394,7.471191,0.493203,1448.5694,0.614082,0.145684,0.62041,0.233906,51200,74166755,770,64593,14,14
300,1.316,1.113,7.957035,7.409058,0.547977,1366.6852,0.618008,0.136289,0.623457,0.240254,51200,69974283,838,64534,12,14
350,1.513,1.286,7.953435,7.361694,0.591741,1363.5353,0.614844,0.135703,0.617832,0.246465,51200,69813007,813,64550,14,16
400,1.709,1.458,7.946604,7.329834,0.61677,1333.1095,0.612754,0.131699,0.626523,0.241777,51200,68255204,774,64585,14,16
450,1.902,1.627,7.938277,7.297607,0.640669,1299.4995,0.61459,0.127324,0.629004,0.243672,51200,66534374,813,64585,13,16
500,2.101,1.802,7.930225,7.265381,0.664844,1331.3846,0.602441,0.12916,0.622266,0.248574,51200,68166893,770,64579,15,19
550,2.294,1.972,7.911079,7.210083,0.700996,1305.9313,0.606016,0.126445,0.636191,0.237363,51200,66863682,744,64407,15,20
600,2.486,2.14,7.887627,7.145996,0.741631,1298.5722,0.605859,0.12207,0.641719,0.236211,51200,66486897,855,64149,15,20
650,2.681,2.311,7.858689,7.105347,0.753342,1306.7421,0.603809,0.124121,0.646367,0.229512,51200,66905195,796,63949,12,21
700,2.887,2.491,7.820768,7.002319,0.818449,1306.1204,0.606582,0.123047,0.650371,0.226582,51200,66873366,757,63483,12,21
750,3.083,2.662,7.78661,6.958252,0.828358,1310.4678,0.617188,0.124434,0.654238,0.221328,51200,67095950,797,63167,18,27
800,3.281,2.833,7.737842,6.86084,0.877002,1222.8527,0.613828,0.117598,0.673145,0.209258,51200,62610060,775,62573,19,29
850,3.486,3.013,7.679401,6.765137,0.914264,1140.509,0.605352,0.1075,0.680703,0.211797,51200,58394060,781,62108,24,34
900,3.666,3.168,7.642906,6.699341,0.943566,1094.7899,0.60252,0.103066,0.686621,0.210312,51200,56053245,822,61844,24,34
950,3.844,3.32,7.598001,6.622925,0.975076,1060.7054,0.598457,0.098086,0.69791,0.204004,51200,54308115,825,61134,26,36
1000,4.021,3.472,7.545259,6.543335,1.001924,1073.1892,0.599785,0.101406,0.70043,0.198164,51200,54947288,844,60886,27,39
1050,4.242,3.666,7.454797,6.414307,1.040491,1054.7794,0.602031,0.100312,0.706367,0.19332,51200,54004703,824,59898,31,45
1100,4.421,3.818,7.378524,6.277222,1.101303,1050.7203,0.601797,0.100293,0.709746,0.189961,51200,53796877,789,58619,36,50
1150,4.598,3.968,7.310349,6.185425,1.124924,1047.7314,0.600664,0.098516,0.716484,0.185,51200,53643850,791,58314,35,55
1200,4.772,4.114,7.252709,6.110962,1.141747,979.0351,0.603965,0.091328,0.732207,0.176465,51200,50126596,791,57508,42,64
1250,4.94,4.255,7.199274,6.07019,1.129084,912.1569,0.609316,0.084805,0.741641,0.173555,51200,46702433,820,57513,53,77
1300,5.116,4.396,7.155684,6.016968,1.138717,914.961,0.611191,0.085234,0.746738,0.168027,51200,46846003,734,57302,66,89
