# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       382  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       357  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       223  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       150  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       142  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
        96  EEEEEEEEEEEEEEEE  45454545454545454545454545454545
        91  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        86  ................  96969696969696969696969696969696
        85  ................  90909090909090909090909090909090
# epoch 2000  H=7.8496 C=7.6469 HO=0.1324  A(t)=249
       931  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       437  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       298  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       177  ................  01010101010101010101010101010101
       126  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        94  ................  05050505050505050505050505050505
        93  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        87  ................  fefefefefefefefefefefefefefefefe
        84  ................  82828282828282828282828282828282
        79  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
# epoch 2250  H=7.8414 C=7.6400 HO=0.1297  A(t)=267
       722  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       422  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       333  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       274  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       220  ................  ffffffffffffffffffffffffffffffff
       173  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       124  ................  1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c
       123  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       119  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       112  ................  13131313131313131313131313131313
# epoch 2500  H=7.8348 C=7.6459 HO=0.1205  A(t)=281
       598  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       485  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       269  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       151  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       137  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       109  ++++++++++++++++  2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b
       105  ................  ffffffffffffffffffffffffffffffff
       105  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        94  ................  dadadadadadadadadadadadadadadada
        85  ................  02020202020202020202020202020202
# epoch 2750  H=7.8248 C=7.6255 HO=0.1271  A(t)=288
       781  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       654  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       196  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       179  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       131  ................  fefefefefefefefefefefefefefefefe
       128  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       126  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       124  ................  ffffffffffffffffffffffffffffffff
