# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       274  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       233  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       160  ................  03030303030303030303030303030303
       113  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       110  wwwwwwwwwwwwwwww  77777777777777777777777777777777
       108  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        97  ................  86868686868686868686868686868686
        92  ................  ffffffffffffffffffffffffffffffff
# epoch 2000  H=7.8516 C=7.6512 HO=0.1320  A(t)=248
       643  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       360  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       357  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       247  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       169  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       163  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       144  ................  e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6
       126  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
       122  ................  01010101010101010101010101010101
       117  ................  ffffffffffffffffffffffffffffffff
# epoch 2250  H=7.8391 C=7.6397 HO=0.1325  A(t)=264
       701  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       672  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       322  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       315  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       212  ................  01010101010101010101010101010101
       107  ++++++++++++++++  2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b
        98  ................  dddddddddddddddddddddddddddddddd
        80  ................  16161616161616161616161616161616
        79  PPPPPPPPPPPPPPPP  50505050505050505050505050505050
        78  ................  08080808080808080808080808080808
# epoch 2500  H=7.8326 C=7.6313 HO=0.1316  A(t)=280
       546  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       460  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       444  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       252  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       151  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       123  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       120  ................  ffffffffffffffffffffffffffffffff
       117  ................  01010101010101010101010101010101
       113  0000000000000000  30303030303030303030303030303030
       111  8888888888888888  38383838383838383838383838383838
# epoch 2750  H=7.8246 C=7.6037 HO=0.1535  A(t)=289
       812  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       570  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       560  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       195  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       195  ................  01010101010101010101010101010101
       160  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       111  4444444444444444  34343434343434343434343434343434
       111  ................  15151515151515151515151515151515
       106  3333333333333333  33333333333333333333333333333333
       102  0000000000000000  30303030303030303030303030303030
# epoch 3000  H=7.8215 C=7.6029 HO=0.1502  A(t)=295
       753  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       502  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       466  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       211  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       125  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
       116  ................  ebebebebebebebebebebebebebebebeb
       111  ................  02020202020202020202020202020202
        92  ................  ffffffffffffffffffffffffffffffff
        86  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
        85  ................  fefefefefefefefefefefefefefefefe
# epoch 3250  H=7.8164 C=7.6082 HO=0.1386  A(t)=302
       559  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       503  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       329  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       297  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       152  ................  03030303030303030303030303030303
       142  ................  01010101010101010101010101010101
       139  ................  bfbfbfbfbfbfbfbfbfbfbfbfbfbfbfbf
        99  dddddddddddddddd  64646464646464646464646464646464
        98  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        94  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
# epoch 3500  H=7.8104 C=7.6026 HO=0.1417  A(t)=302
       737  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       634  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       489  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       215  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       170  ................  bcbcbcbcbcbcbcbcbcbcbcbcbcbcbcbc
       160  ................  01010101010101010101010101010101
       122  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       120  ................  03030303030303030303030303030303
       104  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
       103  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
# epoch 3750  H=7.8030 C=7.5907 HO=0.1420  A(t)=305
       787  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       705  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       485  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
