epoch,wall_s,sim_s,entropy_bits,zlib_bits,high_order_entropy,mean_steps,frac_copy_runs,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t
2300,13.231,10.862,4.644327,3.817871,0.826456,647.7244,0.676738,0.065234,0.833984,0.100781,51200,33163489,782,37062,173,283
2350,13.475,11.062,4.483336,3.693848,0.789489,614.7534,0.682363,0.060879,0.840215,0.098906,51200,31475372,771,35881,202,302
2400,13.632,11.174,4.363508,3.556274,0.807234,617.292,0.701328,0.061328,0.847988,0.090684,51200,31605348,745,34131,218,314
2450,13.938,11.374,4.12107,3.391479,0.729591,607.3692,0.713633,0.060039,0.862168,0.077793,51200,31097301,764,32414,238,338
2500,14.204,11.592,3.956459,3.221191,0.735268,568.4265,0.732344,0.055195,0.87127,0.073535,51200,29103435,764,30444,250,352
2550,14.384,11.707,3.758709,3.056641,0.702068,557.6562,0.731973,0.05377,0.880938,0.065293,51200,28551996,799,29037,265,371
2600,14.644,11.915,3.510535,2.909302,0.601233,537.6135,0.728672,0.051289,0.88377,0.064941,51200,27525812,799,27043,273,389
2650,14.831,12.014,3.37672,2.749878,0.626842,501.494,0.743125,0.04668,0.894883,0.058438,51200,25676495,837,25597,261,393
2700,15.01,12.146,3.173768,2.612061,0.561708,446.3412,0.751562,0.039883,0.901074,0.059043,51200,22852671,813,24341,275,404
2750,15.153,12.239,3.073206,2.505127,0.568079,424.6805,0.751797,0.037148,0.90998,0.052871,51200,21743642,747,23182,276,411
2800,15.367,12.394,2.929137,2.399292,0.529845,402.972,0.746426,0.034453,0.916738,0.048809,51200,20632167,794,22342,275,414
2850,15.513,12.489,2.731203,2.309814,0.421388,421.0174,0.756582,0.03666,0.917695,0.045645,51200,21556091,749,21035,279,416
2900,15.783,12.667,2.628646,2.231812,0.396835,381.7885,0.777754,0.031719,0.928418,0.039863,51200,19547570,821,20383,283,419
2950,15.924,12.753,2.502871,2.154907,0.347963,321.9941,0.780664,0.024297,0.936953,0.03875,51200,16486100,835,19607,288,426
3000,16.155,12.879,2.407189,2.094727,0.312462,292.2258,0.797988,0.020547,0.946855,0.032598,51200,14961961,823,18787,289,434
3050,16.375,13.039,2.267889,1.958862,0.309027,257.8079,0.785859,0.016309,0.947949,0.035742,51200,13199763,775,17881,295,443
3100,16.507,13.119,2.246915,1.968018,0.278897,262.2102,0.766426,0.016797,0.954414,0.028789,51200,13425163,823,17687,288,443
3150,16.706,13.203,2.225664,1.969238,0.256426,259.09,0.781777,0.016367,0.95875,0.024883,51200,13265410,781,17890,282,443
3200,16.973,13.36,2.192229,1.927368,0.264861,260.6584,0.77582,0.016543,0.959766,0.023691,51200,13345708,853,17524,290,455
3250,17.232,13.515,2.141317,1.89917,0.242147,235.077,0.761113,0.01334,0.963145,0.023516,51200,12035943,767,17368,285,460
3300,17.488,13.667,2.108277,1.888794,0.219483,199.1437,0.760977,0.008828,0.97127,0.019902,51200,10196155,791,17788,305,477
3350,17.753,13.821,2.064544,1.837646,0.226897,177.8214,0.772188,0.006191,0.979375,0.014434,51200,9104458,790,17016,299,483
