epoch,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
0,7.997125,8.000488,-0.003364,8.000488,8.003174,-0.006049,65536,0,0,0,0
1000,7.410601,6.635864,0.774736,6.982056,6.487671,0.92293,59687,0,0,0,0
2000,5.289236,4.341675,0.947561,4.596558,4.336182,0.953054,40433,48,48,48,48
3000,2.407189,2.083984,0.323205,2.235107,2.094727,0.312462,18787,120,157,236,241
4000,1.024543,1.049683,-0.02514,1.14917,0.997681,0.026862,6884,96,179,285,301
5000,1.226099,1.180542,0.045557,1.284546,1.146851,0.079248,9292,95,179,280,309
6000,1.282543,1.28064,0.001904,1.378662,1.24353,0.039013,10883,99,183,276,316
7000,1.397782,1.359741,0.038041,1.465332,1.327759,0.070024,11877,112,186,289,334
8000,1.180802,1.178101,0.002701,1.279907,1.143921,0.036881,8563,99,186,290,347
9000,1.260595,1.250366,0.010228,1.343872,1.223145,0.03745,10519,98,187,282,349
10000,1.13053,1.140625,-0.010095,1.251709,1.10022,0.03031,7657,97,189,292,369
11000,1.065793,1.121338,-0.055545,1.231201,1.078491,-0.012699,7823,96,191,278,373
12000,1.403471,1.332153,0.071318,1.448975,1.309326,0.094145,11282,102,194,284,383
13000,1.344983,1.277344,0.06764,1.385742,1.267578,0.077405,10715,110,195,288,389
14000,1.153103,1.133057,0.020046,1.234375,1.091064,0.062038,8470,96,195,304,421
15000,1.303402,1.284668,0.018734,1.387817,1.251587,0.051815,9820,94,195,281,430
16000,1.169261,1.17981,-0.010549,1.28418,1.141602,0.027659,9542,96,197,283,437
17000,0.955269,1.009277,-0.054008,1.113892,0.963867,-0.008598,6162,94,197,286,441
18000,1.691064,1.54126,0.149804,1.642212,1.514404,0.176659,13925,94,197,278,441
19000,1.375363,1.291138,0.084225,1.391846,1.258179,0.117184,11073,100,197,277,447
20000,1.097644,1.104492,-0.006848,1.207153,1.064209,0.033435,7959,97,197,273,448
21000,1.195428,1.200317,-0.00489,1.295776,1.168579,0.026849,9634,95,197,289,460
22000,1.036591,1.084106,-0.047515,1.18396,1.04248,-0.005889,7271,95,198,288,478
23000,1.087266,1.107178,-0.019912,1.213013,1.067627,0.019639,7945,95,198,274,480
24000,1.170526,1.196899,-0.026373,1.30188,1.146484,0.024042,8768,95,198,278,485
25000,1.469939,1.429077,0.040861,1.53125,1.39978,0.070158,12972,94,198,297,492
26000,1.165137,1.129272,0.035865,1.232544,1.089478,0.07566,8506,98,198,302,501
27000,1.144197,1.113525,0.030672,1.200806,1.067871,0.076326,8252,92,198,279,503
28000,1.140267,1.170898,-0.030632,1.271362,1.12854,0.011727,8935,94,198,297,523
29000,1.11803,1.13501,-0.01698,1.23291,1.086182,0.031848,8059,93,198,305,544
30000,1.199004,1.226807,-0.027803,1.324097,1.177856,0.021148,9397,93,198,285,547
31000,1.222851,1.197876,0.024975,1.297974,1.164673,0.058178,9690,98,200,289,555
32000,1.43509,1.351929,0.083162,1.454102,1.331543,0.103547,11303,107,201,283,562
33000,1.271943,1.240601,0.031342,1.341553,1.21228,0.059662,9842,99,203,288,575
34000,1.208962,1.217041,-0.008079,1.323486,1.17981,0.029153,9490,94,203,291,583
35000,1.394808,1.303589,0.091219,1.415405,1.286865,0.107942,10035,98,205,276,585
36000,1.155741,1.165405,-0.009664,1.26001,1.119873,0.035868,8757,104,209,287,597
37000,1.489042,1.390625,0.098417,1.476074,1.369385,0.119657,12076,99,210,287,600
38000,1.468976,1.416626,0.05235,1.512451,1.406128,0.062848,12706,117,212,289,606
39000,1.484489,1.414307,0.070182,1.518677,1.391968,0.092521,12040,108,212,289,617
40000,1.201146,1.197998,0.003148,1.291626,1.153442,0.047703,9251,95,212,287,628
41000,1.21163,1.182739,0.028891,1.278809,1.148193,0.063437,9378,94,212,275,630
42000,1.331581,1.273438,0.058144,1.384888,1.241943,0.089638,10111,97,213,278,633
43000,1.367494,1.310669,0.056825,1.418213,1.286499,0.080995,10651,103,217,310,657
44000,0.985702,1.044922,-0.05922,1.140503,0.990234,-0.004533,6126,97,217,299,670
45000,1.18379,1.169678,0.014112,1.269775,1.138916,0.044874,9204,94,217,296,684
46000,1.225801,1.194702,0.031099,1.286133,1.146729,0.079072,9611,100,217,299,705
47000,1.274483,1.217285,0.057198,1.321655,1.185181,0.089303,10325,95,217,282,713
48000,1.293714,1.260376,0.033338,1.362061,1.235718,0.057996,10738,95,217,277,717
49000,1.534598,1.490356,0.044241,1.595947,1.474609,0.059988,13719,113,220,313,732
50000,1.279425,1.273193,0.006231,1.390381,1.244751,0.034674,10534,108,220,322,741
