# epoch 0  H=7.9996 C=8.0025 HO=-0.0004  A(t)=0
        61  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        36  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        35  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        30  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        28  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
        24  ................  fefefefefefefefefefefefefefefefe
        24  ................  99999999999999999999999999999999
        24  cccccccccccccccc  63636363636363636363636363636363
# epoch 400  H=7.9975 C=7.9730 HO=-0.0026  A(t)=43
       226  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       115  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        59  0000000000000000  30303030303030303030303030303030
        51  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        36  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        30  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        28  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
        24  ................  fefefefefefefefefefefefefefefefe
        24  ................  99999999999999999999999999999999
        23  ................  dfdfdfdfdfdfdfdfdfdfdfdfdfdfdfdf
# epoch 450  H=7.9972 C=7.9715 HO=-0.0029  A(t)=45
       260  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       106  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        59  0000000000000000  30303030303030303030303030303030
        45  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        30  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        24  ................  99999999999999999999999999999999
        19  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
        19  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        18  ................  89898989898989898989898989898989
        16  ................  e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5
# epoch 500  H=7.9967 C=7.9683 HO=-0.0034  A(t)=47
       370  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       104  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        57  0000000000000000  30303030303030303030303030303030
        43  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        39  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        25  ................  9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f
        20  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        20  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        19  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
        18  ................  89898989898989898989898989898989
# epoch 550  H=7.9964 C=7.9668 HO=-0.0037  A(t)=52
       394  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        96  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        38  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        38  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        34  0000000000000000  30303030303030303030303030303030
        33  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        33  ................  1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f
        18  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        16  ................  e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
        15  ^]^]^]^]^]^]^]^]  5e5d5e5d5e5d5e5d5e5d5e5d5e5d5e5d
# epoch 600  H=7.9962 C=7.9637 HO=-0.0039  A(t)=52
