# epoch 0  H=7.9999 C=8.0025 HO=-0.0025  A(t)=0
       553  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       490  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       453  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       444  ................  02020202020202020202020202020202
       440  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       407  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
# epoch 1600  H=7.8764 C=7.2960 HO=0.5804  A(t)=289
      2463  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      2202  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1177  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       730  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       626  ................  01010101010101010101010101010101
       580  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       578  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       559  ................  03030303030303030303030303030303
       554  ................  ffffffffffffffffffffffffffffffff
       495  ................  d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2
# epoch 1800  H=7.8500 C=7.2854 HO=0.5646  A(t)=294
      2108  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1905  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1062  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       912  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       797  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       707  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       569  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       450  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       428  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       423  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
# epoch 2000  H=7.8256 C=7.2796 HO=0.5461  A(t)=296
      2252  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1716  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       986  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       890  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       728  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       634  ................  01010101010101010101010101010101
       585  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       419  9999999999999999  39393939393939393939393939393939
       373  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       371  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
# epoch 2200  H=7.8022 C=7.2650 HO=0.5372  A(t)=305
      2519  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      2076  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1206  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       919  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       728  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       519  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       501  ................  01010101010101010101010101010101
       416  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       333  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       306  ................  fefefefefefefefefefefefefefefefe
# epoch 2400  H=7.7797 C=7.2713 HO=0.5084  A(t)=311
      1855  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1681  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1191  ................  ffffffffffffffffffffffffffffffff
       820  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       761  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       626  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       479  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       435  ................  01010101010101010101010101010101
       357  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       355  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
# epoch 2600  H=7.7609 C=7.2814 HO=0.4795  A(t)=320
      1697  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1152  ................  ffffffffffffffffffffffffffffffff
       969  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       862  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       657  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       539  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       522  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       486  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       376  ................  01010101010101010101010101010101
       336  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
# epoch 2800  H=7.7421 C=7.2890 HO=0.4532  A(t)=325
      1446  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1010  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       932  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       715  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       598  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       557  ................  ffffffffffffffffffffffffffffffff
       514  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       413  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       411  ................  01010101010101010101010101010101
       330  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
# epoch 3000  H=7.7168 C=7.2935 HO=0.4233  A(t)=329
      1587  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1439  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       679  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       592  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       569  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       533  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       472  ................  ffffffffffffffffffffffffffffffff
       358  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       292  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       251  ................  01010101010101010101010101010101
# epoch 3200  H=7.6986 C=7.2837 HO=0.4148  A(t)=339
      1708  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1173  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
      1132  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       909  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       670  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       578  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       399  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       390  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       348  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       279  3333333333333333  33333333333333333333333333333333
# epoch 3400  H=7.6762 C=7.2931 HO=0.3831  A(t)=339
      1887  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1019  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       765  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       719  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       611  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       577  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       345  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       312  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
       278  9999999999999999  39393939393939393939393939393939
       277  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 3600  H=7.6646 C=7.3002 HO=0.3644  A(t)=344
      1648  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       971  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       661  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       512  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       470  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       456  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       227  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
       226  5555555555555555  35353535353535353535353535353535
       224  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       222  9999999999999999  39393939393939393939393939393939
# epoch 3800  H=7.6479 C=7.3003 HO=0.3476  A(t)=344
      1250  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       773  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       762  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       497  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       441  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       357  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       329  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       301  9999999999999999  39393939393939393939393939393939
       268  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
       264  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 4000  H=7.6367 C=7.3108 HO=0.3259  A(t)=346
      1100  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       618  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       600  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       598  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       486  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       383  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       332  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       291  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       219  ................  ffffffffffffffffffffffffffffffff
       200  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
# epoch 4200  H=7.6297 C=7.3114 HO=0.3183  A(t)=348
      1128  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       664  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       646  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       640  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
