# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       508  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       382  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       168  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       144  ................  01010101010101010101010101010101
       143  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       124  ................  03030303030303030303030303030303
       123  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       114  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
       113  ................  fefefefefefefefefefefefefefefefe
# epoch 2000  H=7.8471 C=7.6355 HO=0.1394  A(t)=259
       444  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       418  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       296  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       170  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       149  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       143  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       128  ................  02020202020202020202020202020202
       116  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       111  3333333333333333  33333333333333333333333333333333
       109  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
# epoch 2250  H=7.8379 C=7.6438 HO=0.1246  A(t)=276
       580  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       575  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       496  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       276  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       239  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       132  ................  01010101010101010101010101010101
        90  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
        88  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        81  ................  80808080808080808080808080808080
        79  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
# epoch 2500  H=7.8232 C=7.6271 HO=0.1275  A(t)=287
       612  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       569  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       358  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       175  ................  ffffffffffffffffffffffffffffffff
       163  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       145  ................  02020202020202020202020202020202
       127  ................  89898989898989898989898989898989
       121  ................  05050505050505050505050505050505
       119  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       102  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
# epoch 2750  H=7.8186 C=7.6231 HO=0.1287  A(t)=293
       521  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       460  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       350  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       247  ................  01010101010101010101010101010101
       229  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       108  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       105  ................  c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9
       101  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
        97  ................  08080808080808080808080808080808
        96  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
# epoch 3000  H=7.8113 C=7.6030 HO=0.1406  A(t)=299
       517  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       433  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       352  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       241  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       162  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       158  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       156  ................  01010101010101010101010101010101
       139  9999999999999999  39393939393939393939393939393939
       114  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       112  ................  e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3
# epoch 3250  H=7.8064 C=7.5842 HO=0.1526  A(t)=301
       535  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       420  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       399  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       208  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       132  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       115  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       110  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       106  ................  fefefefefefefefefefefefefefefefe
       105  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
