# epoch 0  H=7.9968 C=8.0032 HO=-0.0037  A(t)=0
         1  ..[.v.......d...  ffff5bbd761690e0f415bd946402bdd4
        15  ................  b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2
         7  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
         7  ...............,  0101010101010101010101010101012c
         5  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
         4  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
         4  ..............,.  01010101010101010101010101012c01
         3  HHHHHHHHHHHHHHHH  48484848484848484848484848484848
         3  ...........,....  01010101010101010101012c01010101
# epoch 2750  H=7.4234 C=7.1846 HO=0.4449  A(t)=4
      1044  ................  01010101010101010101010101010101
       228  ................  00000000000000000000000000000000
        22  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        16  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
         8  ................  b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2
         8  ...............,  0101010101010101010101010101012c
         5  ................  01010101010101010101010101010102
         4  ................  02010101010101010101010101010101
         4  ..............,.  01010101010101010101010101012c01
         3  HHHHHHHHHHHHHHHH  48484848484848484848484848484848
# epoch 3000  H=7.4173 C=7.2054 HO=0.4255  A(t)=5
      1064  ................  01010101010101010101010101010101
       339  ................  00000000000000000000000000000000
        24  ))))))))))))))))  29292929292929292929292929292929
        12  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
        10  ...............,  0101010101010101010101010101012c
         6  ..............,.  01010101010101010101010101012c01
         3  ................  b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6
         3  ................  02010101010101010101010101010101
         3  ................  01020101010101010101010101010101
         3  ................  01010201010101010101010101010101
# epoch 3250  H=7.3521 C=7.1752 HO=0.3940  A(t)=5
       893  ................  01010101010101010101010101010101
       350  ................  00000000000000000000000000000000
        13  ................  08080808080808080808080808080808
         5  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
         5  ...............,  0101010101010101010101010101012c
         4  ................  fa010101010101010101010101010101
         3  l...............  6c010101010101010101010101010101
         3  ................  03010101010101010101010101010101
         3  ................  02010101010101010101010101010101
         3  ................  01fa0101010101010101010101010101
# epoch 3500  H=7.2647 C=7.0743 HO=0.4001  A(t)=5
      1046  ................  01010101010101010101010101010101
       362  ................  00000000000000000000000000000000
        28  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        22  ................  ffffffffffffffffffffffffffffffff
         8  ................  02010101010101010101010101010101
         7  ................  fefefefefefefefefefefefefefefefe
         5  ...............,  0101010101010101010101010101012c
         4  ................  01020101010101010101010101010101
         3  ................  ffffffffffffffffffffffffffffff01
         3  ................  a3010101010101010101010101010101
# epoch 3750  H=7.1983 C=6.9852 HO=0.4109  A(t)=5
       911  ................  01010101010101010101010101010101
       268  ................  00000000000000000000000000000000
       177  ................  cdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcd
