# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
      2261  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1920  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1266  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
      1094  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
      1054  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       850  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       578  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       492  KKKKKKKKKKKKKKKK  4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b
       460  ................  03030303030303030303030303030303
       426  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 2000  H=7.8056 C=7.2590 HO=0.4770  A(t)=308
      2796  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      2323  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1009  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       877  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       637  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       621  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       596  ................  01010101010101010101010101010101
       407  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       399  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       378  ................  91919191919191919191919191919191
# epoch 2250  H=7.7746 C=7.2447 HO=0.4574  A(t)=320
      2221  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      2088  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1270  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       857  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       749  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       683  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       668  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       380  8888888888888888  38383838383838383838383838383838
       337  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       279  yyyyyyyyyyyyyyyy  79797979797979797979797979797979
# epoch 2500  H=7.7405 C=7.2347 HO=0.4316  A(t)=332
      2422  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1347  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1059  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       887  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       864  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       825  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       418  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       387  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       317  8888888888888888  38383838383838383838383838383838
       291  ................  ffffffffffffffffffffffffffffffff
# epoch 2750  H=7.7020 C=7.2364 HO=0.3889  A(t)=340
      2261  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       983  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       981  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       974  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       718  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
