# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       608  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       270  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       125  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       118  ................  8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a
       116  ................  d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9
       103  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       102  ................  d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
        97  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
        89  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
# epoch 2000  H=7.8536 C=7.6585 HO=0.1271  A(t)=263
       613  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       591  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       432  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       208  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       165  ................  c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2
       138  ................  01010101010101010101010101010101
       136  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       130  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
       125  ................  03030303030303030303030303030303
       122  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
# epoch 2250  H=7.8473 C=7.6636 HO=0.1167  A(t)=275
       778  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       428  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       271  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       140  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       137  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       119  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       109  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        92  2222222222222222  32323232323232323232323232323232
        91  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        83  ................  d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2
# epoch 2500  H=7.8383 C=7.6354 HO=0.1362  A(t)=287
       678  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       566  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       474  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       283  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       204  ................  01010101010101010101010101010101
       122  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       122  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       114  ................  02020202020202020202020202020202
        97  4444444444444444  34343434343434343434343434343434
        93  ................  81818181818181818181818181818181
# epoch 2750  H=7.8306 C=7.6437 HO=0.1220  A(t)=294
       478  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       441  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       408  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       222  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       208  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       127  ................  dededededededededededededededede
       119  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       102  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
       101  ))))))))))))))))  29292929292929292929292929292929
        91  ................  02020202020202020202020202020202
# epoch 3000  H=7.8183 C=7.6324 HO=0.1161  A(t)=298
       484  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       465  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       224  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       181  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
