# epoch 0  H=7.9968 C=8.0032 HO=-0.0037  A(t)=0
       139  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        89  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        61  0000000000000000  30303030303030303030303030303030
        57  ................  93939393939393939393939393939393
        48  ................  0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
        47  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        47  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
        42  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
        41  ................  ffffffffffffffffffffffffffffffff
# epoch 180  H=7.9887 C=7.7697 HO=0.1911  A(t)=0
       128  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       115  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        80  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        63  0000000000000000  30303030303030303030303030303030
        57  ................  93939393939393939393939393939393
        48  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        47  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
        42  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
        40  ................  ffffffffffffffffffffffffffffffff
        38  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
# epoch 200  H=7.9887 C=7.7600 HO=0.1974  A(t)=0
       126  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       104  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        80  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        61  0000000000000000  30303030303030303030303030303030
        56  ................  93939393939393939393939393939393
        47  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        47  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
        46  ................  12121212121212121212121212121212
        42  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
        39  ................  ffffffffffffffffffffffffffffffff
# epoch 220  H=7.9886 C=7.7578 HO=0.1976  A(t)=0
       120  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        88  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        80  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        61  0000000000000000  30303030303030303030303030303030
        56  ................  93939393939393939393939393939393
        47  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        46  ................  12121212121212121212121212121212
        39  ................  ffffffffffffffffffffffffffffffff
        39  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
        38  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
# epoch 240  H=7.9876 C=7.7269 HO=0.2311  A(t)=0
       140  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        87  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        69  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        61  0000000000000000  30303030303030303030303030303030
        56  ................  93939393939393939393939393939393
        44  ................  12121212121212121212121212121212
        39  ................  ffffffffffffffffffffffffffffffff
        38  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        38  ................  0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
        37  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
# epoch 260  H=7.9875 C=7.7258 HO=0.2388  A(t)=0
       135  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        87  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        63  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        61  0000000000000000  30303030303030303030303030303030
        56  ................  93939393939393939393939393939393
        39  ................  ffffffffffffffffffffffffffffffff
        38  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        37  ................  01010101010101010101010101010101
        33  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
        30  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
# epoch 280  H=7.9874 C=7.7286 HO=0.2319  A(t)=8
       109  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        67  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        63  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        56  ................  93939393939393939393939393939393
        46  0000000000000000  30303030303030303030303030303030
        39  ................  ffffffffffffffffffffffffffffffff
        38  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        31  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        29  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        22  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
# epoch 300  H=7.9871 C=7.7321 HO=0.2280  A(t)=12
        96  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        67  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        56  ................  93939393939393939393939393939393
        47  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        46  0000000000000000  30303030303030303030303030303030
        39  ................  ffffffffffffffffffffffffffffffff
        38  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        31  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        28  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        22  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
# epoch 320  H=7.9872 C=7.7196 HO=0.2350  A(t)=15
        86  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        67  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        47  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        46  0000000000000000  30303030303030303030303030303030
        39  ................  ffffffffffffffffffffffffffffffff
        31  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        30  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        29  ................  93939393939393939393939393939393
        28  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        27  ................  1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d
# epoch 340  H=7.9873 C=7.7183 HO=0.2350  A(t)=16
        67  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        65  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        46  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        33  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        31  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        30  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        30  0000000000000000  30303030303030303030303030303030
        29  ................  93939393939393939393939393939393
        27  ................  1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d
        22  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
# epoch 360  H=7.9863 C=7.7106 HO=0.2491  A(t)=17
        65  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        53  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        48  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
        46  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        38  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        31  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        30  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        30  0000000000000000  30303030303030303030303030303030
        28  ................  93939393939393939393939393939393
        27  ................  1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d
# epoch 380  H=7.9856 C=7.7076 HO=0.2375  A(t)=18
        53  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        46  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        39  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        37  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        31  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        30  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        30  0000000000000000  30303030303030303030303030303030
        29  ................  1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d
        28  ................  93939393939393939393939393939393
        25  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
# epoch 400  H=7.9839 C=7.6696 HO=0.2665  A(t)=26
        85  ................  01010101010101010101010101010101
        47  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        46  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        34  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        31  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        30  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        28  ................  1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d
        25  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
        25  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        25  0000000000000000  30303030303030303030303030303030
# epoch 420  H=7.9831 C=7.6603 HO=0.2732  A(t)=28
        88  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
        84  ................  01010101010101010101010101010101
        46  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        36  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        34  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        31  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        30  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        27  ................  1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d
