# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
      2266  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1384  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       932  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       920  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       627  ................  ffffffffffffffffffffffffffffffff
       605  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       554  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       509  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       487  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       339  ................  1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e
# epoch 2000  H=7.8147 C=7.3249 HO=0.4243  A(t)=295
      2060  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1074  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
      1073  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       874  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       675  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       542  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       530  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       384  ................  ffffffffffffffffffffffffffffffff
       337  ................  acacacacacacacacacacacacacacacac
       335  ................  01010101010101010101010101010101
# epoch 2250  H=7.7882 C=7.2953 HO=0.4223  A(t)=304
      2221  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1486  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       943  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       673  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       576  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       554  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       474  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       442  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       372  9999999999999999  39393939393939393939393939393939
       352  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
# epoch 2500  H=7.7604 C=7.2893 HO=0.3983  A(t)=319
      2056  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1610  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       993  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       884  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       831  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       804  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       636  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       529  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
