# epoch 0  H=7.9996 C=8.0025 HO=-0.0029  A(t)=0
       111  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
# epoch 160  H=7.9967 C=7.7651 HO=0.2316  A(t)=150
       211  ................  ffffffffffffffffffffffffffffffff
       198  ................  fefefefefefefefefefefefefefefefe
       193  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       183  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
       157  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       151  ................  dededededededededededededededede
       145  ................  90909090909090909090909090909090
       145  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       134  ................  9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d
       131  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
# epoch 180  H=7.9961 C=7.7383 HO=0.2578  A(t)=161
       245  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
       218  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       205  ................  ffffffffffffffffffffffffffffffff
       196  ................  fefefefefefefefefefefefefefefefe
       177  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
       173  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       162  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       152  llllllllllllllll  6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c
       147  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       140  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
# epoch 200  H=7.9954 C=7.7185 HO=0.2769  A(t)=183
       286  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       205  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       200  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
       200  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       195  ................  fefefefefefefefefefefefefefefefe
       191  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
       185  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
       178  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
       158  ................  01010101010101010101010101010101
       151  ................  ffffffffffffffffffffffffffffffff
# epoch 220  H=7.9949 C=7.7012 HO=0.2937  A(t)=191
       251  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       205  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       176  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
       174  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
       165  ................  fefefefefefefefefefefefefefefefe
