epoch,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
0,7.999613,8.000076,-0.000463,8.000076,8.002533,-0.00292,466944,0,0,0,0
500,7.979337,7.563004,0.416333,7.66246,7.54599,0.433347,445206,0,0,0,0
1000,7.93274,7.391098,0.541642,7.563065,7.359665,0.573075,442977,0,0,0,0
1500,7.85543,7.330475,0.524955,7.536499,7.284302,0.571128,445528,177,177,177,177
2000,7.79371,7.363098,0.430612,7.570862,7.301392,0.492318,450635,167,191,167,191
2500,7.731438,7.331085,0.400353,7.515244,7.253677,0.47776,450619,160,208,160,208
3000,7.69198,7.357071,0.334909,7.526611,7.279068,0.412912,453545,151,224,151,224
3500,7.658256,7.412354,0.245902,7.555115,7.333893,0.324363,456702,133,233,133,233
4000,7.641276,7.431213,0.210062,7.556,7.36058,0.280695,457825,116,238,116,238
4500,7.620433,7.415359,0.205074,7.53389,7.361511,0.258922,457648,100,239,100,239
5000,7.587941,7.412811,0.17513,7.519913,7.364899,0.223043,458555,92,241,92,241
5500,7.606517,7.414124,0.192393,7.52594,7.366821,0.239695,457445,91,242,91,242
6000,7.607848,7.381714,0.226134,7.507172,7.34256,0.265288,456279,89,242,89,242
6500,7.601148,7.386658,0.21449,7.507248,7.339737,0.261411,457085,105,245,105,245
7000,7.592482,7.380463,0.21202,7.502487,7.325348,0.267134,456892,106,248,106,248
7500,7.590987,7.374023,0.216964,7.498978,7.320801,0.270187,457255,104,250,104,250
8000,7.585798,7.332611,0.253187,7.467072,7.281845,0.303953,455329,102,252,102,252
8500,7.575515,7.360352,0.215163,7.487259,7.30484,0.270675,457166,104,253,104,253
9000,7.571497,7.355301,0.216196,7.477859,7.303391,0.268106,457247,104,256,104,256
9500,7.56646,7.346786,0.219673,7.468628,7.294373,0.272087,456638,103,258,103,258
10000,7.569947,7.32489,0.245057,7.455978,7.283432,0.286515,455527,106,260,106,260
10500,7.54372,7.30043,0.24329,7.428848,7.257523,0.286198,455586,104,261,104,261
11000,7.537579,7.266327,0.271252,7.407364,7.231842,0.305736,454558,111,261,111,261
11500,7.51784,7.263077,0.254763,7.3909,7.214386,0.303454,454926,110,261,110,261
12000,7.489444,7.273254,0.216189,7.397171,7.227432,0.262012,456828,106,261,106,261
12500,7.490547,7.288605,0.201943,7.402573,7.242859,0.247688,456671,101,261,101,261
13000,7.487124,7.256577,0.230547,7.376068,7.213287,0.273837,455700,100,261,100,261
13500,7.479305,7.257889,0.221416,7.375305,7.205597,0.273708,456392,95,261,95,261
14000,7.455984,7.25148,0.204504,7.363083,7.202545,0.253439,456764,90,261,90,261
14500,7.455242,7.233826,0.221416,7.359024,7.19577,0.259472,456318,92,261,92,261
15000,7.453628,7.243164,0.210464,7.365799,7.205597,0.248031,456891,90,263,90,263
15500,7.450097,7.234116,0.215982,7.344986,7.196594,0.253503,456276,107,265,107,265
16000,7.445743,7.249359,0.196384,7.363983,7.206055,0.239688,457319,109,268,109,268
16500,7.472904,7.275436,0.197467,7.395004,7.246231,0.226672,457391,93,268,93,268
17000,7.458397,7.277008,0.181389,7.391785,7.245758,0.212639,458123,81,270,81,270
17500,7.501833,7.314575,0.187258,7.418549,7.277542,0.224291,457572,78,270,78,270
18000,7.533791,7.30629,0.227501,7.423904,7.269882,0.263909,455512,89,270,89,270
18500,7.520267,7.266998,0.253269,7.391968,7.224899,0.295368,454669,96,270,96,270
19000,7.512993,7.234161,0.278832,7.360748,7.183136,0.329857,453248,122,271,122,271
19500,7.50389,7.241684,0.262206,7.37384,7.193695,0.310195,454452,119,272,119,272
20000,7.509184,7.215164,0.29402,7.351913,7.168213,0.340971,453046,125,274,125,274
