epoch,family,coverage,count,top_count,size,rep_hex,rep_printable,is_leader
17000,45,0.032043,8693,869,11,ee52c932ec321b329e744d055b90b320,.R.2.2.2.tM.[.._,0
17000,37,0.030792,7467,827,13,95a10fe84ed041612641b4bf56b75b18,....N.Aa&A..V.[.,0
17500,36,0.043488,3395,824,5,aa193e8be832587d1f2c5dedae40fe2d,"..>..2X}.,]..@.-",0
17500,29,0.03772,11619,1082,16,3fffc1ff6a8b60516e0f174e156132dd,?...j.`Qn..N.a2.,0
17500,36,0.036713,4994,685,8,32587d1f2c5dedae40fe2d2a397afea1,"2X}.,]..@.-*9z..",0
17500,46,0.02887,7463,697,13,1ae3d6573ea5c1eb0b7dd02c5db6eaec,"...W>....}.,]...",0
17500,28,0.02655,6000,709,11,9dc4e03e5c396f327d452c5d68feb4fe,"...>\9o2}E,]h...",0
17500,47,0.025604,11545,751,18,2282835a4e6e9a3265b4549506b75b59,"""..ZNn.2e.T...[Y",0
18000,48,0.056,14639,1102,20,cde97d2c5d7e5fbd8b319d30655ed24d,"..},]~_..1.0e^.M",0
18000,49,0.052551,21222,903,31,f5f45c3273d84aa2335f5b240fab8ff4,..\2s.J.3_[$....,0
18000,50,0.051147,7877,943,12,335f5b240fab8ff43eb7c5cde97d2c5d,"3_[$....>....},]",0
18000,36,0.039276,7593,764,13,32587d1f2c5dedae40fe2d2a397afea1,"2X}.,]..@.-*9z..",0
18000,33,0.024963,4360,774,7,e2209e90cff0437218b48188dfe2a4c9,._....Cr........,0
18000,51,0.023529,6486,693,12,3ea50c47987d4a2cd8b6eaba5d9f5bad,">..G.}J,....].[.",0
18500,48,0.082611,14188,775,25,f43eb7c5cde97d2c5d7e5fbd8b319d30,".>....},]~_..1.0",0
18500,52,0.03717,3434,773,6,b4fee294309bd4f3ccfe632de5c726e9,....0.....c-..&.,0
18500,53,0.032623,5248,552,11,5d68fe0afee294309bd4f30151632de5,]h.....0....Qc-.,0
18500,54,0.02829,1826,493,4,ffd278c501aefaa3ff48d583f5f45c32,..x......H....\2,0
18500,55,0.027985,4031,488,9,7d2c5d204a83717d42307c2657a4b1ed,"},]_J.q}B0|&W...",0
18500,56,0.025452,2892,418,7,5b72913b1c0a3e502ffb4d7d2c5d204a,"[r.;..>P/.M},]_J",0
19000,48,0.065369,14709,754,29,3eb7c5cde97d2c5d015fbd8b319d3065,">....},]._..1.0e",0
19000,50,0.060425,9707,619,20,a2335f5b24478a8ff43eb7c5cde97d2c,".3_[$G...>....},",0
19000,48,0.033875,3327,667,7,e97d2c5d7ebdbd8ba98d30805ed27695,".},]~.....0.^.v.",0
19000,57,0.033203,7840,595,16,a32c5dedae40fe2dca397afea13f8631,".,]..@.-.9z..?.1",0
19000,49,0.032349,3559,591,7,205ce573d84aa2335f5b24478a8ff43e,_\.s.J.3_[$G...>,0
19000,58,0.027527,2922,890,4,3ffff4fe9994fefe96dd5a233284981d,?.........Z#2...,0
19500,59,0.067932,9634,760,20,1ae3b1573e018064377d352c5dc8a32d,"...W>..d7}5,]..-",0
19500,60,0.061859,10625,744,20,5b452397eeae3e56d963e97d2c5d7ebd,"[E#...>V.c.},]~.",0
19500,61,0.043915,6384,941,9,ff8392584c7a9d250f9d5f74a274f232,...XLz.%.._t.t.2,0
19500,50,0.03064,5350,575,10,375f5bbf0fab8f193e0f87ac037d2c5d,"7_[.....>....},]",0
19500,62,0.03064,4692,550,10,8064377d352c5dc8a32d5df702645818,".d7}5,]..-]..dX.",0
19500,63,0.020996,4292,631,7,ffff543fe152a2fe57160f4a84beef5b,..T?.R..W..J...[,0
20000,59,0.046722,12042,860,20,e3b1573e018064377d352c5dc8a32f8c,"..W>..d7}5,]../.",0
20000,60,0.040222,12365,761,24,5b45239730ae3e56d963e97d2c5d7eb1,"[E#.0.>V.c.},]~.",0
20000,64,0.035492,5697,588,12,f23267a7d35a5bc9a708451537dc0492,.2g..Z[...E.7...,0
20000,65,0.034821,5693,740,9,52323774326dd988c4413e5c396f327d,R27t2m...A>\9o2},0
20000,66,0.029327,5401,520,11,7d2c5d20b0bd8b31b6e66545d24dca64,"},]_...1..eE.M.d",0
20000,67,0.02771,5132,664,9,21fe242fb6fe60f2d53490ad3b327332,!.$/..`..4..;2s2,0
20500,68,0.05188,16067,1073,22,926db7647238d73bec8ef4b5fafa18d6,.m.dr8.;........,0
20500,69,0.04953,12567,1250,15,160fce84be315b0a275a926db7647238,.....1[.'Z.m.dr8,0
20500,70,0.030548,5216,501,11,c542aefafeff48d516f5f45cc973d84a,.B....H....\.s.J,0
