epoch,family,coverage,count,top_count,size,rep_hex,rep_printable,is_leader
7000,0,0.15799,30693,558,73,5b5b3e92089108a095fde76d7d510851,[[>........m}Q.Q,0
7000,1,0.129547,18611,648,38,742a5970948e265b5b3e92089108a095,t*Yp..&[[>......,0
7000,2,0.079834,10550,482,27,6d7d5108515136fa2c590a0151c7f05d,"m}Q.QQ6.,Y..Q..]",0
7000,3,0.062469,12472,504,29,c7385d2b5d264dc7f2b764d84cc75b59,.8]+]&M...d.L.[Y,0
7000,4,0.054535,5627,528,14,fa2c59a36251c7f05d2b5d26b0c712ee,".,Y.bQ..]+]&....",0
7000,5,0.048767,4295,741,9,5d78b2c7125959d8a0c75b3a59341e34,]x...YY...[:Y4.4,0
7500,6,0.145935,18115,905,40,3474df595946fd0e5b5b3eea08e7f5a0,4t.YYF..[[>.....,0
7500,7,0.113922,27226,709,56,9d51513f2d2cba0a6251c7535d73b0c7,".QQ?-,..bQ.S]s..",0
7500,4,0.065186,9994,984,23,513ffa2c590a620bc7385d2b5d264dc7,"Q?.,Y.b..8]+]&M.",0
7500,8,0.063354,17168,708,29,3eeaa2a9fc77e208e7647d6d9d51513f,>....w...d}m.QQ?,0
7500,9,0.054321,4963,740,11,264dc7f2b764d84cc75b5997341e349d,&M...d.L.[Y.4.4.,0
7500,10,0.029816,2792,524,6,e80a625136f05d2b5d26dbc7125959d8,..bQ6.]+]&...YY.,0
8000,11,0.158539,22594,594,51,fda16d7d510851a73f272c590a0a97c7,"..m}Q.Q.?',Y....",0
8000,12,0.118469,10754,686,23,74a359ba465e015b5b3eea085908fae2,t.Y.F^.[[>..Y...,0
8000,5,0.036316,3623,451,9,5d267c3e125959d8c7c75b955934a634,]&|>.YY...[.Y4.4,0
8000,0,0.031769,5103,530,12,5b5b3ec108e708a0e2fde76d7d5508e4,[[>........m}U..,0
8000,13,0.03006,2399,581,5,97783ff52c590a620bc7585df65d264d,".x?.,Y.b..X].]&M",0
8000,0,0.029388,5228,480,13,5b3e4ccee268a0e2fde7ac7d510851dc,[>L..h.....}Q.Q.,0
8500,14,0.162018,41355,907,73,7dc30897513ffa2c790a620bc79d5d2b,"}...Q?.,y.b...]+",0
8500,15,0.155609,35186,984,50,46fd0e5b5b3eea0804a475e2fd096d7d,F..[[>....u...m},0
8500,16,0.073517,23822,791,38,30a0e2fd196d7d77083adc8efa2c490a,"0....m}w.:...,I.",0
8500,17,0.029999,10218,875,16,dc805b5b3e7c0cc908a0e201327a7d51,..[[>|......2z}Q,0
