epoch,family,coverage,count,top_count,size,rep_hex,rep_printable,is_leader
5750,0,0.151398,21486,966,38,2c7e7e0b7de03e5574245e15de2c305d,",~~.}.>Ut$^..,0]",0
5750,1,0.117157,20022,1332,30,5b5b5bde4a174f2c7e7e0b7de03e5574,"[[[.J.O,~~.}.>Ut",0
5750,2,0.058472,13434,627,26,b15b5ee1de352f2d2c7e9b0b7dfc3e51,".[^..5/-,~..}.>Q",0
5750,3,0.051666,9317,861,14,42625beaff845d6a5d2d6dae60aafaff,Bb[...]j]-m.`...,0
5750,4,0.04834,5639,555,11,01fefb3dffc6026b6642625beaff845d,...=...kfBb[...],0
5750,5,0.032074,16059,864,23,5e412a2c305d1f245e15de93305d1f24,"^A*,0].$^...0].$",0
6000,1,0.171844,40725,1345,70,5b5bde4a174f2c7e7e0b7de03e557424,"[[.J.O,~~.}.>Ut$",0
6000,0,0.094513,23093,703,49,e22c08740b7de03e5574245e15de2c2f,".,.t.}.>Ut$^..,/",1
6000,6,0.055603,8773,491,20,74245ed2de2c305d1ff2fe0ffa343680,"t$^..,0].....46.",0
6000,7,0.028595,3895,486,9,602d70784a4dee7ebab29a7f495d0b7d,`-pxJM.~....I].},0
6000,8,0.019012,9708,602,19,5bde4a1f4f80804a9080e1185b5b5bde,[.J.O..J....[[[.,0
6000,9,0.018738,4443,610,9,c12d6542e92d46214a0f2a7eba40ba7f,.-eB.-F!J.*~.@..,0
6500,0,0.102234,20091,742,42,174f2c7ece0b7de03e550dd35e33de2c,".O,~..}.>U..^3.,",1
6500,1,0.087341,13787,1008,25,e1175b6b5bde4a174f2c7ece0b7de03e,"..[k[.J.O,~..}.>",0
6500,10,0.058655,9322,466,22,268c2c305d1f23fe183a3436204bc12d,"&.,0].#..:46_K.-",0
6500,11,0.031891,5024,598,11,408080ce819080e1f55b5b5bde4a174f,@........[[[.J.O,0
6500,12,0.027191,2236,455,5,80808060902ca2175b5ee153352f9c2c,"...`.,..[^.S5/.,",0
6500,13,0.022888,2715,666,5,6e6b0e2ddf724a48ee77ba7a417f495d,nk.-.rJH.w.zA.I],0
7000,0,0.133392,32959,728,71,174f2c7ece0b7de03e550dd35e33de2c,".O,~..}.>U..^3.,",1
7000,1,0.08728,19323,968,36,175b6b5bde4a174f2c7ece0b7de03e55,".[k[.J.O,~..}.>U",0
7000,14,0.026917,3786,489,9,7dd83e5574725e15052c305d865bf83a,"}.>Utr^..,0].[.:",0
7000,15,0.025299,8112,738,13,3bea5bfefe1f4a174f2cbe86197d3f3e,";.[...J.O,...}?>",0
7000,16,0.024048,8606,708,17,8f5b40088a902f2d2c0f1d027dd83e55,".[@.../-,...}.>U",0
7000,17,0.019287,3234,574,7,74f95d1f5efed67e34e26cbd122d6eac,t.].^..~4.l..-n.,0
7500,18,0.074738,13767,529,31,5b5ee15335bd302cc4750b7d4c3e5532,"[^.S5.0,.u.}L>U2",0
7500,19,0.052399,4504,668,9,5c2d2c7e1a8d7d483e5574245e412a2c,"\-,~..}H>Ut$^A*,",0
7500,20,0.039398,6925,786,13,245ec2b92c30882e5efefefa3460a235,"$^..,0..^...4`.5",0
7500,21,0.037384,4334,773,8,7d0d3e5574245e412a2ce25d1f42ce15,"}.>Ut$^A*,.].B..",0
7500,22,0.031525,3528,606,7,5be1a1444f2ce97e0b7de03e55fa2458,"[..DO,.~.}.>U.$X",0
7500,23,0.030212,1541,563,3,83aca370eec9ba7a417f495d5f3b1105,...p...zA.I]_;..,0
8000,19,0.073456,18385,1165,27,2d2c7e1a8d7d483e5574245e412a2ce2,"-,~..}H>Ut$^A*,.",0
8000,24,0.066772,17160,959,32,4f2c7ecede7de03e550dd35e248d2c94,"O,~..}.>U..^$.,.",0
8000,13,0.04245,10185,1260,11,660e2ddfae4a48eeddba7a41fe495df3,f.-..JH...zA.I].,0
8000,25,0.04129,11748,671,23,e117a15b5b05a12f4f2ce97e0b7de03e,"...[[../O,.~.}.>",0
8000,26,0.038971,10426,1148,13,c50534d2808cc15e6e660e2ddfae4a48,..4....^nf.-..JH,0
8000,27,0.033844,4404,599,9,804e804a9990e16d5b6c9253355c2d2c,".N.J...m[l.S5\-,",0
8500,0,0.051788,7640,590,15,672ce97e0b7de03e55b3245815de2cb2,"g,.~.}.>U.$X..,.",1
8500,1,0.037872,4921,794,8,5bde4a494f2c7e7ea57d2a3e5574ddfe,"[.JIO,~~.}*>Ut..",0
8500,28,0.032715,6441,859,9,0dd35e33de78ff5d4ad3fed6fa34366d,..^3.x.]J....46m,0
8500,29,0.030731,7227,951,10,5d4ad3fed6fa34366dd75c2dfe6b252d,]J....46m.\-.k%-,0
8500,30,0.026703,9372,851,13,6cb1638c7ef27e91402f7f495d9feeff,l.c.~.~.@/.I]...,0
8500,31,0.024567,6614,761,10,7e0f367da33e5564245e342c20755d72,"~.6}.>Ud$^4,_u]r",0
9000,32,0.051025,23515,964,32,248d2cb6efaf119bc5053423808cc199,"$.,.......4#....",0
9000,13,0.04187,5245,889,8,aa2ddfae4a48eeddba7a41fe495dfc3b,.-..JH...zA.I].;,0
9000,33,0.040466,6316,767,11,008092a4a8159e2f5b3a5bf14a174f2c,"......./[:[.J.O,",0
9000,22,0.031281,6317,601,13,5b5be18b444f2ce97e0b7de03eaffa24,"[[..DO,.~.}.>..$",0
9000,26,0.030426,11729,912,14,053423808cc1996e66aa2ddfae4a48ee,.4#....nf.-..JH.,0
9000,34,0.021545,7363,823,13,20800532f984aa175b5e033735399c2c,"_..2....[^.759.,",0
9500,35,0.0513,18787,1138,26,2c23fd0b7d3e2c55a463a115f4a6715d,",#..}>,U.c....q]",0
9500,36,0.034241,8005,645,16,2c55a463a115f4a6715d9720800591f9,",U.c....q]._....",0
9500,19,0.03183,11003,527,24,53ec5c2d2cd21a8d7d483e5574a75e41,"S.\-,...}H>Ut.^A",0
9500,37,0.028625,4031,479,9,e198354c502c7e128d7d0d3e55b90c5e,"..5LP,~..}.>U..^",0
9500,38,0.025574,2098,424,5,e1ded761052c7e9e357d143e557424ab,"...a.,~.5}.>Ut$.",0
9500,39,0.024506,7742,611,16,027dcf3e42f9725ebbde2c035d865bc7,".}.>B.r^..,.].[.",0
10000,28,0.037415,10831,889,18,0d4f5e91de78ff5d4ad3fed6fa34f06d,.O^..x.]J....4.m,0
10000,22,0.033264,5528,593,10,5b5be18bee4f2ce98a0b7de03eaffa24,"[[...O,...}.>..$",0
10000,40,0.021118,6962,573,14,e1d215d1942c9eb3947dc23e557424fb,".....,...}.>Ut$.",0
10000,32,0.02063,7856,644,13,412ce7efaf119bc5053423808ce4998a,"A,.......4#.....",0
10000,41,0.02005,6193,602,12,2f4f2ce97e0b7de03ebffad407342b2c,"/O,.~.}.>....4+,",0
10000,42,0.019745,3317,515,7,174f2c0b86c17d0c3e556a3a5170672c,".O,...}.>Uj:Qpg,",0
10500,43,0.049316,20662,1144,29,e1c5315b5b2a6038278f7e2c1d7d8d3e,"..1[[*`8'.~,.}.>",0
10500,44,0.034729,6255,628,11,2cb25dd95e9174fa60a4d72764f9ae8d,",.].^.t.`..'d...",0
10500,45,0.034637,7482,615,14,a3071317565b07e1a5444f80f75b4a70,....V[...DO..[Jp,0
10500,46,0.03006,7926,809,11,7e2c1d7d8d3e55742412ea022cb25dd9,"~,.}.>Ut$...,.].",0
10500,47,0.028809,9188,792,18,91045b075bb253494f2c7e7e987d283e,"..[.[.SIO,~~.}(>",0
10500,48,0.026428,2960,437,7,67db326a993f1c03466a83f7602d700b,g.2j.?..Fj..`-p.,0
11000,49,0.036438,16953,945,24,dc027b0f4286c697eab55d20a32d6d7c,..{.B.....]_.-m|,0
11000,50,0.035889,2188,730,4,408083f732f307f917565b07e18c444f,@...2....V[...DO,0
11000,51,0.033264,5786,566,12,3d207d3e6655a4855eda072c92898646,"=_}>fU..^..,...F",0
