# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       159  ................  01010101010101010101010101010101
       119  IIIIIIIIIIIIIIII  49494949494949494949494949494949
       109  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        94  ................  00000000000000000000000000000000
        93  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
        84  EEEEEEEEEEEEEEEE  45454545454545454545454545454545
# epoch 2000  H=7.8518 C=7.6803 HO=0.1056  A(t)=242
       522  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       521  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       255  ................  01010101010101010101010101010101
       185  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       181  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       135  ................  fefefefefefefefefefefefefefefefe
       125  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       124  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       100  ................  c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
       100  ................  02020202020202020202020202020202
# epoch 2250  H=7.8415 C=7.6599 HO=0.1175  A(t)=258
       696  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       649  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       197  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       163  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       156  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       109  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       108  ................  d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2
        95  ................  08080808080808080808080808080808
        88  ................  a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3
        87  ................  04040404040404040404040404040404
# epoch 2500  H=7.8346 C=7.6356 HO=0.1334  A(t)=276
       632  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       547  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       356  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       216  ................  01010101010101010101010101010101
       209  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       131  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       123  ................  ffffffffffffffffffffffffffffffff
       123  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        98  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
        98  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
# epoch 2750  H=7.8279 C=7.6292 HO=0.1325  A(t)=286
       479  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       464  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       378  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       227  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       160  ................  01010101010101010101010101010101
       122  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       121  ................  f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
       111  ................  b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3
       106  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       104  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
# epoch 3000  H=7.8279 C=7.6252 HO=0.1341  A(t)=291
       635  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       407  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       302  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       171  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       161  ................  fafafafafafafafafafafafafafafafa
       136  ................  ffffffffffffffffffffffffffffffff
       113  ++++++++++++++++  2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b
       108  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       106  ................  d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
       105  ................  fefefefefefefefefefefefefefefefe
# epoch 3250  H=7.8267 C=7.6414 HO=0.1212  A(t)=296
       499  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       492  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       404  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       169  ................  01010101010101010101010101010101
       127  ................  ffffffffffffffffffffffffffffffff
       114  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       106  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
       102  ))))))))))))))))  29292929292929292929292929292929
        98  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
        96  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
# epoch 3500  H=7.8160 C=7.5929 HO=0.1531  A(t)=300
       683  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       508  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       462  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       267  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       195  ................  01010101010101010101010101010101
       135  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       109  ................  ffffffffffffffffffffffffffffffff
       106  ................  81818181818181818181818181818181
