# epoch 0  H=7.9996 C=8.0025 HO=-0.0030  A(t)=0
       139  ................  d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2
# epoch 160  H=7.9966 C=7.7189 HO=0.2777  A(t)=170
       339  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
       274  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
       259  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       208  4444444444444444  34343434343434343434343434343434
       165  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       159  9999999999999999  39393939393939393939393939393939
       141  1111111111111111  31313131313131313131313131313131
       140  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
       136  ................  02020202020202020202020202020202
       134  ................  d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2
# epoch 180  H=7.9961 C=7.6963 HO=0.2998  A(t)=184
       313  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
       278  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       271  ................  02020202020202020202020202020202
       256  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
       204  4444444444444444  34343434343434343434343434343434
       178  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       147  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       140  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
       138  1111111111111111  31313131313131313131313131313131
       129  ................  d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2
# epoch 200  H=7.9956 C=7.6811 HO=0.3146  A(t)=195
       303  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
       253  ................  02020202020202020202020202020202
       241  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       227  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       224  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
       215  4444444444444444  34343434343434343434343434343434
       189  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       175  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
       157  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
       151  ................  e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
# epoch 220  H=7.9953 C=7.6647 HO=0.3306  A(t)=213
       255  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
       236  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       226  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       216  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       198  ................  02020202020202020202020202020202
       197  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
       188  4444444444444444  34343434343434343434343434343434
       159  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
       148  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
       148  ................  e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
# epoch 240  H=7.9945 C=7.6492 HO=0.3453  A(t)=220
       357  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       270  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       254  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
       207  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       182  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
       177  4444444444444444  34343434343434343434343434343434
