# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       372  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       306  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       221  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       135  ................  81818181818181818181818181818181
       110  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
        98  ................  19191919191919191919191919191919
        91  ................  9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f
        86  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
        84  ................  94949494949494949494949494949494
# epoch 2000  H=7.8514 C=7.6542 HO=0.1306  A(t)=243
       662  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       527  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       361  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       154  ................  ffffffffffffffffffffffffffffffff
       130  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       121  ................  ebebebebebebebebebebebebebebebeb
       120  ................  bcbcbcbcbcbcbcbcbcbcbcbcbcbcbcbc
       116  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
       112  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       104  ................  01010101010101010101010101010101
# epoch 2250  H=7.8410 C=7.6389 HO=0.1315  A(t)=266
       516  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       511  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       432  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       167  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       134  ................  cfcfcfcfcfcfcfcfcfcfcfcfcfcfcfcf
       109  ................  bebebebebebebebebebebebebebebebe
       103  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        94  ................  efefefefefefefefefefefefefefefef
        92  ................  e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5
        90  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
# epoch 2500  H=7.8319 C=7.6218 HO=0.1428  A(t)=293
       774  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       701  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       389  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       271  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       144  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       128  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       128  ................  07070707070707070707070707070707
       106  ................  bcbcbcbcbcbcbcbcbcbcbcbcbcbcbcbc
       105  ................  ffffffffffffffffffffffffffffffff
       101  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 2750  H=7.8244 C=7.6118 HO=0.1440  A(t)=301
       593  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       369  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       310  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       187  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       118  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
       113  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       103  ................  04040404040404040404040404040404
        84  ................  9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d
        83  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        81  ................  e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5
# epoch 3000  H=7.8202 C=7.6115 HO=0.1406  A(t)=303
       715  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       557  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       210  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       189  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       148  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       143  ................  02020202020202020202020202020202
       133  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       129  ((((((((((((((((  28282828282828282828282828282828
       128  ................  00000000000000000000000000000000
       101  ++++++++++++++++  2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b
# epoch 3250  H=7.8210 C=7.6196 HO=0.1344  A(t)=307
       494  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       340  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       195  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       188  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       177  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       157  ................  02020202020202020202020202020202
       137  ................  82828282828282828282828282828282
       136  ................  04040404040404040404040404040404
       129  ................  d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4
       114  ................  01010101010101010101010101010101
# epoch 3500  H=7.8154 C=7.6108 HO=0.1406  A(t)=307
       432  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       419  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       382  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       181  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
