# epoch 0  H=7.9996 C=8.0025 HO=-0.0029  A(t)=0
       252  ................  97979797979797979797979797979797
       231  ................  ffffffffffffffffffffffffffffffff
       227  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
       215  ................  8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c
       180  ................  99999999999999999999999999999999
       162  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       145  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
       137  ................  1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f
       129  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
# epoch 180  H=7.9963 C=7.6855 HO=0.3108  A(t)=181
       302  ................  97979797979797979797979797979797
       297  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       248  ................  01010101010101010101010101010101
       210  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       198  ................  99999999999999999999999999999999
       196  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
       194  ................  ffffffffffffffffffffffffffffffff
       192  ................  8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c
       182  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
       182  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
# epoch 200  H=7.9956 C=7.6637 HO=0.3319  A(t)=194
       344  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       301  ................  97979797979797979797979797979797
       248  ................  01010101010101010101010101010101
       240  ................  ffffffffffffffffffffffffffffffff
       239  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
       228  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       176  ................  8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c
       175  ................  99999999999999999999999999999999
       160  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
       155  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
# epoch 220  H=7.9949 C=7.6415 HO=0.3534  A(t)=204
       333  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       282  ................  97979797979797979797979797979797
       248  ................  01010101010101010101010101010101
       238  ................  ffffffffffffffffffffffffffffffff
       234  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       222  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
       179  ................  87878787878787878787878787878787
       168  ................  99999999999999999999999999999999
       153  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
       151  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
# epoch 240  H=7.9941 C=7.6222 HO=0.3719  A(t)=207
       338  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       308  ................  97979797979797979797979797979797
       282  ................  01010101010101010101010101010101
       235  ................  ffffffffffffffffffffffffffffffff
       217  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       198  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
       194  ................  87878787878787878787878787878787
       147  ................  99999999999999999999999999999999
       146  ................  8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c
       141  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
# epoch 260  H=7.9933 C=7.6051 HO=0.3882  A(t)=217
       301  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       289  ................  97979797979797979797979797979797
       276  ................  ffffffffffffffffffffffffffffffff
       254  ................  01010101010101010101010101010101
       214  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
       199  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       165  ................  87878787878787878787878787878787
       163  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       149  ................  ebebebebebebebebebebebebebebebeb
       147  ................  99999999999999999999999999999999
# epoch 280  H=7.9925 C=7.5841 HO=0.4084  A(t)=220
       296  ................  01010101010101010101010101010101
       290  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       281  ................  97979797979797979797979797979797
       254  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       250  ................  ffffffffffffffffffffffffffffffff
       213  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
       193  ................  ebebebebebebebebebebebebebebebeb
       169  ................  87878787878787878787878787878787
       158  ................  85858585858585858585858585858585
       147  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
# epoch 300  H=7.9917 C=7.5574 HO=0.4342  A(t)=226
       337  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       266  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       264  ................  01010101010101010101010101010101
       263  ................  ebebebebebebebebebebebebebebebeb
       254  ................  97979797979797979797979797979797
