# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       508  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       345  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       247  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       130  XXXXXXXXXXXXXXXX  58585858585858585858585858585858
        95  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        82  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        81  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
        80  ................  05050505050505050505050505050505
        79  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
# epoch 2000  H=7.8433 C=7.6457 HO=0.1286  A(t)=251
       629  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       415  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       298  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       281  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       122  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       120  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       112  ................  fefefefefefefefefefefefefefefefe
       105  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       105  ................  01010101010101010101010101010101
       102  ''''''''''''''''  27272727272727272727272727272727
# epoch 2250  H=7.8337 C=7.6239 HO=0.1408  A(t)=273
       609  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       519  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       314  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       231  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       221  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       143  ))))))))))))))))  29292929292929292929292929292929
       123  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       114  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
       107  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       101  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
# epoch 2500  H=7.8290 C=7.6278 HO=0.1315  A(t)=289
       561  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       518  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       378  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       209  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       184  ................  ffffffffffffffffffffffffffffffff
       142  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       124  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       122  ................  02020202020202020202020202020202
       101  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
        99  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
# epoch 2750  H=7.8229 C=7.6346 HO=0.1233  A(t)=293
       641  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       470  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       411  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       202  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       120  ................  07070707070707070707070707070707
       120  ................  04040404040404040404040404040404
       103  ................  ffffffffffffffffffffffffffffffff
        96  ................  fefefefefefefefefefefefefefefefe
        92  ................  01010101010101010101010101010101
        86  ................  b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2
# epoch 3000  H=7.8197 C=7.6219 HO=0.1313  A(t)=295
       515  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       455  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       448  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
