# epoch 0  H=7.9971 C=8.0032 HO=-0.0034  A(t)=0
        29  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        23  ................  ebebebebebebebebebebebebebebebeb
        10  ...............,  0101010101010101010101010101012c
         5  ...........,....  01010101010101010101012c01010101
         5  ............,...  0101010101010101010101012c010101
         5  .............,..  010101010101010101010101012c0101
# epoch 2250  H=7.4190 C=7.1562 HO=0.5280  A(t)=6
      1476  ................  01010101010101010101010101010101
       106  ................  00000000000000000000000000000000
        27  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
        14  ...............,  0101010101010101010101010101012c
         6  ..............,.  01010101010101010101010101012c01
         4  .............,..  010101010101010101010101012c0101
         3  e...............  65010101010101010101010101010101
         3  &&&&&&&&&&&&&&&&  26262626262626262626262626262626
         3  ................  010101cd010101010101010101010101
         3  ................  01010101020101010101010101010101
# epoch 2500  H=7.3565 C=7.1211 HO=0.4913  A(t)=7
      1449  ................  01010101010101010101010101010101
       135  ................  00000000000000000000000000000000
        14  ...............,  0101010101010101010101010101012c
         8  ..............,.  01010101010101010101010101012c01
         7  .............,..  010101010101010101010101012c0101
         6  ................  01010101010101010101020101010101
         5  ................  e3010101010101010101010101010101
         5  ................  01010101010101010102010101010101
         5  ............,...  0101010101010101010101012c010101
         4  ,...............  2c010101010101010101010101010101
# epoch 2750  H=7.3154 C=7.0460 HO=0.5038  A(t)=7
      1276  ................  01010101010101010101010101010101
       174  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       107  ................  00000000000000000000000000000000
        59  tttttttttttttttt  74747474747474747474747474747474
        29  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        12  ...............,  0101010101010101010101010101012c
         5  ..............,.  01010101010101010101010101012c01
         4  ................  cd010101010101010101010101010101
         4  ................  01cd0101010101010101010101010101
         4  ............,...  0101010101010101010101012c010101
# epoch 3000  H=7.2894 C=7.0289 HO=0.5106  A(t)=7
      1313  ................  01010101010101010101010101010101
       139  ................  00000000000000000000000000000000
        27  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        13  ...............,  0101010101010101010101010101012c
         8  ..............,.  01010101010101010101010101012c01
         7  .............,..  010101010101010101010101012c0101
         6  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
         5  ............,...  0101010101010101010101012c010101
         5  ................  01010101010101010101010101010102
         4  ................  03010101010101010101010101010101
# epoch 3250  H=7.2514 C=7.0183 HO=0.4534  A(t)=7
      1058  ................  01010101010101010101010101010101
       409  ................  00000000000000000000000000000000
        11  ...............,  0101010101010101010101010101012c
         9  ................  cbcbcbcbcbcbcbcbcbcbcbcbcbcbcbcb
         6  .............,..  010101010101010101010101012c0101
         6  ..............,.  01010101010101010101010101012c01
         4  ............,...  0101010101010101010101012c010101
         3  ................  c9010101010101010101010101010101
         3  ................  82010101010101010101010101010101
         3  ................  03010101010101010101010101010101
# epoch 3500  H=7.2350 C=6.9579 HO=0.4846  A(t)=7
      1098  ................  01010101010101010101010101010101
       317  ................  00000000000000000000000000000000
        70  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
        33  ................  95959595959595959595959595959595
        23  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
        14  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        13  3333333333333333  33333333333333333333333333333333
        11  ...............,  0101010101010101010101010101012c
         7  ................  01010101010101000101010101010101
         6  ..............,.  01010101010101010101010101012c01
# epoch 3750  H=7.2597 C=6.9819 HO=0.4693  A(t)=7
      1260  ................  01010101010101010101010101010101
       319  ................  00000000000000000000000000000000
        33  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
        16  ...............,  0101010101010101010101010101012c
        11  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
         9  ..............,.  01010101010101010101010101012c01
         8  .............,..  010101010101010101010101012c0101
         6  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
         6  ............,...  0101010101010101010101012c010101
         5  ..........,.....  010101010101010101012c0101010101
# epoch 4000  H=7.2494 C=6.9541 HO=0.4818  A(t)=9
      1103  ................  01010101010101010101010101010101
       384  ................  00000000000000000000000000000000
        15  ................  06060606060606060606060606060606
        13  wwwwwwwwwwwwwwww  77777777777777777777777777777777
         9  ...............,  0101010101010101010101010101012c
         5  ................  87878787878787878787878787878787
         5  ..............,.  01010101010101010101010101012c01
         3  wwwwwwwwwwwwwww.  77777777777777777777777777777701
         3  ................  02010101010101010101010101010101
         3  ................  010101fc010101010101010101010101
# epoch 4250  H=7.2105 C=6.9681 HO=0.4489  A(t)=9
      1194  ................  01010101010101010101010101010101
       266  ................  00000000000000000000000000000000
        40  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        10  ...............,  0101010101010101010101010101012c
         6  ..............,.  01010101010101010101010101012c01
         5  ................  01010101010101010101010101010100
         4  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
         4  ................  01010101010101010101010101010103
         4  ................  01010101010101010101010101010102
         3  ................  01010101010101010101cd0101010101
# epoch 4500  H=7.1450 C=6.9242 HO=0.4298  A(t)=9
      1309  ................  01010101010101010101010101010101
       477  ................  00000000000000000000000000000000
        22  ................  ffffffffffffffffffffffffffffffff
         8  ...............,  0101010101010101010101010101012c
         7  ................  01010101010101010101010101010102
         7  ................  01010101010101010101010101010100
         5  ..............,.  01010101010101010101010101012c01
         5  ................  0000000000000000000000000000002e
         4  ................  01010101010101010101010101020101
         4  ................  01010101010101010101010101010201
# epoch 4750  H=7.1023 C=6.8887 HO=0.3921  A(t)=9
       946  ................  01010101010101010101010101010101
       433  ................  00000000000000000000000000000000
        36  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        19  ................  02020202020202020202020202020202
        13  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
         6  ................  01010101010101010101010101010102
         6  ................  01010101010101010101010101010100
         5  ...............,  0101010101010101010101010101012c
         5  ................  01010101010101010101010101010001
         5  ................  01010101010101010101010101000101
# epoch 5000  H=7.0452 C=6.8754 HO=0.3480  A(t)=11
       928  ................  01010101010101010101010101010101
       452  ................  00000000000000000000000000000000
        22  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
         9  ................  01010101010101010101010101010102
         7  ................  01010101010101010101010101010202
         7  ...............,  0101010101010101010101010101012c
         6  ..............,.  01010101010101010101010101012c01
         4  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
         4  (...............  28010101010101010101010101010101
         4  ................  02010101010101010101010101010101
# epoch 5250  H=6.9989 C=6.8029 HO=0.3617  A(t)=11
      1158  ................  01010101010101010101010101010101
       577  ................  00000000000000000000000000000000
        12  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        12  ...............,  0101010101010101010101010101012c
         9  ..............,.  01010101010101010101010101012c01
         8  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
         7  ................  01010101010101010101010101010102
         6  .............,..  010101010101010101010101012c0101
         6  ................  01010101010101010101010101010202
         6  ................  01010101010101010101010101010100
# epoch 5500  H=6.9455 C=6.7627 HO=0.3595  A(t)=12
      1165  ................  01010101010101010101010101010101
       597  ................  00000000000000000000000000000000
        14  ffffffffffffffff  66666666666666666666666666666666
        12  ...............,  0101010101010101010101010101012c
         8  ..............,.  01010101010101010101010101012c01
