# epoch 0  H=7.9971 C=8.0032 HO=-0.0061  A(t)=0
        57  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
        56  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        48  ................  fefefefefefefefefefefefefefefefe
        47  ................  ffffffffffffffffffffffffffffffff
        47  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
# epoch 180  H=7.9852 C=7.6394 HO=0.3458  A(t)=45
       147  ................  01010101010101010101010101010101
        74  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
        71  ################  23232323232323232323232323232323
        60  ________________  20202020202020202020202020202020
        50  ................  d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3
        47  ................  ffffffffffffffffffffffffffffffff
        47  ................  09090909090909090909090909090909
        46  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
        46  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
        45  ................  fefefefefefefefefefefefefefefefe
# epoch 200  H=7.9842 C=7.6283 HO=0.3559  A(t)=49
       146  ................  01010101010101010101010101010101
        74  ................  ffffffffffffffffffffffffffffffff
        70  ################  23232323232323232323232323232323
        60  ________________  20202020202020202020202020202020
        57  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
        47  ................  09090909090909090909090909090909
        46  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
        45  ................  fefefefefefefefefefefefefefefefe
        43  ................  e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3
        41  ((((((((((((((((  28282828282828282828282828282828
# epoch 220  H=7.9833 C=7.6166 HO=0.3668  A(t)=58
       124  ................  01010101010101010101010101010101
        70  ################  23232323232323232323232323232323
        61  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
        59  ................  ffffffffffffffffffffffffffffffff
        57  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
        48  ________________  20202020202020202020202020202020
        47  ................  09090909090909090909090909090909
        43  ................  e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3
        41  ((((((((((((((((  28282828282828282828282828282828
        41  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
# epoch 240  H=7.9823 C=7.5909 HO=0.3914  A(t)=61
        98  ................  01010101010101010101010101010101
        69  ################  23232323232323232323232323232323
        60  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
        55  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
        47  ________________  20202020202020202020202020202020
        47  ................  09090909090909090909090909090909
        45  ................  ffffffffffffffffffffffffffffffff
        43  ................  e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3
        40  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        40  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
# epoch 260  H=7.9808 C=7.5704 HO=0.4104  A(t)=65
       123  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        89  ................  01010101010101010101010101010101
        69  ################  23232323232323232323232323232323
        57  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        53  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
        49  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
        47  ................  ffffffffffffffffffffffffffffffff
        47  ________________  20202020202020202020202020202020
        45  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
        39  ................  fefefefefefefefefefefefefefefefe
# epoch 280  H=7.9806 C=7.5616 HO=0.4190  A(t)=68
       139  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        88  ................  01010101010101010101010101010101
        67  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
        53  ################  23232323232323232323232323232323
        52  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        49  ................  ffffffffffffffffffffffffffffffff
        47  ________________  20202020202020202020202020202020
        44  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
        40  ................  02020202020202020202020202020202
        38  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
# epoch 300  H=7.9796 C=7.5668 HO=0.4128  A(t)=70
       132  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        88  ................  01010101010101010101010101010101
        58  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
        52  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        50  ################  23232323232323232323232323232323
        47  ________________  20202020202020202020202020202020
        46  ................  ffffffffffffffffffffffffffffffff
        44  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
        39  ................  02020202020202020202020202020202
        38  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
# epoch 320  H=7.9794 C=7.5780 HO=0.4014  A(t)=76
       128  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        79  ................  01010101010101010101010101010101
        57  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
        51  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        49  ################  23232323232323232323232323232323
        46  ................  ffffffffffffffffffffffffffffffff
        39  ................  02020202020202020202020202020202
        34  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
        31  ................  d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3
        31  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
# epoch 340  H=7.9791 C=7.5851 HO=0.3940  A(t)=79
       127  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        72  ................  01010101010101010101010101010101
        57  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
        50  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        46  ................  ffffffffffffffffffffffffffffffff
        39  ................  02020202020202020202020202020202
        34  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
        33  ################  23232323232323232323232323232323
        31  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
        30  ................  fefefefefefefefefefefefefefefefe
# epoch 360  H=7.9787 C=7.5815 HO=0.3971  A(t)=79
       127  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        71  ................  01010101010101010101010101010101
        57  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
        50  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        34  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
        34  ................  02020202020202020202020202020202
        33  ################  23232323232323232323232323232323
        30  ................  d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3
        29  ................  fefefefefefefefefefefefefefefefe
        29  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
# epoch 380  H=7.9753 C=7.5498 HO=0.4255  A(t)=80
       119  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        82  ................  05050505050505050505050505050505
        78  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        75  ................  1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b
        70  ................  01010101010101010101010101010101
        57  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
        50  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        34  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
        34  ................  02020202020202020202020202020202
        33  ################  23232323232323232323232323232323
# epoch 400  H=7.9733 C=7.5482 HO=0.4250  A(t)=81
       111  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        73  ................  1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b
        70  ................  01010101010101010101010101010101
        65  ................  05050505050505050505050505050505
        64  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        58  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        50  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        48  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
        39  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
        34  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
# epoch 420  H=7.9721 C=7.5511 HO=0.4209  A(t)=81
       110  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        77  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        71  ................  1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b
        65  ................  05050505050505050505050505050505
        57  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        57  ................  01010101010101010101010101010101
        48  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
        43  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        35  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
        34  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
# epoch 440  H=7.9712 C=7.5547 HO=0.4166  A(t)=84
        84  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        74  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        70  ................  1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b
        64  ................  05050505050505050505050505050505
        57  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        48  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
        44  ................  c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9
        43  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        35  ................  01010101010101010101010101010101
        34  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
# epoch 460  H=7.9703 C=7.5625 HO=0.4078  A(t)=85
        84  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        74  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        57  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        54  ................  05050505050505050505050505050505
        53  ................  1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b
        48  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
        43  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        43  ................  c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9
        35  ................  01010101010101010101010101010101
        29  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
# epoch 480  H=7.9672 C=7.5437 HO=0.4235  A(t)=88
        82  ................  1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b
        78  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        74  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        52  ................  12121212121212121212121212121212
        52  ................  05050505050505050505050505050505
        50  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        48  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
        47  ................  9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e
        45  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        35  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
# epoch 500  H=7.9668 C=7.5417 HO=0.4250  A(t)=88
        80  ................  1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b
        78  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        60  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        52  ................  05050505050505050505050505050505
        50  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        49  ................  b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3
        48  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
        46  ................  9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e
        46  ................  12121212121212121212121212121212
        40  ................  b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
# epoch 520  H=7.9668 C=7.5238 HO=0.4430  A(t)=89
        80  ................  1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b
        70  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        59  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        56  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
        50  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        48  ................  f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8
        47  ................  14141414141414141414141414141414
        46  ................  9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e
        45  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
        45  ................  12121212121212121212121212121212
# epoch 540  H=7.9622 C=7.4729 HO=0.4893  A(t)=89
       100  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        97  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
        80  ................  1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b
        70  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        69  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        56  ................  09090909090909090909090909090909
        56  ................  07070707070707070707070707070707
        52  ................  08080808080808080808080808080808
        48  ................  0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d
        47  ................  14141414141414141414141414141414
# epoch 560  H=7.9608 C=7.4507 HO=0.5101  A(t)=89
        99  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        96  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
        84  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
        69  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        69  ................  1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b
        55  ................  09090909090909090909090909090909
        53  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        51  ................  08080808080808080808080808080808
        48  ................  11111111111111111111111111111111
        47  ................  14141414141414141414141414141414
# epoch 580  H=7.9593 C=7.4335 HO=0.5258  A(t)=90
        84  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
        83  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
        82  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        69  ................  1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b
        66  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        55  ................  09090909090909090909090909090909
        53  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        51  ................  08080808080808080808080808080808
        49  GGGGGGGGGGGGGGGG  47474747474747474747474747474747
        47  ................  19191919191919191919191919191919
# epoch 600  H=7.9566 C=7.4130 HO=0.5436  A(t)=93
        97  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        84  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
        82  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
        77  GGGGGGGGGGGGGGGG  47474747474747474747474747474747
        74  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        66  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        64  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        54  ................  09090909090909090909090909090909
        49  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
        46  ................  19191919191919191919191919191919
# epoch 620  H=7.9515 C=7.3965 HO=0.5550  A(t)=95
       145  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        84  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
        81  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
        67  pppppppppppppppp  70707070707070707070707070707070
        63  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        60  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        59  GGGGGGGGGGGGGGGG  47474747474747474747474747474747
        58  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        54  ................  09090909090909090909090909090909
        48  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
# epoch 640  H=7.9464 C=7.3889 HO=0.5575  A(t)=99
       189  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        81  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
        68  pppppppppppppppp  70707070707070707070707070707070
        66  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        63  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
        58  GGGGGGGGGGGGGGGG  47474747474747474747474747474747
        58  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        57  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        54  ................  09090909090909090909090909090909
        46  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
# epoch 660  H=7.9417 C=7.3845 HO=0.5571  A(t)=103
       167  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        79  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
        63  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
        61  pppppppppppppppp  70707070707070707070707070707070
        57  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        54  GGGGGGGGGGGGGGGG  47474747474747474747474747474747
        49  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        46  ................  19191919191919191919191919191919
        45  ................  bebebebebebebebebebebebebebebebe
        44  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
# epoch 680  H=7.9355 C=7.3665 HO=0.5690  A(t)=105
       173  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       164  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        63  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
        62  pppppppppppppppp  70707070707070707070707070707070
        51  GGGGGGGGGGGGGGGG  47474747474747474747474747474747
        49  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        48  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
        45  ................  bebebebebebebebebebebebebebebebe
        42  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        42  tttttttttttttttt  74747474747474747474747474747474
# epoch 700  H=7.9338 C=7.3513 HO=0.5825  A(t)=107
       172  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       146  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       100  pppppppppppppppp  70707070707070707070707070707070
        58  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
        48  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
        48  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        45  ................  bebebebebebebebebebebebebebebebe
        42  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        42  tttttttttttttttt  74747474747474747474747474747474
        40  GGGGGGGGGGGGGGGG  47474747474747474747474747474747
# epoch 720  H=7.9291 C=7.3304 HO=0.5986  A(t)=107
       197  ................  c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
       145  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       143  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        74  pppppppppppppppp  70707070707070707070707070707070
        58  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
        47  yyyyyyyyyyyyyyyy  79797979797979797979797979797979
        42  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
