epoch,wall_s,sim_s,entropy_bits,zlib_bits,high_order_entropy,mean_steps,frac_copy_runs,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t
940,2.149,0.981,7.875142,7.24939,0.625752,572.3205,0.542578,0.057129,0.707715,0.235156,10240,5860562,328,55253,74,124
960,2.186,0.999,7.875653,7.255981,0.619671,569.7499,0.542773,0.056836,0.702637,0.240527,10240,5834239,326,55367,75,126
980,2.223,1.017,7.867539,7.255249,0.61229,588.7035,0.541797,0.059082,0.704688,0.23623,10240,6028324,341,55421,74,126
1000,2.285,1.041,7.861086,7.24646,0.614626,611.2324,0.543848,0.061426,0.709375,0.229199,10240,6259020,304,55419,72,127
1020,2.365,1.075,7.857627,7.24231,0.615318,575.0942,0.554297,0.056934,0.716797,0.22627,10240,5888965,286,55435,71,129
1040,2.435,1.107,7.855827,7.239136,0.616691,580.9521,0.559473,0.057617,0.722559,0.219824,10240,5948950,326,55425,69,130
1060,2.514,1.146,7.851945,7.229126,0.622819,605.9278,0.550488,0.06084,0.724023,0.215137,10240,6204701,294,55396,68,131
1080,2.573,1.181,7.8486,7.24646,0.60214,604.7875,0.554297,0.06084,0.72627,0.212891,10240,6193024,293,55587,63,132
1100,2.612,1.2,7.845771,7.249756,0.596015,586.7396,0.574512,0.058594,0.737012,0.204395,10240,6008214,328,55625,63,133
1120,2.65,1.219,7.846456,7.266479,0.579976,590.3241,0.574219,0.059082,0.737109,0.203809,10240,6044919,265,55757,62,133
1140,2.687,1.238,7.840377,7.263428,0.576949,611.7562,0.57168,0.061426,0.73252,0.206055,10240,6264384,292,55685,60,134
1160,2.726,1.257,7.834076,7.247192,0.586883,619.552,0.566992,0.062402,0.738281,0.199316,10240,6344212,290,55613,61,135
1180,2.765,1.276,7.821628,7.251099,0.57053,598.4313,0.566211,0.059961,0.735156,0.204883,10240,6127937,282,55728,58,136
1200,2.802,1.295,7.814556,7.269653,0.544903,590.5439,0.582227,0.058984,0.734863,0.206152,10240,6047170,284,55912,57,136
1220,2.84,1.314,7.806008,7.286865,0.519142,595.6946,0.591309,0.059863,0.733789,0.206348,10240,6099913,331,56081,54,137
1240,2.879,1.334,7.791023,7.279419,0.511604,607.743,0.616504,0.061035,0.743066,0.195898,10240,6223288,272,56070,55,139
1260,2.942,1.357,7.784309,7.277954,0.506355,600.7841,0.625977,0.060254,0.748828,0.190918,10240,6152029,294,56118,53,139
1280,3.022,1.397,7.780911,7.271973,0.508939,647.263,0.618164,0.06543,0.749316,0.185254,10240,6627973,301,56127,52,143
1300,3.089,1.437,7.767506,7.263916,0.50359,640.2963,0.620703,0.064648,0.744629,0.190723,10240,6556634,311,56116,52,145
1320,3.127,1.457,7.759156,7.266113,0.493042,653.3276,0.631348,0.066504,0.751074,0.182422,10240,6690075,317,56132,51,147
1340,3.167,1.477,7.757813,7.266602,0.491211,650.96,0.628516,0.066309,0.750391,0.183301,10240,6665830,303,56207,49,148
1360,3.206,1.497,7.750916,7.28186,0.469056,668.5334,0.635059,0.067773,0.757227,0.175,10240,6845782,336,56361,46,148
1380,3.245,1.518,7.754907,7.282349,0.472559,672.1657,0.623828,0.068848,0.759082,0.17207,10240,6882977,312,56431,43,152
1400,3.285,1.539,7.753576,7.282349,0.471227,689.7248,0.62334,0.07041,0.770605,0.158984,10240,7062782,338,56494,39,153
1420,3.324,1.559,7.751281,7.268188,0.483093,661.7138,0.608203,0.066992,0.780078,0.15293,10240,6775949,315,56401,41,154
1440,3.363,1.579,7.755987,7.284058,0.47193,626.9934,0.610254,0.062988,0.781055,0.155957,10240,6420412,306,56460,37,154
1460,3.419,1.6,7.754603,7.297607,0.456996,655.3459,0.605176,0.066309,0.779492,0.154199,10240,6710742,283,56581,37,154
1480,3.533,1.658,7.755142,7.308472,0.44667,637.1409,0.599316,0.063672,0.777344,0.158984,10240,6524323,298,56619,40,154
1500,3.598,1.699,7.758608,7.328735,0.429872,615.1422,0.607715,0.06123,0.784375,0.154395,10240,6299056,328,56728,40,154
1520,3.638,1.718,7.759059,7.332886,0.426173,621.0241,0.597559,0.061914,0.785156,0.15293,10240,6359287,327,56737,41,155
1540,3.677,1.738,7.753828,7.329224,0.424605,619.3585,0.602246,0.061719,0.788965,0.149316,10240,6342231,324,56760,41,156
1560,3.716,1.757,7.758898,7.346924,0.411975,585.5385,0.593457,0.057422,0.788086,0.154492,10240,5995914,298,56834,39,157
1580,3.755,1.778,7.757138,7.365112,0.392026,618.8103,0.604883,0.061816,0.781152,0.157031,10240,6336617,300,56939,35,157
1600,3.794,1.797,7.750699,7.351074,0.399625,603.8506,0.618555,0.05957,0.780078,0.160352,10240,6183430,318,56900,38,160
1620,3.833,1.816,7.750914,7.355347,0.395567,592.0935,0.644824,0.058496,0.78291,0.158594,10240,6063037,335,56908,39,161
1640,3.872,1.836,7.738253,7.327148,0.411104,573.0904,0.662305,0.056055,0.791895,0.152051,10240,5868446,320,56705,38,161
1660,3.911,1.855,7.740599,7.344727,0.395872,583.1072,0.665234,0.057129,0.791113,0.151758,10240,5971018,321,56822,37,161
1680,3.954,1.878,7.741707,7.3396,0.402107,573.1431,0.654688,0.055859,0.792676,0.151465,10240,5868985,303,56788,40,162
1700,3.993,1.898,7.740617,7.321655,0.418961,588.92,0.662695,0.057617,0.805762,0.136621,10240,6030541,290,56613,41,162
1720,4.033,1.917,7.732853,7.31897,0.413883,577.0999,0.667285,0.055957,0.811426,0.132617,10240,5909503,313,56641,41,163
1740,4.071,1.936,7.736436,7.334229,0.402208,561.5267,0.661719,0.054492,0.821387,0.124121,10240,5750033,335,56744,40,163
1760,4.11,1.955,7.735176,7.341675,0.393502,579.526,0.649902,0.056641,0.815332,0.128027,10240,5934346,307,56752,40,164
1780,4.149,1.974,7.733382,7.359619,0.373763,565.9382,0.65127,0.05498,0.813672,0.131348,10240,5795207,313,56887,44,166
1800,4.192,1.994,7.739273,7.369019,0.370254,596.1298,0.645703,0.058691,0.80459,0.136719,10240,6104369,322,56963,43,166
1820,4.268,2.03,7.73632,7.372192,0.364128,576.1868,0.650684,0.05625,0.808008,0.135742,10240,5900153,304,57016,40,166
1840,4.347,2.065,7.728256,7.354736,0.37352,555.7578,0.666797,0.053613,0.812988,0.133398,10240,5690960,283,56942,40,166
1860,4.385,2.084,7.724675,7.362061,0.362615,543.0523,0.685547,0.051953,0.816895,0.131152,10240,5560856,303,56995,40,166
1880,4.423,2.103,7.72691,7.371338,0.355572,539.0245,0.689844,0.051562,0.816113,0.132324,10240,5519611,323,57052,38,166
1900,4.461,2.122,7.729731,7.37146,0.358271,529.4539,0.695898,0.05,0.822559,0.127441,10240,5421608,320,57066,38,166
1920,4.498,2.14,7.726005,7.362305,0.3637,513.6817,0.700684,0.047949,0.829785,0.122266,10240,5260101,355,57052,36,167
1940,4.535,2.158,7.719025,7.359619,0.359406,518.2607,0.694727,0.048926,0.841211,0.109863,10240,5306990,287,57043,35,168
1960,4.573,2.176,7.718958,7.36731,0.351649,496.7831,0.685742,0.046289,0.836523,0.117188,10240,5087059,335,57037,35,168
1980,4.61,2.195,7.720019,7.384033,0.335985,528.1012,0.692676,0.049316,0.842383,0.108301,10240,5407756,338,57155,33,168
2000,4.65,2.215,7.719292,7.387329,0.331963,547.1949,0.702441,0.051855,0.837695,0.110449,10240,5603276,288,57243,34,168
