epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,copies_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive,distinct_tapes,distinct_labels
12000,2872.973,2844.353,7.52047,0.50774,7.01273,0.894459,1.280079,6.240391,8153.9867,0.9995,0.995921,2409.1727,723.1319,0.994968,0.000849,0.004183,4096000,33398729583,128515,36023,1250,10695,1250,10695,2917,28
12250,2982.137,2952.369,7.520598,0.503635,7.016963,0.887798,1.303131,6.217467,8156.3474,0.999545,0.995942,2424.0708,712.2909,0.995285,0.000812,0.003903,4096000,33408398895,127738,35806,1155,11079,1155,11079,2871,28
12500,3091.989,3061.315,7.540878,0.492981,7.047897,0.866524,1.278141,6.262737,8154.5424,0.999508,0.99593,2416.1151,698.6084,0.995039,0.000832,0.004129,4096000,33401005480,127698,34814,1221,11506,1221,11506,2827,28
12750,3199.563,3168.008,7.535624,0.502468,7.033156,0.883202,1.246189,6.289435,8152.538,0.999501,0.995889,2415.843,686.9139,0.994768,0.000895,0.004337,4096000,33392795514,127892,35242,1198,11993,1198,11993,2812,27
13000,3307.313,3274.847,7.507294,0.498802,7.008492,0.876659,1.207684,6.29961,8148.6743,0.999335,0.995898,2450.7669,686.6466,0.994269,0.001039,0.004692,4096000,33376969766,127402,34148,1254,12546,1254,12546,2802,26
13250,3414.437,3381.0,7.517737,0.507538,7.010199,0.892395,1.246284,6.271453,8149.84,0.999443,0.995832,2332.293,645.573,0.994403,0.001076,0.004521,4096000,33381744662,128163,35552,1197,12941,1197,12941,2900,26
13500,3521.772,3487.485,7.471195,0.504311,6.966884,0.876587,1.21936,6.251835,8145.1514,0.999447,0.995769,2282.6525,642.0761,0.993701,0.001816,0.004483,4096000,33362540094,127530,34126,1100,13334,1100,13334,2750,26
13750,3630.794,3595.624,7.450375,0.506786,6.943589,0.888763,1.222378,6.227997,8127.5594,0.999497,0.995849,2337.0892,674.8322,0.991427,0.001548,0.007025,4096000,33290483280,128357,34970,1052,13757,1052,13757,2969,26
14000,3740.205,3703.981,7.455581,0.508091,6.94749,0.901573,1.220039,6.235542,8102.0287,0.999521,0.995858,2365.0124,692.5841,0.988106,0.001345,0.010549,4096000,33185909374,128708,34889,1092,14214,1092,14214,2963,26
14250,3850.496,3813.222,7.4862,0.506771,6.979429,0.880566,1.257725,6.228475,8135.7969,0.999583,0.995985,2419.1689,684.453,0.992508,0.002504,0.004989,4096000,33324224161,128037,36009,1187,14642,1187,14642,2969,26
14500,3959.801,3921.498,7.466639,0.500965,6.965674,0.879917,1.245438,6.221201,8153.6128,0.999583,0.995966,2385.8016,674.9282,0.994916,0.00083,0.004254,4096000,33397197960,128722,34400,1248,15107,1248,15107,2779,23
14750,4069.062,4029.677,7.469188,0.50824,6.960948,0.886723,1.239712,6.229476,8126.578,0.999584,0.995931,2339.7667,660.8206,0.990888,0.005057,0.004054,4096000,33286463644,127650,34732,1249,15593,1249,15593,2856,23
15000,4176.449,4136.154,7.476363,0.506966,6.969397,0.88015,1.25082,6.225543,8097.4851,0.999392,0.995863,2266.748,634.0679,0.986261,0.008615,0.005125,4096000,33167298943,127859,35417,1163,15950,1163,15950,2909,22
15250,4283.584,4242.22,7.478896,0.498955,6.979941,0.871136,1.236473,6.242423,8129.402,0.999505,0.995921,2234.0963,631.1846,0.990714,0.004525,0.004761,4096000,33298030488,128528,34706,1246,16372,1246,16372,2803,21
15500,4391.325,4348.919,7.518272,0.512211,7.006061,0.897488,1.27282,6.245452,8126.9358,0.99942,0.99588,2169.9174,616.6399,0.990475,0.005023,0.004501,4096000,33287929208,128411,35299,1158,16774,1158,16774,2897,21
15750,4498.504,4455.063,7.534031,0.507347,7.026683,0.890335,1.234531,6.299499,8143.1579,0.999448,0.995934,2180.0977,606.4607,0.993326,0.001979,0.004695,4096000,33354374746,127914,34226,1025,17189,1025,17189,2769,19
16000,4607.622,4563.122,7.507339,0.501205,7.006133,0.889641,1.227493,6.279846,8154.3575,0.999551,0.99608,2284.2195,626.9611,0.994989,0.00098,0.004031,4096000,33400248298,127399,33868,1075,17608,1075,17608,2790,19
16250,4717.056,4671.458,7.506182,0.507664,6.998518,0.891888,1.232105,6.274076,8150.9089,0.999539,0.996104,2380.1705,651.5843,0.994532,0.001276,0.004192,4096000,33386122840,128089,34539,1013,17989,1013,17989,2847,19
16500,4826.112,4779.467,7.524031,0.501102,7.022929,0.887249,1.234852,6.289179,8155.0162,0.999437,0.996025,2346.8888,649.9435,0.995099,0.000764,0.004137,4096000,33402946209,128245,34675,1071,18390,1071,18390,2880,19
16750,4934.516,4886.814,7.522003,0.499645,7.022358,0.868809,1.26545,6.256554,8151.2638,0.999358,0.995783,2300.1255,639.2027,0.994557,0.000913,0.004531,4096000,33387576625,127660,35005,1082,18774,1082,18774,2859,19
17000,5044.119,4995.371,7.526396,0.499779,7.026618,0.878292,1.226028,6.300368,8152.743,0.999406,0.995795,2326.5113,642.5781,0.994769,0.000752,0.004479,4096000,33393635182,128478,34888,1074,19198,1074,19198,2895,19
17250,5153.753,5103.956,7.534696,0.501434,7.033261,0.871338,1.252838,6.281858,8151.5641,0.999414,0.995829,2286.1042,632.0046,0.994603,0.000853,0.004545,4096000,33388806404,127879,36048,1114,19632,1114,19632,2916,18
17500,5262.948,5212.073,7.538899,0.499844,7.039056,0.871864,1.242195,6.296704,8153.4497,0.999455,0.995878,2271.8499,630.9283,0.994853,0.00089,0.004258,4096000,33396529835,127909,35563,1096,20038,1096,20038,2929,18
17750,5373.04,5321.095,7.529241,0.50465,7.024591,0.898605,1.226471,6.30277,8152.9777,0.999402,0.995902,2250.8111,621.5987,0.994811,0.00089,0.004299,4096000,33394596809,127730,35249,1035,20389,1035,20389,2879,18
18000,5482.803,5429.768,7.547819,0.506435,7.041383,0.892975,1.245911,6.301908,8151.1018,0.999347,0.995824,2172.1807,590.3143,0.994552,0.000994,0.004454,4096000,33386913091,128387,35240,1132,20836,1132,20836,2855,18
18250,5592.661,5538.512,7.554229,0.506187,7.048041,0.897202,1.239655,6.314574,8155.9194,0.999494,0.995778,2193.9687,603.1069,0.995188,0.000763,0.004049,4096000,33406645821,128299,33857,1176,21282,1176,21282,2783,18
18500,5702.379,5647.166,7.551005,0.506268,7.044738,0.879723,1.254868,6.296138,8153.3193,0.999568,0.995729,2219.9146,620.6001,0.994779,0.001252,0.003969,4096000,33395995675,127365,35683,1134,21709,1134,21709,2900,18
18750,5811.415,5755.133,7.542732,0.500469,7.042263,0.87862,1.275951,6.266781,8152.6263,0.999485,0.995782,2271.8732,626.4449,0.99478,0.000823,0.004397,4096000,33393157500,128099,35024,1049,22048,1049,22048,2851,18
19000,5920.139,5862.778,7.523238,0.500496,7.022742,0.882744,1.290657,6.232581,8154.4198,0.999483,0.995876,2315.1502,634.0612,0.995024,0.000797,0.004179,4096000,33400503559,128008,34479,1128,22564,1128,22564,2812,18
19250,6029.506,5971.064,7.516288,0.50341,7.012877,0.881073,1.243603,6.272685,8146.9343,0.999495,0.996051,2421.7018,654.532,0.993995,0.001745,0.00426,4096000,33369842766,128103,33604,1254,23074,1254,23074,2736,17
19500,6137.754,6078.246,7.532701,0.503765,7.028936,0.883778,1.247013,6.285688,8155.0306,0.999478,0.996047,2351.2387,639.6309,0.995101,0.000712,0.004187,4096000,33403005536,128315,34057,1225,23489,1225,23489,2818,17
19750,6245.216,6184.696,7.533844,0.492878,7.040966,0.858631,1.263069,6.270775,8149.3549,0.999443,0.995812,2245.1114,614.345,0.994209,0.001399,0.004392,4096000,33379757866,127628,35720,1176,23920,1176,23920,2846,17
20000,6352.594,6291.044,7.532222,0.503849,7.028373,0.885948,1.284634,6.247588,8123.111,0.999524,0.995642,2195.7285,599.7904,0.989706,0.006124,0.00417,4096000,33272262574,127868,35461,1150,24354,1150,24354,2909,17
20250,6459.902,6397.3,7.546648,0.502018,7.04463,0.88007,1.247837,6.298811,8030.9946,0.999512,0.995579,2130.6718,583.0869,0.974322,0.020638,0.005041,4096000,32894953930,128426,34853,1093,24769,1093,24769,2804,17
20500,6565.312,6501.675,7.56493,0.497578,7.067352,0.883553,1.24456,6.32037,8000.2215,0.999444,0.99554,2063.2041,579.5536,0.969554,0.024813,0.005633,4096000,32768907092,127790,34813,1222,25242,1222,25242,2904,17
20750,6671.607,6607.071,7.554669,0.501411,7.053258,0.87397,1.25478,6.29989,8048.3445,0.999483,0.99571,2102.2377,574.9576,0.977848,0.01775,0.004401,4096000,32966018986,127900,35552,1169,25666,1169,25666,2872,17
21000,6778.312,6712.683,7.545845,0.496906,7.048939,0.887394,1.231171,6.314675,8090.5002,0.999475,0.995628,2065.5532,573.1312,0.983991,0.011084,0.004924,4096000,33138688758,127500,33727,1070,26059,1070,26059,2799,17
21250,6883.702,6816.984,7.552186,0.503094,7.049092,0.883816,1.275082,6.277104,8087.3329,0.999476,0.995577,2046.4869,576.0145,0.983371,0.011571,0.005059,4096000,33125715423,128325,35285,1121,26495,1121,26495,2934,17
21500,6988.47,6920.71,7.558815,0.508854,7.049961,0.898872,1.258327,6.300488,8036.6757,0.999377,0.995502,2062.7441,579.3044,0.974809,0.017259,0.007932,4096000,32918223503,127832,36004,1031,26819,1031,26819,2935,17
21750,7093.251,7024.366,7.524268,0.501328,7.02294,0.883759,1.235134,6.289134,8004.6568,0.999306,0.995348,2034.0255,571.0846,0.97075,0.020024,0.009227,4096000,32787074162,128070,34787,1037,27197,1037,27197,2872,17
22000,7198.297,7128.274,7.537203,0.498081,7.039122,0.877617,1.254093,6.28311,8021.2086,0.999474,0.995418,2025.1518,565.7264,0.973559,0.01069,0.015751,4096000,32854870507,128231,34048,1086,27604,1086,27604,2784,17
