epoch,distinct_tapes,leader_coverage,leader_rep_hex,ss_copy_rate,ss_colonisation,ss_colonisation_sem,ss_mean_steps,ctrl_soup_copy_rate,ctrl_soup_colonisation,ctrl_soup_colonisation_sem,ctrl_rand_copy_rate,ctrl_rand_colonisation,ctrl_rand_colonisation_sem,frac_bytes_in_motif,H_inside,H_outside,conserved_lo,conserved_hi,conserved_width,n_aligned_tapes
12750,2910,0.152405,0f3f4e32305b1b32b49208b75b453818,0.907227,0.773872,0.008061,5501.01,0.999023,0.505409,0.015592,0.519531,0.499649,0.000364,0.055265,4.8394,6.3676,-11,32,44,1349
13500,3157,0.095215,05cc25eab4b70d1c5b45e5327c923e6f,0.914062,0.759422,0.008221,5160.23,0.998047,0.480385,0.015531,0.553711,0.500435,0.000504,0.034175,5.289,6.736,-13,32,46,928
14500,3348,0.078979,c75b45b3326c323e3288f1327d2c5def,0.890625,0.759186,0.008136,5077.86,0.998047,0.501526,0.015586,0.53418,0.499084,0.000602,0.025215,4.6644,7.0545,-20,32,53,937
15500,3371,0.054169,da327d452c5d46fea1fe7a6330f8d4a5,0.896484,0.767174,0.008196,5272.59,0.998047,0.514099,0.015571,0.514648,0.499481,0.000316,0.01833,4.8503,7.2374,-32,25,58,773
16500,3650,0.058289,fe7cb831ffffffff09bf98fe9fdf0f4a,0.908203,0.765747,0.007988,5125.49,1.0,0.482483,0.015561,0.526367,0.500557,0.00036,0.019105,4.7061,7.3486,-32,24,57,784
17500,3546,0.043488,aa193e8be832587d1f2c5dedae40fe2d,0.917969,0.765579,0.007998,5116.49,0.999023,0.512772,0.015568,0.522461,0.500099,0.000405,0.011811,4.5268,7.4398,-32,28,61,824
18500,3565,0.082611,f43eb7c5cde97d2c5d7e5fbd8b319d30,0.920898,0.770653,0.008065,5065.04,0.999023,0.528725,0.015535,0.532227,0.500526,0.000586,0.026252,5.1003,7.5166,-28,32,61,775
19500,3527,0.067932,1ae3b1573e018064377d352c5dc8a32d,0.894531,0.770485,0.00805,5159.0,1.0,0.489227,0.015576,0.524414,0.499802,0.000276,0.020998,4.653,7.5594,-32,30,63,760
20500,3676,0.05188,926db7647238d73bec8ef4b5fafa18d6,0.915039,0.768486,0.008024,5159.69,1.0,0.482735,0.015552,0.513672,0.499817,0.000441,0.020606,5.033,7.6002,-20,32,53,1073
21500,3525,0.034882,2a4c373e184887197d2c5d9dacb3206d,0.915039,0.782097,0.007958,5328.77,1.0,0.527397,0.015558,0.541992,0.499786,0.000446,0.011265,4.7135,7.6055,-24,32,57,603
22500,3478,0.046417,f40bc2a2b8f11e3e14c69b937d3f2c5d,0.907227,0.75544,0.00812,5150.96,0.999023,0.494827,0.015574,0.49707,0.500175,0.000234,0.017831,5.2249,7.6321,-28,32,61,822
23500,3412,0.056976,f65b0c790e6c743eca1889907d2c6c0c,0.922852,0.774986,0.008044,5382.4,0.999023,0.52684,0.015548,0.494141,0.500542,0.000468,0.018502,4.6321,7.628,-20,32,53,996
24500,3673,0.034241,3e43d2fb4d7d2c5d936dadafc6d8307c,0.90918,0.770706,0.008039,5386.15,1.0,0.506104,0.015535,0.56543,0.499832,0.00022,0.012497,4.77,7.633,-27,32,60,739
25500,3850,0.034668,2ce45eff10c11d1bbb853fffdc7dfe0d,0.915039,0.770897,0.008048,5278.81,0.998047,0.486435,0.015522,0.511719,0.500038,0.00025,0.012237,4.6202,7.609,-32,22,55,824
26500,3502,0.046417,d6703e94fd38ff7d142c5dc8a32da59c,0.910156,0.764229,0.008179,5217.71,0.996094,0.503677,0.015517,0.521484,0.500763,0.00059,0.016088,5.0701,7.6453,-32,28,61,600
27500,4123,0.060028,1b703ed534b1ff7d852c5d6fa32d81e9,0.915039,0.769417,0.008141,5199.22,0.99707,0.48848,0.015521,0.505859,0.500282,0.000311,0.018295,5.1252,7.656,-4,28,33,935
28500,3302,0.044403,3b96a43ea5d2fb1c7d2c5de2ff601bcf,0.908203,0.781181,0.008037,5478.98,1.0,0.540894,0.015525,0.508789,0.499756,0.000536,0.0156,5.2149,7.6458,-24,32,57,496
29500,3594,0.037598,c17664967d302c5d6ea18dff54491a0e,0.897461,0.769043,0.008013,5224.46,0.999023,0.497711,0.015547,0.541016,0.500099,0.00031,0.011577,4.9603,7.6642,-32,25,58,448
30500,3669,0.044067,3e7a2f255e7d2c8be0645a8efceb5ddf,0.912109,0.751564,0.008057,4916.38,0.999023,0.472496,0.015545,0.535156,0.500534,0.000285,0.016383,5.0701,7.6529,-31,32,64,842
31500,3129,0.062866,703ea134b1447dae2c5d6f81d619123a,0.922852,0.765396,0.008144,5049.67,0.998047,0.470894,0.015547,0.498047,0.50042,0.000477,0.022458,5.0503,7.6252,-32,27,60,845
32500,2810,0.058746,3e867659197dff2c5d6e5db080e10f85,0.917969,0.77224,0.008122,5326.16,0.999023,0.492714,0.0156,0.517578,0.49968,0.000266,0.022821,4.9462,7.6423,-3,26,30,1025
33500,3020,0.04953,fd08095b52f87cd33f3e6b6133177d2c,0.907227,0.754593,0.008347,5252.21,0.998047,0.507423,0.01558,0.515625,0.500305,0.000444,0.02357,5.5216,7.647,-22,32,55,770
34500,3658,0.059662,03ae335b0364497c826e87a5d6ba1878,0.910156,0.770699,0.008118,5324.71,0.999023,0.518829,0.015559,0.56543,0.499908,0.00045,0.020759,5.0034,7.648,-13,32,46,795
35500,3486,0.086304,e52a98723ea17157bd7d2f2c5d91f128,0.897461,0.769951,0.007937,5186.56,1.0,0.505867,0.01557,0.5,0.500328,0.000424,0.033596,5.6847,7.6201,-32,30,63,948
36500,3213,0.064941,5a5b08847cd3823e18614e177d2cad6c,0.924805,0.774033,0.008013,5526.05,0.998047,0.502716,0.01558,0.493164,0.50029,0.000267,0.0202,4.9228,7.6649,-24,32,57,899
37500,3362,0.071838,b13ec7b757c27d142c5d2ff1287e83ac,0.908203,0.783188,0.007953,5464.73,1.0,0.480461,0.015557,0.53418,0.500015,0.000438,0.024941,4.7774,7.6575,-32,27,60,1291
38500,3441,0.053925,6ff06ba8543dfad7db194d7e2faa0cf3,0.918945,0.765266,0.008127,5249.76,1.0,0.506485,0.015601,0.517578,0.499603,0.000258,0.02257,5.2804,7.684,-8,32,41,1020
39500,3398,0.056,5ce16bdca81c3e1d0ef51e7dbc2c5d34,0.898438,0.750847,0.00829,5130.71,0.999023,0.484329,0.015581,0.512695,0.499939,0.000274,0.018756,5.0746,7.7184,-32,29,62,620
40500,3324,0.052124,1e7dbc2c5d340f2f295b1dca4d397f41,0.894531,0.755035,0.00833,5429.54,0.998047,0.480865,0.015518,0.535156,0.499252,0.000516,0.014869,5.0189,7.6874,-32,19,52,456
41500,4846,0.045959,b0c0dca81c3e7e0ef51e7dbc2c5d340f,0.920898,0.771866,0.00809,5206.86,0.999023,0.485474,0.015457,0.49707,0.499603,0.000468,0.016621,4.8353,7.6639,-32,22,55,716
42500,3492,0.040955,dbdca81c3e78ac5ef07dbc2c5d340f63,0.907227,0.765419,0.008224,5434.59,0.999023,0.463593,0.015517,0.537109,0.499878,0.000461,0.017989,5.0117,7.6899,-32,27,60,1104
43500,3383,0.04126,015bf87240d3d53ea924a7da7d2ca4b5,0.928711,0.777122,0.008162,5453.28,0.999023,0.506142,0.015575,0.495117,0.499908,0.000365,0.013275,4.5383,7.6715,-26,32,59,713
44500,4017,0.047119,ec542ce75308fbbff635ee3a6050925b,0.917969,0.778793,0.008005,5432.44,0.998047,0.507408,0.01552,0.538086,0.500092,0.00017,0.014955,4.8413,7.6799,-11,32,44,756
45500,5768,0.072571,451c3e504577f57d292c5d970f8e76d9,0.897461,0.747757,0.008201,5197.27,0.999023,0.474937,0.015424,0.53418,0.49958,0.000244,0.022767,4.8653,7.5989,-32,24,57,640
46500,6939,0.042114,acb409561e3ee6dac4057d142c5d7b71,0.900391,0.758064,0.007975,5072.94,0.999023,0.490135,0.015405,0.491211,0.50042,0.000341,0.013859,5.0017,7.575,-32,31,64,701
47500,5340,0.08606,81e54a451c3e504577f57d292c5d970f,0.90625,0.759384,0.008109,5251.11,0.999023,0.506058,0.015444,0.5,0.499329,0.000507,0.031968,5.4771,7.6096,-32,27,60,635
48500,5059,0.042358,3edacd57957d632c5d44ff171760a55c,0.913086,0.758125,0.00819,5278.6,0.999023,0.510674,0.015439,0.515625,0.499939,0.000388,0.01493,4.6257,7.6438,-32,26,59,821
49500,4441,0.06839,3e5c535ad67d2cce7add3a99294e5dfe,0.912109,0.775116,0.008123,5628.85,0.999023,0.476654,0.015486,0.536133,0.50029,0.00017,0.025,5.2511,7.6336,-32,27,60,1096
50500,3853,0.066803,3e772765d97d632c5d045238d17dac36,0.904297,0.758774,0.008237,5161.02,0.999023,0.497711,0.01557,0.496094,0.500069,0.000141,0.029969,5.367,7.6333,-32,26,59,971
51500,3194,0.050323,52387d7d0636ef8e4f6e1ac18f78e43c,0.912109,0.774368,0.008089,5539.62,1.0,0.500114,0.015593,0.509766,0.500397,0.000596,0.015613,4.4142,7.6547,-32,16,49,937
52500,2970,0.03833,c55b72de8f69603ee5f15a287d2c4c58,0.93457,0.768562,0.00826,5644.38,0.99707,0.491356,0.015545,0.487305,0.501091,0.000648,0.015825,5.2183,7.6592,-29,32,62,673
53500,4092,0.037506,f5686758c760aea05f5bda40dff26e3e,0.914062,0.775009,0.008093,5456.76,1.0,0.494339,0.015563,0.513672,0.500107,0.000498,0.012691,4.5989,7.6628,-21,16,38,1001
54500,3834,0.039612,53df7d10ae4c2120992cc45df715483e,0.923828,0.767387,0.008149,5376.26,0.996094,0.467163,0.015485,0.526367,0.500275,0.000338,0.012332,5.046,7.6631,-32,24,57,469
55500,4406,0.039246,ee3e845ea0d27df1ae9c21cc992c785d,0.924805,0.753723,0.008209,5168.92,0.999023,0.495125,0.015523,0.529297,0.499809,0.00043,0.018823,5.313,7.688,-32,28,61,632
56500,4533,0.041687,b98f0a5b013e1998f88a7d232c5d7706,0.921875,0.771431,0.008304,5461.61,0.998047,0.484596,0.015482,0.524414,0.500198,0.000226,0.013927,4.9123,7.6964,-32,31,64,854
57500,3774,0.060608,5b013ea898f84d7d232c5d774cbd5ce5,0.90332,0.748749,0.008443,5213.54,0.999023,0.494514,0.015536,0.499023,0.500366,0.000265,0.019578,5.0554,7.6814,-24,28,53,880
58500,4773,0.048584,f9995b013e19987e377d232c5daa06d3,0.916016,0.770233,0.008354,5442.98,0.999023,0.500549,0.015514,0.498047,0.500114,0.000357,0.021153,5.1552,7.644,-32,30,63,927
59500,4297,0.059418,7d5f2c5d77b6402dedd3d27c6b293abd,0.902344,0.740372,0.008488,5178.92,0.998047,0.513573,0.0155,0.530273,0.499931,0.00017,0.023063,5.3304,7.6712,-32,21,54,555
60500,4537,0.045563,a32065587ddd4c9ca116af2c455d0f2a,0.916992,0.747566,0.008534,5094.55,0.998047,0.52327,0.01546,0.527344,0.500679,0.000627,0.014919,5.2465,7.6806,-32,20,53,640
61500,4380,0.039673,7d5f2c5d77b6ec75e5a21adbc1da082a,0.90625,0.755531,0.008361,5202.78,1.0,0.498024,0.01551,0.500977,0.500229,0.00013,0.013578,4.7679,7.6488,-32,20,53,636
62500,4481,0.042816,3aac200a5b013e2082e6327d612c5df2,0.904297,0.765068,0.008258,5180.17,1.0,0.518265,0.01552,0.517578,0.49971,0.000221,0.021288,5.2197,7.6444,-31,32,64,1092
