epoch,distinct_tapes,leader_coverage,leader_rep_hex,ss_copy_rate,ss_colonisation,ss_colonisation_sem,ss_mean_steps,ctrl_soup_copy_rate,ctrl_soup_colonisation,ctrl_soup_colonisation_sem,ctrl_rand_copy_rate,ctrl_rand_colonisation,ctrl_rand_colonisation_sem,frac_bytes_in_motif,H_inside,H_outside,conserved_lo,conserved_hi,conserved_width,n_aligned_tapes
5750,2899,0.151398,2c7e7e0b7de03e5574245e15de2c305d,0.900391,0.771332,0.007746,5219.61,1.0,0.524513,0.015568,0.547852,0.499268,0.000428,0.045743,5.0314,6.7631,-16,24,41,966
6500,2947,0.102234,174f2c7ece0b7de03e550dd35e33de2c,0.898438,0.781837,0.007716,5256.61,0.999023,0.50631,0.015556,0.524414,0.500259,0.000556,0.03439,5.3967,7.0279,-14,32,47,742
7500,2962,0.074738,5b5ee15335bd302cc4750b7d4c3e5532,0.907227,0.777832,0.007813,5289.77,0.998047,0.493546,0.015591,0.504883,0.499786,0.000121,0.024081,5.1565,7.1949,-9,32,42,529
8500,2855,0.051788,672ce97e0b7de03e55b3245815de2cb2,0.90918,0.771324,0.007842,5368.38,1.0,0.524002,0.015569,0.514648,0.499916,0.000224,0.015781,4.9528,7.3217,-15,32,48,590
9500,2826,0.0513,2c23fd0b7d3e2c55a463a115f4a6715d,0.911133,0.78614,0.007745,5380.69,0.998047,0.477562,0.015585,0.512695,0.499878,0.000303,0.029908,5.0298,7.445,-15,32,48,576
10500,2819,0.049316,e1c5315b5b2a6038278f7e2c1d7d8d3e,0.908203,0.784149,0.007643,5388.43,1.0,0.499802,0.0156,0.537109,0.500282,0.000408,0.021447,4.8159,7.5144,-22,32,55,1143
11500,2935,0.036896,408037ffe2f77aa95b4aa9d9dee8d154,0.916992,0.771149,0.007729,5239.44,1.0,0.51236,0.015556,0.515625,0.500252,0.000356,0.011624,4.6449,7.5641,0,32,33,645
12500,2876,0.051636,2c76e64d7d3efe55826c5e20e02c300e,0.901367,0.780876,0.007756,5478.92,0.99707,0.45224,0.015469,0.524414,0.500107,0.000142,0.016897,5.0564,7.5438,-15,32,48,562
13500,2845,0.034729,806394949097ae175b56bb69e15cf32c,0.914062,0.76577,0.007892,5253.29,0.998047,0.479507,0.015547,0.553711,0.500435,0.000504,0.010638,4.4361,7.5608,-1,32,34,705
14500,2895,0.050873,9558a8dfc23a5b705b4ca817ab2caece,0.886719,0.757744,0.007953,5306.25,0.999023,0.500107,0.015554,0.53418,0.499084,0.000602,0.016231,4.9046,7.5101,-3,32,36,669
15500,3098,0.06604,c53e398ad31e13d62c1f652566460f4e,0.892578,0.770844,0.007935,5524.69,0.99707,0.515396,0.015504,0.514648,0.499481,0.000316,0.028415,5.4331,7.52,-21,32,54,828
16500,2816,0.043121,170a2cfacec27dc53e110dd3bc13d62c,0.90918,0.772705,0.007768,5382.88,1.0,0.482941,0.015554,0.526367,0.500557,0.00036,0.011837,4.3575,7.5553,-14,32,47,829
17500,2913,0.039093,800086a4a8dfc2b35b705b09a817ab2c,0.917969,0.764526,0.008004,5357.27,0.999023,0.513306,0.015579,0.522461,0.500099,0.000405,0.010973,4.4279,7.558,-1,32,34,451
18500,2891,0.062317,a05b14b2b835214b2c69d8bc7d3e9d0f,0.914062,0.763733,0.007882,5421.06,0.999023,0.527161,0.01554,0.532227,0.500526,0.000586,0.020483,4.9346,7.6139,-7,32,40,756
19500,2973,0.06366,f2b42cbb444d7d3efb55824dbcb58c2c,0.897461,0.770905,0.007888,5191.07,1.0,0.489487,0.015553,0.524414,0.499802,0.000276,0.0224,4.9778,7.6288,-13,32,46,690
20500,3243,0.091248,d8ed7d3e7c0f011d1f83ea2c2903405d,0.914062,0.768715,0.007845,5375.81,1.0,0.482483,0.015525,0.513672,0.499817,0.000441,0.030251,5.1918,7.581,-17,25,43,1136
21500,3031,0.04068,5bfb94b83329482c7e3fe27d3ed10f42,0.914062,0.786613,0.007717,5471.44,0.998047,0.527153,0.015516,0.541992,0.499786,0.000446,0.01275,4.7788,7.5937,-8,32,41,806
22500,2924,0.050964,db0316a62cf963677dbc3e112d690c1b,0.908203,0.763367,0.007955,5239.73,0.999023,0.492126,0.015538,0.49707,0.500175,0.000234,0.018651,5.1644,7.5685,-12,32,45,731
23500,3022,0.040558,5bfd5b9220c38a2c3682c17d303e7e97,0.923828,0.782227,0.007758,5497.38,1.0,0.525749,0.015514,0.494141,0.500542,0.000468,0.016348,5.1135,7.599,-9,32,42,751
24500,2850,0.048126,34c55b4584ba293fbd2caee5dc7de23e,0.908203,0.778519,0.007793,5442.77,1.0,0.507019,0.015574,0.56543,0.499832,0.00022,0.01651,4.8915,7.5448,-7,32,40,917
25500,2883,0.051117,f65e6cc1b75b14226f9def9c2c4fd812,0.916016,0.780098,0.007767,5458.02,0.999023,0.483551,0.015536,0.511719,0.500038,0.00025,0.016785,5.0972,7.5797,-3,32,36,584
26500,2891,0.066986,047d303e7e97924091f22c37ee5c875c,0.90918,0.770622,0.00791,5448.16,1.0,0.50238,0.015578,0.521484,0.500763,0.00059,0.025242,4.8348,7.5862,-19,27,47,1383
27500,3247,0.03894,ee84875c966e2a557e8e23622796912d,0.915039,0.774673,0.007891,5406.6,0.998047,0.488167,0.015512,0.505859,0.500282,0.000311,0.013787,4.7503,7.5617,-31,21,53,645
28500,3592,0.045319,5e7d3e86c750ea468de52c44f7765dad,0.90918,0.786217,0.007731,5585.85,1.0,0.542191,0.015401,0.508789,0.499756,0.000536,0.016059,5.1655,7.5839,-18,32,51,547
29500,3728,0.037933,7d3ea8c7888a43a6182c73f7765dad66,0.902344,0.772606,0.007824,5351.69,1.0,0.498711,0.015472,0.541016,0.500099,0.00031,0.011177,4.6065,7.6362,-19,32,52,781
30500,3012,0.043793,8a7d3e36d1184d3fbd722c20e0fb5d1b,0.912109,0.757904,0.007876,5045.48,0.998047,0.47319,0.015511,0.535156,0.500534,0.000285,0.014533,4.5801,7.6047,-32,28,61,1029
31500,2973,0.064545,b4aed1806ece583849855b8ea9f66718,0.919922,0.770439,0.007905,5386.13,1.0,0.470413,0.015537,0.498047,0.50042,0.000477,0.025212,5.3808,7.5862,-15,32,48,931
32500,2946,0.058136,2c86e54c7df93e12b1a81f39192c7e5d,0.915039,0.778831,0.00791,5434.74,0.99707,0.495087,0.015534,0.517578,0.49968,0.000266,0.017116,4.8164,7.5769,-16,32,49,773
33500,2909,0.041779,b13ab62c3d89747d3e655ca59c7edbec,0.907227,0.762878,0.008111,5392.0,1.0,0.508644,0.015573,0.515625,0.500305,0.000444,0.017313,4.9499,7.5944,-12,32,45,1000
34500,2997,0.046753,2c4c041f7d8f3ee541928f2c202cf387,0.913086,0.780632,0.007886,5347.75,1.0,0.516182,0.015563,0.56543,0.499908,0.00045,0.013896,4.4087,7.5832,-16,32,49,727
35500,2904,0.049835,d6f4b13a062c3d89747d3e655c819ce5,0.897461,0.776131,0.007791,5371.93,1.0,0.507164,0.015563,0.5,0.500328,0.000424,0.01597,4.8419,7.5813,-10,32,43,691
36500,3150,0.061646,7edbec2c73f6e45dceda30557663dc2b,0.922852,0.774239,0.007838,5511.48,0.998047,0.501366,0.015546,0.493164,0.50029,0.000267,0.019878,5.1388,7.5789,-25,32,58,570
37500,2898,0.056152,956ac3ff608af844134931e4fdc4297d,0.90918,0.785515,0.007839,5541.74,0.999023,0.481049,0.015519,0.53418,0.500015,0.000438,0.019388,5.5462,7.6038,-26,32,59,463
38500,2935,0.042633,b6875bff5bc7b0fda82c4cdbc17d8f3e,0.918945,0.770439,0.007868,5359.93,1.0,0.508072,0.015554,0.517578,0.499603,0.000258,0.015717,4.9655,7.6325,-7,32,40,690
39500,2937,0.05069,5b19975c9bb1192ca2b5ac7d3e2c0a31,0.899414,0.763321,0.008012,5236.09,0.998047,0.484573,0.015577,0.512695,0.499939,0.000274,0.019618,4.6065,7.582,-14,23,38,1388
40500,2847,0.050964,15330f2cae5d813f9e95ff494c9af66f,0.900391,0.765869,0.007969,5178.87,1.0,0.482643,0.015518,0.535156,0.499252,0.000516,0.01559,4.8035,7.6082,-32,30,63,819
41500,2793,0.046448,5ba64ac72916882c16fc777d0b3e6453,0.919922,0.788841,0.007704,5419.6,1.0,0.484329,0.015593,0.49707,0.499603,0.000468,0.015265,4.8293,7.6173,-9,32,42,830
42500,2948,0.0354,2c945d47323995d04904a7f65465e3fb,0.911133,0.777908,0.007798,5495.48,1.0,0.464783,0.015513,0.537109,0.499878,0.000461,0.010982,4.4707,7.6346,-32,23,56,1014
43500,2931,0.038971,f9c6ba5b1721e040aff52c3beecb7d3e,0.931641,0.783783,0.007922,5417.23,1.0,0.508392,0.015556,0.495117,0.499908,0.000365,0.010194,4.2483,7.6472,-5,32,38,765
44500,2817,0.042786,829a7d3e574ca9eb0722ce342cae5d67,0.917969,0.787758,0.007809,5454.49,1.0,0.508141,0.015559,0.538086,0.500092,0.00017,0.012442,4.5105,7.6106,-24,32,57,679
45500,2873,0.053192,7d3e3bd41b9c7f31847f2c095d2cc439,0.896484,0.762604,0.007973,5398.38,0.99707,0.47245,0.015484,0.53418,0.49958,0.000244,0.018202,5.0616,7.6011,-26,32,59,681
46500,2849,0.047974,4080486e16eaa6b1a95ba623d2f81688,0.901367,0.771667,0.0079,5222.95,0.998047,0.487892,0.015535,0.491211,0.50042,0.000341,0.014069,4.4493,7.5756,0,32,33,608
47500,3081,0.033783,4080e2372ca42cf861d4a0dc1f44cb5b,0.905273,0.773422,0.007861,5298.31,1.0,0.508476,0.015544,0.5,0.499329,0.000507,0.010365,4.6107,7.6083,0,32,33,599
48500,2865,0.036804,f57f2c555d2cc439a4c0ed2ff46da0d6,0.913086,0.77301,0.007972,5355.55,0.998047,0.512856,0.015522,0.515625,0.499939,0.000388,0.010755,4.4902,7.6264,-32,31,64,539
49500,2855,0.055817,2c4110857d493ef6049faa0b7e2c075d,0.911133,0.788841,0.007783,5474.57,1.0,0.475533,0.015568,0.536133,0.50029,0.00017,0.025524,5.454,7.6122,-30,32,63,1130
50500,2883,0.061401,7a947d3e39180589f4b90af62c645d6e,0.904297,0.76899,0.007968,4918.01,1.0,0.497902,0.015519,0.496094,0.500069,0.000141,0.021804,5.2227,7.5916,-24,32,57,1193
51500,2890,0.059387,2cc941387dcb3e94387ae7e7ba2c495d,0.912109,0.783157,0.007859,5436.39,0.999023,0.502663,0.01557,0.509766,0.500397,0.000596,0.02534,4.9009,7.5176,-16,32,49,1029
52500,2776,0.042694,dd5b5c6a74292c882c164b977d403ef6,0.935547,0.785927,0.007832,5543.92,1.0,0.489967,0.015582,0.487305,0.501091,0.000648,0.015592,4.7616,7.5295,-8,32,41,687
53500,3009,0.048126,739950a7810ee45b3a817d3efbf62510,0.918945,0.787598,0.007812,5450.66,0.999023,0.494194,0.015546,0.513672,0.500107,0.000498,0.019505,4.9438,7.5912,-14,28,43,793
54500,2826,0.050507,5b5b5f508e2cb320357d703e79a916d8,0.922852,0.779381,0.007913,5390.97,0.999023,0.469048,0.015562,0.526367,0.500275,0.000338,0.018464,4.9587,7.6046,-11,32,44,743
55500,2867,0.05481,d8a55beac5251bdc932c4301387dac3e,0.924805,0.772141,0.00784,5236.69,1.0,0.495262,0.015574,0.529297,0.499809,0.00043,0.016916,4.8632,7.6255,-7,32,40,708
