epoch,distinct_tapes,leader_coverage,leader_rep_hex,ss_copy_rate,ss_colonisation,ss_colonisation_sem,ss_mean_steps,ctrl_soup_copy_rate,ctrl_soup_colonisation,ctrl_soup_colonisation_sem,ctrl_rand_copy_rate,ctrl_rand_colonisation,ctrl_rand_colonisation_sem,frac_bytes_in_motif,H_inside,H_outside,conserved_lo,conserved_hi,conserved_width,n_aligned_tapes
5500,2970,0.213806,3a2ffe2cffff5b3e7dfcf734042c2cf8,0.916016,0.788719,0.007656,4849.73,1.0,0.49485,0.015572,0.525391,0.50148,0.000661,0.069901,5.0109,6.9182,-8,32,41,675
6500,2809,0.197113,8f2ffe2cffff5b3e7d14422a342c16f8,0.90332,0.78315,0.007704,4810.93,1.0,0.506088,0.015582,0.524414,0.500259,0.000556,0.061093,5.1873,7.1021,-8,32,41,698
7500,3429,0.079285,94fe2c334c5b3e7d47653489bf2c463a,0.910156,0.779037,0.007693,4696.22,1.0,0.493607,0.015553,0.504883,0.499786,0.000121,0.026978,5.2788,7.2748,-21,32,54,661
8500,3128,0.088776,2c1bff5b3e7d8042e534022cf8b5ecff,0.912109,0.777222,0.007777,4795.46,0.998047,0.523239,0.015503,0.514648,0.499916,0.000224,0.029315,5.1447,7.3454,-11,32,44,618
9500,2920,0.067566,41eb2cc9ff5b3e7dded82fa42c2cd03a,0.915039,0.788307,0.007728,5100.07,0.998047,0.476601,0.01553,0.512695,0.499878,0.000303,0.025105,5.3179,7.4442,-9,32,42,1035
10500,3166,0.085999,57a92ffe2c6eff5b3e7dac42ae05412c,0.912109,0.784264,0.007674,4890.92,0.999023,0.500656,0.01558,0.537109,0.500282,0.000408,0.030022,5.2835,7.5227,-15,32,48,991
11500,2859,0.045197,ff5b3e7d141841342c401d8bbf5872c4,0.918945,0.775978,0.007774,5015.94,0.999023,0.513802,0.015538,0.515625,0.500252,0.000356,0.016419,4.8004,7.4936,-25,32,58,926
12500,2827,0.061554,13b0115b3e7d75ea50612c7ed573439b,0.90332,0.783188,0.007833,5033.72,0.999023,0.449577,0.015497,0.524414,0.500107,0.000142,0.020275,5.1634,7.55,-11,32,44,526
13500,2750,0.097198,ad989ef22cb0275b3e7d07ea92116d2c,0.919922,0.767754,0.008095,4783.41,1.0,0.480759,0.015562,0.553711,0.500435,0.000504,0.031476,4.9832,7.4907,-7,32,40,1057
14500,2779,0.081085,6b9b5b3e7dfc69a011ca2c89b243225d,0.890625,0.772568,0.007859,4955.91,1.0,0.500809,0.015563,0.53418,0.499084,0.000602,0.025313,5.0068,7.4855,-12,32,45,742
15500,2897,0.088165,fab949e6ad9893f22cb6375b3e7dfcea,0.898438,0.77739,0.007917,5222.05,1.0,0.515877,0.015573,0.514648,0.499481,0.000316,0.031826,5.3463,7.5342,-3,32,36,1014
16500,2880,0.049011,b0a25b3e7d420192112c2c9773aa4520,0.913086,0.778725,0.007878,5096.71,1.0,0.482445,0.015567,0.526367,0.500557,0.00036,0.015539,4.6913,7.5327,-12,32,45,556
