epoch,distinct_tapes,leader_coverage,leader_rep_hex,ss_copy_rate,ss_colonisation,ss_colonisation_sem,ss_mean_steps,ctrl_soup_copy_rate,ctrl_soup_colonisation,ctrl_soup_colonisation_sem,ctrl_rand_copy_rate,ctrl_rand_colonisation,ctrl_rand_colonisation_sem,frac_bytes_in_motif,H_inside,H_outside,conserved_lo,conserved_hi,conserved_width,n_aligned_tapes
35000,20684,0.049438,be56a4259d977d71c890c00dbe2c7a7e,0.90918,0.700722,0.005472,4644.61,0.999023,0.52227,0.009904,0.504883,0.499893,0.000358,0.015179,4.7996,7.2315,-14,32,47,619
36000,21901,0.095276,5b3eacad379375c1b3e3d47d6259f678,0.910156,0.698547,0.005489,4073.85,0.998047,0.524628,0.009856,0.504883,0.499893,0.000358,0.040786,5.5697,7.2152,-9,32,42,1404
37000,22620,0.120972,3777dc56ffe6881c935b3eacad379375,0.914062,0.709694,0.005658,4003.96,1.0,0.524208,0.010288,0.504883,0.499893,0.000358,0.037488,4.7733,6.9416,0,32,33,1362
38000,18313,0.162598,5b5b3e824f1ec056f1259d977d712df4,0.90625,0.705147,0.005504,5017.31,0.99707,0.52787,0.010303,0.504883,0.499893,0.000358,0.049867,4.4275,6.8925,-8,32,41,2036
39000,18389,0.119415,347462c1206a46bd5b5b3e824f1ec0ee,0.90918,0.705399,0.005557,5047.14,0.999023,0.525192,0.010358,0.504883,0.499893,0.000358,0.03479,4.8077,6.9665,0,32,33,731
40000,19469,0.216492,347462cc52b878255b5b3e0f4f1ec556,0.908203,0.706108,0.005535,5341.56,0.999023,0.523254,0.010251,0.504883,0.499893,0.000358,0.075744,4.9067,6.9712,0,32,33,2765
41000,23672,0.171844,5b5b3e0f8a1ec5566425b3367d712de4,0.908203,0.705872,0.005467,5410.69,0.998047,0.524284,0.010206,0.504883,0.499893,0.000358,0.050254,4.7642,6.964,0,32,33,1136
42000,24487,0.119537,347462cc52b5b5255b5b3e0f4f1e6956,0.908203,0.709679,0.005457,5470.56,0.999023,0.524071,0.010204,0.504883,0.499893,0.000358,0.036874,4.964,7.1182,0,32,33,861
43000,24739,0.116119,7d9c2df4f5c72c45a2725d2b7a8acea0,0.912109,0.706467,0.005501,5477.71,0.998047,0.523628,0.010174,0.504883,0.499893,0.000358,0.039807,5.4678,7.2372,-20,32,53,862
44000,24539,0.079651,5b5b3e0f4f8bc5616425b39e7d992dc1,0.912109,0.709633,0.005443,5430.28,0.998047,0.524521,0.010166,0.504883,0.499893,0.000358,0.023255,5.0192,7.2859,-8,32,41,596
45000,26623,0.106873,232c2638f85d2bd8d82feb35875d0665,0.90918,0.708138,0.005475,5397.16,0.999023,0.523712,0.010211,0.504883,0.499893,0.000358,0.036131,5.4165,7.3114,-25,27,53,735
46000,27717,0.081512,7d992dc1c0232c2638f85d2b378a2feb,0.911133,0.708183,0.005483,5385.74,1.0,0.52475,0.010185,0.504883,0.499893,0.000358,0.027257,5.073,7.3523,-20,32,53,1285
47000,27214,0.064117,3f7d322dc1c0902c26cd2e5d2bc28a57,0.910156,0.709671,0.005502,5455.98,0.999023,0.524521,0.010199,0.504883,0.499893,0.000358,0.030215,5.6035,7.42,-19,32,52,787
48000,26692,0.078461,7462645231789e5b5b3e6dac1ec51078,0.910156,0.710304,0.005446,5437.92,1.0,0.523666,0.010182,0.504883,0.499893,0.000358,0.02767,5.0888,7.4347,-1,32,34,638
49000,27478,0.132202,7462664cb8bd685b5b3e47131ec510bf,0.910156,0.708862,0.005436,5358.32,0.99707,0.52475,0.01019,0.504883,0.499893,0.000358,0.047669,5.4934,7.4061,-1,32,34,985
50000,25423,0.043274,7462a219b8d3255b5b3e690702bb3664,0.912109,0.710548,0.005454,5387.0,0.998047,0.524002,0.010195,0.504883,0.499893,0.000358,0.012198,4.6933,7.4672,-1,32,34,630
51000,26010,0.071381,7d0b2de4c07f2c744fe65d2b5df4fece,0.910156,0.709671,0.005454,5389.23,0.999023,0.524673,0.010185,0.504883,0.499893,0.000358,0.022464,4.5808,7.4531,-20,32,53,1054
52000,27461,0.055847,bebb255b5b3e0f6d59c55f642486197d,0.911133,0.709518,0.005457,5357.53,0.999023,0.524651,0.010204,0.504883,0.499893,0.000358,0.01711,4.6079,7.4873,-5,29,35,752
53000,27804,0.05011,8a2ff80f6086c47d8f2d8379512c8c58,0.912109,0.709732,0.005461,5331.73,0.999023,0.522652,0.010206,0.504883,0.499893,0.000358,0.015346,4.7504,7.4812,0,32,33,682
54000,28020,0.129242,7e5b1f515b3e9744972af141c107ee7d,0.910156,0.707481,0.00547,5332.88,0.999023,0.524826,0.010184,0.504883,0.499893,0.000358,0.04869,5.3607,7.5173,-5,32,38,1182
55000,27333,0.048248,327d982d7f25f62c40260d5d2b7e031d,0.910156,0.709732,0.005476,5383.33,0.999023,0.524582,0.010193,0.504883,0.499893,0.000358,0.015965,4.6193,7.4573,-19,32,52,727
56000,27360,0.058624,c8b3327d982d0c25f62c40260d5d2b7e,0.911133,0.708733,0.005491,5474.66,1.0,0.524963,0.010214,0.504883,0.499893,0.000358,0.019017,4.9687,7.4529,-17,32,50,666
57000,28313,0.092285,fd2ec55b90245b3ea30997f97151283a,0.912109,0.709526,0.005486,5401.74,0.999023,0.524323,0.010201,0.504883,0.499893,0.000358,0.03298,5.3246,7.4865,-3,32,36,977
