epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,copies_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive,distinct_tapes,distinct_labels
7000,1.386,0.0,6.401347,0.783379,5.617969,1.246155,1.514713,4.886634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,98487,0,0,0,0,15766,251
7250,110.223,107.567,6.517288,0.777847,5.739441,1.245319,1.5229,4.994389,8169.9838,0.998738,0.995986,1344.9518,338.8975,0.99696,0.000393,0.002647,4096000,33464253488,128338,97869,0,0,0,0,15733,223
7500,216.517,212.675,6.624196,0.777786,5.846409,1.236977,1.486473,5.137722,8172.1651,0.998737,0.996009,1354.6828,339.0082,0.997274,0.000296,0.00243,4096000,33473188286,128535,99496,0,0,0,0,15857,170
7750,323.012,317.889,6.726854,0.776825,5.950029,1.241455,1.517979,5.208875,8170.3983,0.998724,0.99597,1341.2042,334.4878,0.99703,0.000451,0.002519,4096000,33465951629,127347,95537,0,0,0,0,15797,141
8000,429.464,423.33,6.783422,0.787071,5.996351,1.267826,1.493977,5.289445,8169.0826,0.998735,0.995917,1325.743,329.5309,0.996837,0.000446,0.002717,4096000,33460562489,127763,95978,1204,1204,1204,1204,15945,107
8250,534.622,527.245,6.841003,0.928558,5.912445,1.435036,1.745914,5.095089,8070.0855,0.996496,0.995797,1318.4111,326.4757,0.984049,0.003096,0.012854,4096000,33055070399,128099,149963,1083,1573,1083,1573,18415,85
8500,638.71,630.146,6.840062,0.785152,6.054909,1.226997,1.479031,5.361031,7934.3461,0.993757,0.995725,1298.5306,323.4169,0.966405,0.006975,0.026621,4096000,32499081455,128015,96839,904,1891,904,1891,15864,60
