epoch,wall_s,sim_s,entropy_bits,zlib_bits,high_order_entropy,mean_steps,frac_copy_runs,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t
940,2.521,1.194,7.945427,7.562744,0.382683,683.4273,0.438672,0.072852,0.537891,0.389258,10240,6998296,329,56342,41,121
960,2.56,1.213,7.938366,7.503052,0.435314,656.301,0.446973,0.069141,0.552832,0.378027,10240,6720522,309,55973,39,121
980,2.6,1.231,7.935793,7.475342,0.460451,653.972,0.452148,0.06875,0.554492,0.376758,10240,6696673,276,55787,39,123
1000,2.645,1.249,7.928601,7.454712,0.473889,619.3401,0.447559,0.064258,0.565527,0.370215,10240,6342043,326,55679,39,125
1020,2.726,1.286,7.92769,7.463379,0.464311,624.8225,0.445508,0.065039,0.573926,0.361035,10240,6398182,342,55807,42,127
1040,2.8,1.321,7.9272,7.477173,0.450027,634.8314,0.456836,0.066602,0.572559,0.36084,10240,6500674,309,55944,42,130
1060,2.841,1.343,7.925001,7.465088,0.459913,617.8276,0.462305,0.063965,0.579395,0.356641,10240,6326555,324,55919,42,133
1080,2.878,1.361,7.92269,7.458252,0.464438,628.583,0.457129,0.065723,0.577246,0.357031,10240,6436690,309,55896,41,133
1100,2.915,1.379,7.921656,7.463501,0.458155,629.2597,0.45166,0.065918,0.580762,0.35332,10240,6443619,294,55936,38,133
1120,2.954,1.397,7.916006,7.461792,0.454214,626.5338,0.462598,0.065234,0.580859,0.353906,10240,6415706,298,56002,36,133
1140,2.992,1.415,7.913553,7.463745,0.449808,595.3382,0.458398,0.061621,0.571777,0.366602,10240,6096263,316,56053,39,135
1160,3.029,1.433,7.910614,7.451782,0.458832,602.1274,0.46416,0.062109,0.575098,0.362793,10240,6165785,300,56030,40,136
1180,3.078,1.45,7.906558,7.430908,0.47565,589.4404,0.482422,0.060352,0.580371,0.359277,10240,6035870,333,55922,40,136
1200,3.15,1.483,7.908011,7.44165,0.466361,537.1757,0.473145,0.054199,0.585156,0.360645,10240,5500679,282,56028,39,138
1220,3.223,1.516,7.908248,7.435669,0.472579,555.0232,0.480371,0.056738,0.591406,0.351855,10240,5683438,284,56054,41,139
1240,3.296,1.549,7.906778,7.418335,0.488443,570.1381,0.479883,0.058301,0.593652,0.348047,10240,5838214,320,55968,43,142
1260,3.368,1.586,7.903941,7.422729,0.481212,526.8261,0.481152,0.053125,0.599609,0.347266,10240,5394699,326,56088,47,145
1280,3.44,1.623,7.898185,7.387451,0.510734,519.2294,0.470703,0.051953,0.601562,0.346484,10240,5316909,315,55846,52,150
1300,3.516,1.66,7.892465,7.364014,0.528452,537.0783,0.475684,0.053906,0.609082,0.337012,10240,5499682,306,55694,50,151
1320,3.591,1.692,7.890008,7.363037,0.526971,530.5061,0.480371,0.05332,0.611523,0.335156,10240,5432382,325,55711,51,154
1340,3.659,1.72,7.884913,7.365845,0.519068,533.0357,0.471289,0.053418,0.618066,0.328516,10240,5458286,304,55780,50,155
1360,3.719,1.75,7.884379,7.381226,0.503153,519.0042,0.475195,0.051953,0.624609,0.323438,10240,5314603,314,55948,49,156
1380,3.754,1.767,7.884413,7.394531,0.489882,539.9197,0.477441,0.054688,0.62373,0.321582,10240,5528778,298,56083,48,156
1400,3.79,1.784,7.879614,7.385376,0.494238,515.6401,0.47041,0.051465,0.624609,0.323926,10240,5280155,326,56007,45,156
1420,3.824,1.8,7.875429,7.389404,0.486025,497.0443,0.479102,0.049219,0.63457,0.316211,10240,5089734,284,56096,45,156
1440,3.863,1.819,7.873015,7.393066,0.479949,473.2434,0.476758,0.046289,0.638184,0.315527,10240,4846012,305,56094,45,157
1460,3.897,1.834,7.873165,7.403564,0.469601,451.0854,0.467578,0.043457,0.638379,0.318164,10240,4619114,333,56177,45,157
1480,3.934,1.849,7.866596,7.397217,0.469379,453.2015,0.459082,0.043555,0.635156,0.321289,10240,4640783,334,56121,44,157
1500,3.999,1.869,7.856982,7.390503,0.466479,484.9562,0.452246,0.047656,0.629785,0.322559,10240,4965952,318,56058,43,157
1520,4.072,1.898,7.851364,7.381958,0.469406,498.3408,0.452051,0.049512,0.627051,0.323438,10240,5103010,303,56038,43,157
1540,4.164,1.94,7.851206,7.388184,0.463022,514.3814,0.454785,0.051367,0.628711,0.319922,10240,5267266,305,56113,42,157
1560,4.256,1.987,7.852252,7.402344,0.449909,490.4104,0.458008,0.048535,0.625879,0.325586,10240,5021803,327,56239,40,157
1580,4.328,2.015,7.851585,7.41748,0.434105,472.8479,0.461328,0.046289,0.622559,0.331152,10240,4841962,303,56332,37,157
1600,4.401,2.047,7.853127,7.432617,0.42051,484.0125,0.464648,0.047754,0.628125,0.324121,10240,4956288,301,56452,36,157
1620,4.472,2.079,7.851883,7.430054,0.421829,480.4241,0.470215,0.047168,0.628906,0.323926,10240,4919543,307,56410,38,159
1640,4.528,2.116,7.852949,7.442505,0.410444,511.5478,0.47002,0.05127,0.622559,0.326172,10240,5238249,340,56550,35,159
1660,4.564,2.132,7.850986,7.449463,0.401523,493.8084,0.472559,0.048828,0.627344,0.323828,10240,5056598,338,56604,35,159
1680,4.6,2.149,7.850891,7.454102,0.396789,513.37,0.475098,0.051074,0.630176,0.31875,10240,5256909,286,56653,35,159
1700,4.636,2.166,7.851727,7.449219,0.402508,529.9435,0.489648,0.053223,0.636133,0.310645,10240,5426621,329,56590,34,159
1720,4.677,2.182,7.85362,7.43457,0.419049,509.6562,0.49502,0.050195,0.645117,0.304688,10240,5218879,305,56503,36,161
1740,4.713,2.198,7.856801,7.447266,0.409535,498.1742,0.510449,0.049121,0.64502,0.305859,10240,5101304,333,56552,35,161
1760,4.748,2.215,7.855711,7.447021,0.40869,490.8538,0.521387,0.048145,0.643262,0.308594,10240,5026343,294,56592,36,162
1780,4.784,2.231,7.854731,7.448486,0.406245,500.3604,0.516699,0.049414,0.642285,0.308301,10240,5123691,301,56591,35,163
1800,4.819,2.247,7.852902,7.443604,0.409299,476.9352,0.532227,0.046582,0.648633,0.304785,10240,4883816,314,56525,38,164
1820,4.887,2.275,7.846474,7.426025,0.420449,477.1959,0.54873,0.046289,0.656543,0.297168,10240,4886486,278,56432,36,166
1840,4.954,2.307,7.848226,7.433594,0.414632,483.2933,0.530371,0.047363,0.651562,0.301074,10240,4948923,327,56476,37,167
1860,4.989,2.324,7.849216,7.430664,0.418552,500.5991,0.528125,0.049512,0.650586,0.299902,10240,5126135,293,56448,37,167
