# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       355  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       158  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       150  ................  01010101010101010101010101010101
       142  !!!!!!!!!!!!!!!!  21212121212121212121212121212121
       131  ................  0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e
       128  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       105  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       100  ................  07070707070707070707070707070707
# epoch 2000  H=7.8514 C=7.6534 HO=0.1332  A(t)=255
       601  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       419  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       324  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       162  ................  01010101010101010101010101010101
       153  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       149  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       131  ................  babababababababababababababababa
       101  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
        98  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
        90  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
# epoch 2250  H=7.8417 C=7.6439 HO=0.1245  A(t)=275
       652  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       554  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       261  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       157  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
       146  ................  01010101010101010101010101010101
       136  0000000000000000  30303030303030303030303030303030
       117  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       110  OOOOOOOOOOOOOOOO  4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f
       100  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        92  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 2500  H=7.8368 C=7.6393 HO=0.1303  A(t)=284
       581  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       417  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       413  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       197  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       194  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       137  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       133  ................  01010101010101010101010101010101
       126  ................  04040404040404040404040404040404
       108  ................  84848484848484848484848484848484
       104  ................  e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3
# epoch 2750  H=7.8338 C=7.6669 HO=0.1043  A(t)=294
       465  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       355  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       174  ................  01010101010101010101010101010101
       173  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       158  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       122  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       113  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
        86  ................  fefefefefefefefefefefefefefefefe
        75  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
        67  kkkkkkkkkkkkkkkk  6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b
# epoch 3000  H=7.8328 C=7.6408 HO=0.1270  A(t)=295
