# epoch 0  H=7.9971 C=8.0032 HO=-0.0060  A(t)=0
       109  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
       108  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       107  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
       104  <<<,<<<<<<<<<<<<  3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c
       100  <<<<<<<<<<<<,<<<  3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c
# epoch 1600  H=6.5138 C=5.4490 HO=1.0648  A(t)=111
      3889  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       141  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       141  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       136  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       136  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
       136  <<<<<<<<<<<<,<<<  3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c
       134  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       130  <<<<<<<<<<<,<<<<  3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c3c
       129  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
       125  <<<<<,<<<<<<<<<<  3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c
# epoch 1650  H=6.3257 C=5.2434 HO=1.0823  A(t)=144
      5924  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       156  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       148  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       142  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
       142  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       138  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
       138  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       137  <<<<<<<<<<<<,<<<  3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c
       136  <<<,<<<<<<<<<<<<  3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c
       135  <<<<,<<<<<<<<<<<  3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c
# epoch 1700  H=6.1851 C=5.1160 HO=1.0691  A(t)=173
      5836  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       203  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       189  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       179  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       173  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
       169  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       169  <<<,<<<<<<<<<<<<  3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c
       166  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
       166  <<<<,<<<<<<<<<<<  3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c
       166  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
# epoch 1750  H=6.0400 C=4.9792 HO=1.0608  A(t)=181
      6807  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       175  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       166  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       163  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       158  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       157  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       155  <<<<<,<<<<<<<<<<  3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c
       152  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
       150  <<<<<<,<<<<<<<<<  3c3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c
       147  <<<<<<<<<<<<,<<<  3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c
# epoch 1800  H=5.9295 C=4.8956 HO=1.0339  A(t)=190
      6111  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       408  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       166  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       153  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       151  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       144  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       143  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
       140  <<<,<<<<<<<<<<<<  3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c
       139  <<<<,<<<<<<<<<<<  3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c
       137  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
# epoch 1850  H=5.8171 C=4.8135 HO=1.0036  A(t)=193
      6025  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       217  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       154  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       137  <<<<<<,<<<<<<<<<  3c3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c
       134  <<<<<<<<<<,<<<<<  3c3c3c3c3c3c3c3c3c3c2c3c3c3c3c3c
       134  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       133  <<<<<<<<<,<<<<<<  3c3c3c3c3c3c3c3c3c2c3c3c3c3c3c3c
       133  <<<<<<<,<<<<<<<<  3c3c3c3c3c3c3c2c3c3c3c3c3c3c3c3c
       132  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       132  <<<<<<<<<<<,<<<<  3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c3c
# epoch 1900  H=5.7435 C=4.6975 HO=1.0460  A(t)=216
      6740  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       365  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       156  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       155  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       145  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       142  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
       141  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       139  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
       133  <<<<<<<,<<<<<<<<  3c3c3c3c3c3c3c2c3c3c3c3c3c3c3c3c
       133  <<<,<<<<<<<<<<<<  3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c
# epoch 1950  H=5.6134 C=4.5746 HO=1.0388  A(t)=226
      7074  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       417  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       170  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       168  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       164  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       162  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
       157  <<<<<,<<<<<<<<<<  3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c
       156  <<<<<<,<<<<<<<<<  3c3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c
       155  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       155  <<<<<<<,<<<<<<<<  3c3c3c3c3c3c3c2c3c3c3c3c3c3c3c3c
# epoch 2000  H=5.4854 C=4.4772 HO=1.0083  A(t)=238
      7315  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       200  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       188  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       187  <<<<<<<,<<<<<<<<  3c3c3c3c3c3c3c2c3c3c3c3c3c3c3c3c
       186  <<<<<<<<,<<<<<<<  3c3c3c3c3c3c3c3c2c3c3c3c3c3c3c3c
       186  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       184  <<<<<<,<<<<<<<<<  3c3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c
       183  <<<<<,<<<<<<<<<<  3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c
       183  <<<<,<<<<<<<<<<<  3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c
       180  <<<,<<<<<<<<<<<<  3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c
# epoch 2050  H=5.3155 C=4.3186 HO=0.9969  A(t)=250
      8290  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       326  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       200  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       199  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
       199  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       195  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       194  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       194  <<<<,<<<<<<<<<<<  3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c
       193  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
       192  <<<,<<<<<<<<<<<<  3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c
# epoch 2100  H=5.1902 C=4.2057 HO=0.9845  A(t)=260
      8791  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       246  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       244  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       244  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
       241  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       240  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       236  <<<<<<<<<<<<,<<<  3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c
       235  <<<,<<<<<<<<<<<<  3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c
       235  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
       234  <<<<,<<<<<<<<<<<  3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c
# epoch 2150  H=5.1533 C=4.1641 HO=0.9892  A(t)=278
      8836  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       429  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       201  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       193  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       187  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       185  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
       185  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       181  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
       171  <<<,<<<<<<<<<<<<  3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c
       167  <<<<<<<<<<<<,<<<  3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c
# epoch 2200  H=5.0901 C=4.0991 HO=0.9910  A(t)=281
      9323  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       375  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       213  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       210  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
       209  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       207  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
       202  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       200  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       198  <<<<<<<<<<<<,<<<  3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c
       196  <<<<<<,<<<<<<<<<  3c3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c
# epoch 2250  H=4.9929 C=3.9883 HO=1.0046  A(t)=296
      9192  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       647  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       212  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       210  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       205  <<<<,<<<<<<<<<<<  3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c
       204  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       203  <<<<<,<<<<<<<<<<  3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c
       202  <<<,<<<<<<<<<<<<  3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c
       201  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       198  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
# epoch 2300  H=4.8836 C=3.9083 HO=0.9752  A(t)=321
      9004  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       638  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       230  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       224  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       218  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       211  <<<<<<<<<<<<,<<<  3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c
       211  <<<<<<<<<,<<<<<<  3c3c3c3c3c3c3c3c3c2c3c3c3c3c3c3c
       211  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       210  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
       209  <<<<<<<<<<,<<<<<  3c3c3c3c3c3c3c3c3c3c2c3c3c3c3c3c
# epoch 2350  H=4.7274 C=3.7936 HO=0.9339  A(t)=338
      9424  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       252  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       250  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       240  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       231  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       229  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       223  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
       219  <<<<<<<<<<<<,<<<  3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c
       218  <<<,<<<<<<<<<<<<  3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c
       215  <<<<<<<<<<<,<<<<  3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c3c
# epoch 2400  H=4.6260 C=3.6724 HO=0.9536  A(t)=347
     10373  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       586  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       265  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       260  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       256  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       252  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
       251  <<<<,<<<<<<<<<<<  3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c
       251  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       248  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
       245  <<<,<<<<<<<<<<<<  3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c
# epoch 2450  H=4.5634 C=3.6036 HO=0.9598  A(t)=359
      9771  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       640  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       272  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       254  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       250  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       244  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       237  <<<<<<<<<<<<,<<<  3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c
       236  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
       232  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
       229  <<<<<<<<<<<,<<<<  3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c3c
# epoch 2500  H=4.4308 C=3.4779 HO=0.9529  A(t)=362
     10486  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       597  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       301  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       288  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       285  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       275  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       274  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
       271  <<<<,<<<<<<<<<<<  3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c
       268  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
       266  <<<,<<<<<<<<<<<<  3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c
# epoch 2550  H=4.2592 C=3.3395 HO=0.9198  A(t)=371
     11098  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       349  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       337  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       333  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
       330  <<<<<<<<<<<<,<<<  3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c
       328  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       325  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
       324  <<<<<<<<<<<,<<<<  3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c3c
       321  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       315  <<<<,<<<<<<<<<<<  3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c
# epoch 2600  H=4.0722 C=3.1749 HO=0.8972  A(t)=388
     11977  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       519  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       474  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       327  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       311  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       304  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       294  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
       294  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       289  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
       287  <<<<<,<<<<<<<<<<  3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c
# epoch 2650  H=4.0354 C=3.0830 HO=0.9524  A(t)=417
     12195  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       568  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       369  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       345  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       337  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       336  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       331  <<<<<<<<,<<<<<<<  3c3c3c3c3c3c3c3c2c3c3c3c3c3c3c3c
       330  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       329  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
       329  <<<<<<<<<,<<<<<<  3c3c3c3c3c3c3c3c3c2c3c3c3c3c3c3c
# epoch 2700  H=3.8750 C=2.9481 HO=0.9269  A(t)=422
     12879  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1092  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       327  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       324  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       318  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       308  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       299  <<<<<<<<<,<<<<<<  3c3c3c3c3c3c3c3c3c2c3c3c3c3c3c3c
       296  <<<<<<<<,<<<<<<<  3c3c3c3c3c3c3c3c2c3c3c3c3c3c3c3c
       294  <<<<<<,<<<<<<<<<  3c3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c
       294  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
# epoch 2750  H=3.7469 C=2.8392 HO=0.9076  A(t)=427
     14379  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1069  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       415  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       335  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       327  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
       312  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       310  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
       305  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
       305  <<<<<<<<<<<<,<<<  3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c
       304  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
