# epoch 0  H=7.9971 C=8.0032 HO=-0.0060  A(t)=0
        13  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        10  ................  ffffffffffffffffffffffffffffffff
         9  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
         8  ................  00000000000000000000000000000000
         3  ................  edededededededededededededededed
# epoch 400  H=7.9470 C=7.3818 HO=0.5651  A(t)=8
        80  ssssssssssssssss  73737373737373737373737373737373
        66  ................  88888888888888888888888888888888
        65  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        26  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        23  ................  10101010101010101010101010101010
        20  LLLLLLLLLLLLLLLL  4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c
        10  ................  ffffffffffffffffffffffffffffffff
         8  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
         2  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
         2  ................  a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
# epoch 450  H=7.9356 C=7.3542 HO=0.5813  A(t)=10
        87  ssssssssssssssss  73737373737373737373737373737373
        63  ................  88888888888888888888888888888888
        53  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        39  ................  00000000000000000000000000000000
        26  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        20  LLLLLLLLLLLLLLLL  4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c
         8  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
         8  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
