epoch,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
0,7.997125,8.000488,-0.003364,8.000488,8.003174,-0.006049,65536,0,0,0,0
1000,7.709613,7.044556,0.665057,7.430542,6.869385,0.840228,63109,0,0,0,0
2000,5.485424,4.485474,0.99995,4.805542,4.477173,1.008251,42165,16,16,16,16
3000,3.425096,2.585205,0.839891,2.82251,2.626831,0.798265,25068,183,195,238,242
4000,2.231413,1.665649,0.565764,1.80835,1.652344,0.579069,15154,178,248,293,303
5000,1.801822,1.375488,0.426334,1.529663,1.369751,0.432071,11409,140,258,300,316
6000,1.828363,1.528564,0.299798,1.640625,1.519043,0.30932,15051,127,261,301,348
7000,1.540304,1.232056,0.308249,1.34668,1.215332,0.324972,10312,150,262,274,353
8000,1.53819,1.376099,0.162091,1.498047,1.348389,0.189801,12017,121,263,295,375
9000,1.194856,1.213257,-0.018401,1.322021,1.180298,0.014558,9732,108,271,307,403
10000,1.283128,1.251709,0.031419,1.360474,1.205933,0.077196,9655,97,272,285,408
11000,1.619406,1.537354,0.082052,1.644287,1.525513,0.093893,15517,96,272,291,428
12000,1.217787,1.174927,0.04286,1.279175,1.137939,0.079847,9708,136,272,295,446
13000,1.466231,1.412598,0.053634,1.500854,1.394775,0.071456,12469,135,272,285,459
14000,1.069501,1.095947,-0.026446,1.184814,1.048462,0.021039,7956,96,272,279,467
15000,1.117717,1.102783,0.014934,1.201538,1.062622,0.055095,7850,95,272,277,472
16000,1.207853,1.217407,-0.009554,1.320923,1.176514,0.031339,9939,96,273,275,475
17000,1.185846,1.188354,-0.002509,1.292969,1.146606,0.039239,9688,126,273,292,497
18000,1.181975,1.187866,-0.005892,1.298706,1.154541,0.027434,8045,100,274,278,502
19000,1.321525,1.280029,0.041496,1.380981,1.251831,0.069694,10247,98,277,293,516
20000,1.410118,1.32605,0.084068,1.420776,1.29895,0.111168,11329,96,277,279,524
21000,1.092429,1.161255,-0.068826,1.261841,1.105103,-0.012673,8452,115,279,293,545
22000,1.081758,1.093262,-0.011504,1.207397,1.059448,0.02231,7403,102,280,277,546
23000,1.191877,1.220093,-0.028216,1.322021,1.190918,0.000959,9558,109,280,276,548
24000,1.136524,1.162109,-0.025585,1.269409,1.113647,0.022877,8037,95,281,276,549
25000,1.081658,1.128174,-0.046516,1.234253,1.083618,-0.00196,7926,99,286,287,564
26000,1.202388,1.205688,-0.0033,1.304321,1.167114,0.035274,9578,103,286,278,571
27000,1.255419,1.248169,0.00725,1.356323,1.204346,0.051073,9845,103,286,283,580
28000,1.092016,1.109741,-0.017725,1.211914,1.070801,0.021215,7916,97,289,292,591
29000,1.336486,1.315186,0.0213,1.41394,1.291382,0.045104,12061,84,289,288,614
30000,1.138127,1.163574,-0.025447,1.266968,1.11438,0.023747,8501,86,289,296,645
31000,1.133338,1.183105,-0.049767,1.277832,1.140869,-0.007531,8965,96,289,274,645
32000,1.149392,1.215942,-0.066551,1.325806,1.175049,-0.025657,9737,107,290,308,675
33000,1.267011,1.250244,0.016767,1.357544,1.215698,0.051313,9904,129,296,321,706
34000,1.299191,1.262573,0.036618,1.356567,1.228882,0.070309,10364,105,296,284,716
35000,1.419396,1.352905,0.066491,1.444824,1.328735,0.090661,12398,108,296,286,724
36000,1.33818,1.279907,0.058273,1.379883,1.25415,0.08403,11530,138,296,313,760
37000,1.494256,1.402344,0.091912,1.507935,1.373291,0.120965,12172,134,296,291,768
38000,1.168462,1.153442,0.01502,1.249146,1.116089,0.052373,8530,99,296,305,785
39000,1.427053,1.350342,0.076711,1.450317,1.320068,0.106984,11587,96,297,292,790
40000,1.239174,1.224121,0.015053,1.326904,1.192017,0.047158,9648,97,297,290,803
41000,1.24456,1.232666,0.011894,1.327393,1.206909,0.037651,9669,99,298,286,811
42000,1.099904,1.10791,-0.008006,1.20874,1.062622,0.037282,8070,98,298,286,819
43000,1.368481,1.299194,0.069286,1.401855,1.262939,0.105541,11107,99,298,277,819
44000,1.306254,1.279541,0.026713,1.388672,1.236938,0.069315,10604,99,299,291,827
45000,1.280162,1.238892,0.041271,1.342407,1.208252,0.07191,10249,99,299,307,849
46000,1.277823,1.264648,0.013175,1.359375,1.228638,0.049185,10462,98,299,290,860
47000,1.383479,1.341919,0.041561,1.436523,1.311401,0.072078,11736,97,299,291,868
48000,1.272655,1.255737,0.016918,1.355469,1.223267,0.049388,10756,96,299,281,872
49000,1.216148,1.220947,-0.004799,1.327637,1.18457,0.031578,9478,103,300,299,896
50000,1.165016,1.168457,-0.003441,1.268311,1.123779,0.041236,9416,103,300,282,896
