# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       101  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
# epoch 1750  H=7.8598 C=7.6550 HO=0.1364  A(t)=236
       556  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       505  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       464  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       157  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       143  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       139  ssssssssssssssss  73737373737373737373737373737373
       128  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       124  ................  04040404040404040404040404040404
       106  0000000000000000  30303030303030303030303030303030
        99  ................  e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
# epoch 2000  H=7.8523 C=7.6513 HO=0.1299  A(t)=252
       511  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       505  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       215  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       137  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       118  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        96  ................  ebebebebebebebebebebebebebebebeb
        95  ................  d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
        92  ................  fefefefefefefefefefefefefefefefe
        89  ................  b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
        88  ................  01010101010101010101010101010101
# epoch 2250  H=7.8504 C=7.6660 HO=0.1162  A(t)=266
       655  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       646  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       302  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       159  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
