epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,copies_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive,distinct_tapes,distinct_labels
0,0.026,0.0,7.997252,8.000488,-0.003236,8.000488,8.003174,-0.005922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,65536,0,0,0,0,,
250,1.345,1.292,7.976372,7.937744,0.038628,7.971436,7.920654,0.055718,1149.0726,0.5045,0.912299,97.5162,6.9678,0.126594,0.606156,0.26725,256000,294162574,3861,65329,0,0,0,0,,
500,2.422,2.342,7.95618,7.775879,0.180301,7.927246,7.84021,0.11597,902.9045,0.473379,0.888844,93.9583,5.3112,0.096996,0.6155,0.287504,256000,231143543,4008,65006,0,0,0,0,,
750,3.436,3.329,7.922097,7.670532,0.251565,7.878662,7.787476,0.134622,808.8765,0.434887,0.871305,85.202,4.9555,0.085723,0.669797,0.24448,256000,207072379,3949,64991,0,0,0,0,,
1000,4.484,4.348,7.881769,7.5625,0.319269,7.807617,7.713501,0.168268,846.9255,0.421332,0.877253,97.3881,7.1282,0.089184,0.66902,0.241797,256000,216812926,4047,64773,0,0,0,0,,
1250,5.568,5.404,7.824606,7.478516,0.34609,7.754395,7.643677,0.180929,839.8286,0.415234,0.875103,108.201,5.4267,0.088637,0.68977,0.221594,256000,214996130,4015,64843,2,2,2,2,,
1500,6.568,6.375,7.758207,7.361938,0.396269,7.661865,7.560669,0.197538,775.6727,0.405418,0.865654,127.1163,10.3285,0.081379,0.682789,0.235832,256000,198572199,3941,64484,2,2,2,2,,
1750,7.531,7.31,7.699686,7.23291,0.466776,7.59729,7.470215,0.229471,707.9876,0.401766,0.853258,122.1545,8.3618,0.072938,0.684199,0.242863,256000,181244815,3821,64226,2,3,2,3,,
2000,8.467,8.217,7.626034,7.119263,0.506771,7.491577,7.366089,0.259945,732.0065,0.406578,0.859368,103.8172,5.9486,0.07659,0.674727,0.248684,256000,187393674,3820,63782,4,5,4,5,,
2250,9.389,9.11,7.540573,7.02063,0.519943,7.396851,7.28064,0.259933,677.2918,0.396027,0.849265,115.9017,8.6585,0.069602,0.671199,0.259199,256000,173386697,4006,63402,3,5,3,5,,
