# epoch 0  H=7.9973 C=8.0032 HO=-0.0059  A(t)=0
        40  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        35  ................  bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
        35  cccccccccccccccc  63636363636363636363636363636363
        18  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        17  DDDDDDDDDDDDDDDD  44444444444444444444444444444444
        13  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
# epoch 400  H=7.9221 C=7.2632 HO=0.6589  A(t)=19
        63  ................  9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e
        60  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
        55  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        39  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        28  ................  bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
        17  ................  8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b
        13  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        13  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        11  ................  06060606060606060606060606060606
        10  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
# epoch 450  H=7.8987 C=7.2037 HO=0.6949  A(t)=21
       106  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        60  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
        47  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        42  ................  9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e
        36  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        27  ................  bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
        17  ................  8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b
        11  ................  06060606060606060606060606060606
        10  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        10  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
# epoch 500  H=7.8754 C=7.1506 HO=0.7248  A(t)=22
        60  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
        58  ................  9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e
        57  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        54  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
        41  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        38  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        29  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        27  ................  bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
        18  ................  98989898989898989898989898989898
        11  ................  8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b
# epoch 550  H=7.8313 C=7.0603 HO=0.7710  A(t)=23
       249  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        92  ................  04040404040404040404040404040404
        45  ................  9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e
        40  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
        40  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        32  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        31  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        27  ................  bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
        23  <<<<<<<<,<<<<<<<  3c3c3c3c3c3c3c3c2c3c3c3c3c3c3c3c
        21  <<<<<<<,<<<<<<<<  3c3c3c3c3c3c3c2c3c3c3c3c3c3c3c3c
# epoch 600  H=7.7994 C=6.9874 HO=0.8120  A(t)=23
       350  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
