# epoch 0  H=7.9997 C=8.0025 HO=-0.0004  A(t)=0
        58  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        54  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        53  ................  0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c
        51  ................  e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
        47  wwwwwwwwwwwwwwww  77777777777777777777777777777777
        45  ................  cccccccccccccccccccccccccccccccc
        42  ................  eaeaeaeaeaeaeaeaeaeaeaeaeaeaeaea
        35  ................  18181818181818181818181818181818
# epoch 450  H=7.9961 C=7.9346 HO=0.0637  A(t)=70
       279  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       105  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        84  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        58  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        53  ................  0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c
        47  wwwwwwwwwwwwwwww  77777777777777777777777777777777
        45  ................  cccccccccccccccccccccccccccccccc
        42  ................  eaeaeaeaeaeaeaeaeaeaeaeaeaeaeaea
        42  ................  e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
        35  ................  18181818181818181818181818181818
# epoch 500  H=7.9959 C=7.9356 HO=0.0624  A(t)=72
       249  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        94  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        59  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        51  llllllllllllllll  6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c
        45  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        42  ................  e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
        41  ................  0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c
        35  ................  eaeaeaeaeaeaeaeaeaeaeaeaeaeaeaea
        35  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        35  ................  18181818181818181818181818181818
# epoch 550  H=7.9957 C=7.9354 HO=0.0617  A(t)=78
       246  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        78  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        59  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        55  ................  18181818181818181818181818181818
        48  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        48  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
        47  ................  80808080808080808080808080808080
        46  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        41  ................  e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
        41  ................  0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c
# epoch 600  H=7.9954 C=7.9316 HO=0.0621  A(t)=81
       248  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        65  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        60  ................  80808080808080808080808080808080
        59  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        54  ................  18181818181818181818181818181818
        53  EEEEEEEEEEEEEEEE  45454545454545454545454545454545
        48  ................  81818181818181818181818181818181
        46  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
        46  tttttttttttttttt  74747474747474747474747474747474
        45  ................  e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
# epoch 650  H=7.9952 C=7.9307 HO=0.0622  A(t)=88
       250  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        98  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        54  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        54  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        53  EEEEEEEEEEEEEEEE  45454545454545454545454545454545
        51  ................  80808080808080808080808080808080
        45  tttttttttttttttt  74747474747474747474747474747474
        39  ................  81818181818181818181818181818181
        39  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        38  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
# epoch 700  H=7.9949 C=7.9272 HO=0.0673  A(t)=90
       240  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       129  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        99  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
        70  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        54  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        54  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        47  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        45  tttttttttttttttt  74747474747474747474747474747474
        38  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
        35  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
# epoch 750  H=7.9947 C=7.9274 HO=0.0673  A(t)=92
       242  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       106  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        92  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
        64  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        60  ................  01010101010101010101010101010101
        45  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        43  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
