epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
640,1.494,0.766,7.932141,7.512085,0.420056,7.636719,7.469482,0.462659,549.2979,0.533887,0.828394,73.2387,0.055273,0.616602,0.328125,10240,5624811,288,55841,52,67,52,67
660,1.54,0.789,7.929639,7.505249,0.42439,7.63855,7.476807,0.452832,551.3361,0.543359,0.827626,71.94,0.055078,0.624707,0.320215,10240,5645682,318,55952,50,67,50,67
680,1.587,0.813,7.926774,7.50647,0.420304,7.632812,7.467896,0.458878,481.0362,0.553223,0.803226,54.1064,0.046484,0.625293,0.328223,10240,4925811,285,55953,48,67,48,67
700,1.63,0.835,7.918553,7.468628,0.449925,7.615112,7.439941,0.478612,488.6233,0.559473,0.806066,56.4285,0.046484,0.625684,0.327832,10240,5003503,311,55776,47,67,47,67
720,1.674,0.856,7.916891,7.469482,0.447409,7.607666,7.431763,0.485129,488.3703,0.572363,0.804896,55.4334,0.046777,0.633301,0.319922,10240,5000912,332,55794,45,68,45,68
740,1.718,0.879,7.912969,7.466919,0.44605,7.60376,7.421875,0.491094,494.8021,0.589453,0.805158,58.3889,0.047852,0.641602,0.310547,10240,5066774,308,55779,46,69,46,69
760,1.762,0.901,7.914849,7.491821,0.423028,7.626465,7.444946,0.469903,491.4369,0.590527,0.804382,58.8619,0.047266,0.640723,0.312012,10240,5032314,344,55980,46,70,46,70
780,1.806,0.923,7.913078,7.465088,0.44799,7.610474,7.426025,0.487053,490.1876,0.593359,0.803963,56.8396,0.04707,0.640234,0.312695,10240,5019521,327,55854,48,72,48,72
800,1.851,0.944,7.907371,7.460693,0.446678,7.588501,7.417969,0.489402,449.8261,0.592676,0.785715,53.6197,0.041699,0.646484,0.311816,10240,4606219,302,55812,46,72,46,72
820,1.893,0.965,7.902276,7.443115,0.45916,7.585693,7.395996,0.50628,446.809,0.596191,0.78362,52.525,0.041113,0.650488,0.308398,10240,4575324,305,55736,46,74,46,74
840,1.936,0.985,7.892086,7.439209,0.452877,7.574219,7.382812,0.509273,431.1076,0.601855,0.774956,51.4236,0.03916,0.65459,0.30625,10240,4414542,320,55721,46,74,46,74
860,1.984,1.006,7.887399,7.426514,0.460886,7.56604,7.358276,0.529123,455.3026,0.621875,0.786956,53.9524,0.041895,0.655273,0.302832,10240,4662299,295,55614,45,75,45,75
880,2.026,1.026,7.888094,7.429443,0.45865,7.583984,7.380249,0.507845,425.8315,0.637988,0.77088,52.3439,0.038477,0.663379,0.298145,10240,4360515,314,55818,45,76,45,76
900,2.068,1.046,7.883365,7.448975,0.43439,7.592896,7.380737,0.502627,413.6314,0.643848,0.763355,55.6675,0.036719,0.667969,0.295312,10240,4235586,333,55871,44,76,44,76
920,2.109,1.066,7.879883,7.448364,0.431519,7.605957,7.387817,0.492066,411.1548,0.648438,0.760262,53.9,0.036816,0.676367,0.286816,10240,4210225,317,55988,42,76,42,76
940,2.152,1.086,7.870057,7.412964,0.457093,7.562134,7.358521,0.511536,408.879,0.672168,0.75659,53.0648,0.035645,0.685742,0.278613,10240,4186921,328,55770,41,77,41,77
960,2.195,1.107,7.865104,7.422485,0.442619,7.568237,7.354126,0.510978,417.9263,0.674902,0.762026,52.2889,0.037305,0.687891,0.274805,10240,4279565,326,55795,43,79,43,79
980,2.238,1.127,7.859063,7.39502,0.464044,7.537842,7.339355,0.519708,419.0114,0.682324,0.76236,48.7155,0.037988,0.687402,0.274609,10240,4290677,341,55705,42,80,42,80
1000,2.279,1.148,7.854349,7.379272,0.475077,7.533813,7.334595,0.519755,438.7393,0.68418,0.77179,55.2492,0.040234,0.692871,0.266895,10240,4492690,304,55704,46,84,46,84
1020,2.326,1.17,7.8408,7.379028,0.461772,7.544189,7.327637,0.513163,422.5721,0.68877,0.761462,52.1067,0.038184,0.700684,0.261133,10240,4327138,286,55812,45,84,45,84
1040,2.376,1.194,7.841544,7.425293,0.416251,7.57019,7.358521,0.483024,414.929,0.688184,0.756714,52.537,0.037305,0.700098,0.262598,10240,4248873,326,56035,43,86,43,86
1060,2.428,1.224,7.830442,7.397217,0.433225,7.543335,7.333496,0.496946,424.569,0.701855,0.761137,67.7781,0.038574,0.703027,0.258398,10240,4347587,294,55913,38,86,38,86
1080,2.473,1.245,7.819093,7.393677,0.425416,7.536621,7.324463,0.49463,445.4497,0.713086,0.770461,71.7531,0.040918,0.718164,0.240918,10240,4561405,293,55917,35,86,35,86
1100,2.515,1.267,7.80337,7.365967,0.437403,7.515259,7.2948,0.50857,454.6603,0.718457,0.772304,81.5187,0.04209,0.728613,0.229297,10240,4655721,328,55746,31,86,31,86
1120,2.559,1.289,7.805881,7.350464,0.455417,7.497437,7.285767,0.520114,437.2717,0.719824,0.760265,76.3156,0.039062,0.743359,0.217578,10240,4477662,265,55663,30,88,30,88
1140,2.606,1.314,7.796092,7.342285,0.453807,7.490967,7.275024,0.521067,446.5204,0.73877,0.76317,80.7672,0.040137,0.749219,0.210645,10240,4572369,292,55674,27,88,27,88
1160,2.65,1.335,7.786906,7.333862,0.453044,7.496826,7.281006,0.5059,432.2083,0.74668,0.752905,72.0472,0.038672,0.759473,0.201855,10240,4425813,290,55794,26,88,26,88
1180,2.696,1.358,7.778532,7.337158,0.441373,7.506836,7.2854,0.493131,450.9752,0.764062,0.763677,84.2809,0.041113,0.758691,0.200195,10240,4617986,282,55912,27,89,27,89
1200,2.74,1.38,7.768513,7.335938,0.432575,7.501953,7.271851,0.496662,443.6451,0.781836,0.75826,76.1482,0.039941,0.762402,0.197656,10240,4542926,284,55904,24,91,24,91
1220,2.784,1.403,7.757634,7.332275,0.425358,7.505005,7.275757,0.481877,488.9618,0.777051,0.780213,81.1638,0.045898,0.766309,0.187793,10240,5006969,331,55987,26,94,26,94
1240,2.829,1.425,7.759721,7.346313,0.413407,7.516602,7.290649,0.469072,488.7898,0.785156,0.779784,81.5895,0.045898,0.767285,0.186816,10240,5005208,272,56100,28,96,28,96
1260,2.874,1.448,7.760423,7.366211,0.394212,7.520386,7.297363,0.463059,490.7597,0.768359,0.780441,82.5258,0.046582,0.766504,0.186914,10240,5025379,294,56095,29,98,29,98
1280,2.92,1.472,7.753255,7.349976,0.403279,7.502441,7.289917,0.463338,486.6116,0.775781,0.777099,79.0906,0.045898,0.775,0.179102,10240,4982903,301,56093,29,99,29,99
1300,2.964,1.495,7.746815,7.331055,0.41576,7.509888,7.280518,0.466297,492.3432,0.781738,0.776532,80.7085,0.046289,0.789746,0.163965,10240,5041594,311,56001,28,99,28,99
1320,3.016,1.524,7.74934,7.363892,0.385449,7.51416,7.296021,0.45332,494.9448,0.789941,0.776502,83.5528,0.046777,0.794727,0.158496,10240,5068235,317,56046,30,100,30,100
