# epoch 0  H=7.9971 C=8.0032 HO=-0.0034  A(t)=0
        75  ________________  20202020202020202020202020202020
        60  ................  d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3
        57  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
        56  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        47  ................  ffffffffffffffffffffffffffffffff
# epoch 180  H=7.9839 C=7.6584 HO=0.2957  A(t)=0
       142  pppppppppppppppp  70707070707070707070707070707070
        86  ................  01010101010101010101010101010101
        80  ................  fefefefefefefefefefefefefefefefe
        74  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
        71  ################  23232323232323232323232323232323
        58  ________________  20202020202020202020202020202020
        50  ................  d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3
        47  ................  ffffffffffffffffffffffffffffffff
        46  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
        41  ................  ebebebebebebebebebebebebebebebeb
# epoch 200  H=7.9834 C=7.6434 HO=0.3050  A(t)=0
       143  pppppppppppppppp  70707070707070707070707070707070
       115  ................  fefefefefefefefefefefefefefefefe
        86  ................  01010101010101010101010101010101
        71  ################  23232323232323232323232323232323
        58  ________________  20202020202020202020202020202020
        57  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
        46  ................  ffffffffffffffffffffffffffffffff
        41  ''''''''''''''''  27272727272727272727272727272727
        41  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
        40  ................  eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
# epoch 220  H=7.9806 C=7.6129 HO=0.3370  A(t)=0
       140  pppppppppppppppp  70707070707070707070707070707070
       109  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
       103  ................  fefefefefefefefefefefefefefefefe
        97  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        71  ################  23232323232323232323232323232323
        70  ................  01010101010101010101010101010101
        59  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
        57  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
        51  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        46  ________________  20202020202020202020202020202020
# epoch 240  H=7.9801 C=7.5886 HO=0.3663  A(t)=0
       135  pppppppppppppppp  70707070707070707070707070707070
       112  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       102  ................  fefefefefefefefefefefefefefefefe
        94  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
