epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,copies_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive,distinct_tapes,distinct_labels
6750,404.231,369.173,7.981873,7.921455,0.060417,7.971714,7.899708,0.082165,839.5449,0.529075,0.904171,144.3774,8.7793,0.092313,0.412469,0.495218,4096000,3438775791,128396,1858688,131,251,131,251,32768,
7000,419.836,383.531,7.98198,7.92001,0.06197,7.971596,7.899292,0.082688,842.9426,0.529869,0.904341,146.2833,8.7153,0.092668,0.41357,0.493762,4096000,3452693039,127987,1858561,126,252,126,252,32768,
7250,435.492,397.885,7.981496,7.918701,0.062795,7.97221,7.899239,0.082258,831.6489,0.530874,0.902959,146.7716,9.0165,0.091214,0.414593,0.494193,4096000,3406434058,127895,1858519,134,254,134,254,32768,
7500,451.032,412.189,7.981461,7.919136,0.062325,7.971622,7.898373,0.083089,827.6871,0.533527,0.902728,146.2502,9.5834,0.090726,0.412759,0.496515,4096000,3390206401,128015,1858442,134,255,134,255,32768,
7750,466.479,426.35,7.98072,7.915642,0.065078,7.968014,7.894512,0.086208,818.9401,0.531364,0.901885,147.5902,9.8538,0.089723,0.411391,0.498885,4096000,3354378790,128558,1858020,134,255,134,255,32768,
8000,481.917,440.601,7.980742,7.917522,0.06322,7.967087,7.894295,0.086448,819.8219,0.529965,0.902132,150.5498,10.6003,0.089875,0.40967,0.500455,4096000,3357990644,128142,1858053,121,255,121,255,32768,
8250,497.801,455.271,7.980437,7.917545,0.062892,7.968826,7.893589,0.086848,831.5136,0.530574,0.903389,153.5134,10.2765,0.091347,0.410067,0.498587,4096000,3405879557,127967,1858268,127,255,127,255,32768,
8500,513.991,470.13,7.980484,7.921692,0.058792,7.969872,7.897305,0.083179,834.4002,0.530319,0.903814,153.8326,9.6979,0.091693,0.41054,0.497767,4096000,3417703246,127919,1858704,118,255,118,255,32768,
8750,529.572,484.431,7.980278,7.908943,0.071335,7.95895,7.887806,0.092472,825.5061,0.530526,0.902972,151.4548,9.1404,0.09048,0.410057,0.499463,4096000,3381273052,127811,1856080,111,255,111,255,32740,
9000,545.405,499.008,7.97997,7.889748,0.090222,7.940155,7.864536,0.115434,840.5086,0.533268,0.904764,151.0519,9.67,0.092451,0.410894,0.496656,4096000,3442723112,128164,1850926,113,255,113,255,32667,
9250,561.603,513.87,7.979827,7.875664,0.104163,7.927471,7.853001,0.126827,850.3195,0.534893,0.90582,149.1921,9.9513,0.093695,0.41129,0.495015,4096000,3482908646,127718,1848221,119,255,119,255,32641,
9500,577.762,528.755,7.979297,7.872353,0.106944,7.923702,7.845947,0.13335,859.9482,0.535467,0.906977,148.8072,9.9985,0.094886,0.410101,0.495014,4096000,3522347958,127944,1847511,112,255,112,255,32666,
9750,594.23,543.91,7.978873,7.876038,0.102836,7.928753,7.850559,0.128314,849.2605,0.534268,0.905881,151.9923,9.919,0.093632,0.409935,0.496433,4096000,3478571139,127849,1849599,130,277,130,277,32690,
10000,611.003,559.376,7.979269,7.881218,0.098051,7.934669,7.856693,0.122576,850.0844,0.533132,0.906014,152.5993,9.4766,0.09371,0.409579,0.496711,4096000,3481945596,127401,1851622,135,288,135,288,32716,
10250,626.972,574.053,7.979207,7.88369,0.095517,7.936901,7.86124,0.117967,846.4264,0.531771,0.905603,150.5905,8.8759,0.093215,0.408826,0.497959,4096000,3466962362,128399,1853165,152,311,152,311,32746,
10500,643.089,588.82,7.979279,7.891483,0.087796,7.945095,7.868298,0.110981,833.692,0.532705,0.904071,149.549,8.3522,0.09173,0.408619,0.499651,4096000,3414802380,128220,1855034,148,313,148,313,32752,
10750,658.838,603.258,7.979217,7.893967,0.085251,7.951252,7.874161,0.105056,830.3008,0.531887,0.903501,147.9253,7.9691,0.091378,0.410842,0.49778,4096000,3400912036,127762,1856236,132,315,132,315,32767,
11000,674.49,617.66,7.978997,7.89867,0.080327,7.951141,7.876518,0.102479,834.0784,0.533869,0.90379,146.0525,8.573,0.091778,0.412313,0.495909,4096000,3416385139,128234,1856416,128,324,128,324,32767,
11250,690.379,632.279,7.979309,7.90313,0.076179,7.958145,7.882301,0.097008,837.7754,0.534936,0.904323,145.368,8.9441,0.092153,0.411762,0.496085,4096000,3431527992,127667,1857915,123,329,123,329,32768,
