# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  ...N??H^...!k8..  fffffd4e3f3f485ee193a6216b38febd
         1  .....c.[7..$..._  fffff4b3d563de5b370df3248513ca5f
         1  ........].or..R.  ffffee8a0fe2e5905d146f72960a52d9
         1  .........1.[....  ffffe9910185b3aac631805bd3811707
         1  .....z"f.w.j.F.|  ffffca99f27a2266fb77d06ad6462e7c
         1  ...?..."..J.I..S  ffffc63ff2950922e4114a1649971953
         1  ...8....V....L.j  ffff9e38a2f9028c568f04fc9e4c8c6a
         1  ....e.......aB..  ffff99c465cebccfde02acf26142eb0a
         1  ........:c......  ffff8dc29f19acda3a630b8811809de9
         1  ....}zNZa....4..  ffff8acd7d7a4e5a611ffdf8f03407ab
# epoch 250  H=7.9986 C=7.9621 HO=-0.0014  A(t)=0
       213  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       179  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       157  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        76  ................  d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6
        75  7777777777777777  37373737373737373737373737373737
        69  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        67  ................  e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
        63  !!!!!!!!!!!!!!!!  21212121212121212121212121212121
        44  ................  1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e
        43  ................  b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
# epoch 500  H=7.9972 C=7.9453 HO=-0.0029  A(t)=0
       205  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       139  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       118  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        86  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        62  ................  a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
        59  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        58  ................  d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6
        54  !!!!!!!!!!!!!!!!  21212121212121212121212121212121
        50  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
        49  UUUUUUUUUUUUUUUU  55555555555555555555555555555555
# epoch 750  H=7.9960 C=7.9338 HO=0.0581  A(t)=0
       203  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       137  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        91  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        84  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        60  ................  ffffffffffffffffffffffffffffffff
        58  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        55  ................  1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f
        54  !!!!!!!!!!!!!!!!  21212121212121212121212121212121
        44  ................  cfcfcfcfcfcfcfcfcfcfcfcfcfcfcfcf
        44  ................  a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
# epoch 1000  H=7.9949 C=7.9296 HO=0.0557  A(t)=0
       177  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       100  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        79  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        75  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        69  ................  1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f
        61  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        49  EEEEEEEEEEEEEEEE  45454545454545454545454545454545
        48  !!!!!!!!!!!!!!!!  21212121212121212121212121212121
        46  ................  95959595959595959595959595959595
        46  3333333333333333  33333333333333333333333333333333
# epoch 1250  H=7.9939 C=7.9249 HO=0.0591  A(t)=128
       168  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       113  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       108  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        65  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        56  ................  1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f
        49  ................  87878787878787878787878787878787
        49  ((((((((((((((((  28282828282828282828282828282828
        46  3333333333333333  33333333333333333333333333333333
        44  ................  a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
        42  ................  a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
# epoch 1500  H=7.9929 C=7.9237 HO=0.0579  A(t)=143
       134  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       111  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        78  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        74  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        54  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        50  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        46  ................  06060606060606060606060606060606
        44  ................  d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
        43  3333333333333333  33333333333333333333333333333333
        39  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
# epoch 1750  H=7.9922 C=7.9193 HO=0.0597  A(t)=163
       196  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       141  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        67  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        53  ................  d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5
        50  ................  87878787878787878787878787878787
        39  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        38  ################  23232323232323232323232323232323
        37  HHHHHHHHHHHHHHHH  48484848484848484848484848484848
        37  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        35  ................  c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7
# epoch 2000  H=7.9915 C=7.9181 HO=0.0592  A(t)=173
       174  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       148  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       116  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        63  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        46  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        45  4444444444444444  34343434343434343434343434343434
        41  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        39  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
        39  ................  82828282828282828282828282828282
        37  ................  b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3
# epoch 2250  H=7.9904 C=7.9158 HO=0.0586  A(t)=185
       199  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       111  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        96  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
