epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,copies_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive,distinct_tapes,distinct_labels
0,1.049,0.0,7.999913,8.000019,-0.000106,8.000019,8.002464,-0.002551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1867776,0,0,0,0,32768,
250,14.701,12.486,7.998621,8.000019,-0.001398,7.984657,7.959583,0.039037,694.948,0.510809,0.860957,86.645,5.1554,0.07228,0.58785,0.33987,4096000,2846506901,128208,1858687,0,0,0,0,32768,
500,29.104,25.647,7.997139,8.000019,-0.00288,7.981831,7.942577,0.054562,745.1572,0.51475,0.876215,101.3216,6.7507,0.079204,0.538586,0.382209,4096000,3052163791,128354,1857731,0,0,0,0,32768,
750,43.995,39.256,7.995651,7.937057,0.058593,7.97744,7.932133,0.063518,766.9565,0.516086,0.882813,107.9893,6.8553,0.082196,0.513484,0.404319,4096000,3141453975,128031,1857511,0,0,0,0,32768,
1000,58.819,52.805,7.994104,7.933067,0.061037,7.976097,7.924244,0.06986,773.4185,0.517464,0.885751,113.642,7.1004,0.083223,0.495248,0.42153,4096000,3167922131,127805,1857504,0,0,0,0,32768,
1250,72.95,65.987,7.992817,7.928944,0.063873,7.974602,7.917572,0.075245,768.3538,0.51788,0.886653,113.1758,7.1515,0.082823,0.48189,0.435288,4096000,3147177133,127971,1857376,123,123,123,123,32768,
1500,87.714,79.466,7.991759,7.925846,0.065913,7.973171,7.911583,0.080176,772.3973,0.518463,0.888513,114.9006,7.5377,0.083389,0.471033,0.445578,4096000,3163739183,128705,1857266,134,145,134,145,32768,
1750,102.196,92.668,7.990954,7.927002,0.063952,7.976624,7.910458,0.080496,764.7344,0.516882,0.888245,115.9462,7.9864,0.082446,0.464392,0.453162,4096000,3132351903,127376,1857761,135,158,135,158,32768,
2000,116.658,106.277,7.99026,7.928268,0.061992,7.975624,7.909039,0.081222,772.4825,0.517644,0.890091,121.2313,9.1496,0.083524,0.45844,0.458036,4096000,3164088116,128017,1858204,128,168,128,168,32768,
2250,131.337,120.021,7.989498,7.927143,0.062355,7.977409,7.907326,0.082172,780.5429,0.519885,0.891804,124.5404,8.8329,0.084577,0.453991,0.461432,4096000,3197103626,127986,1858338,129,182,129,182,32768,
