# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       890  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       838  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       762  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       455  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
       452  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       371  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       352  ................  01010101010101010101010101010101
# epoch 2000  H=7.8071 C=7.2550 HO=0.4888  A(t)=296
      3073  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      2689  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1481  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       966  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       847  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       759  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       486  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       401  ................  ffffffffffffffffffffffffffffffff
       380  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
       357  ................  89898989898989898989898989898989
# epoch 2250  H=7.7755 C=7.2394 HO=0.4676  A(t)=311
      2369  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1603  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       852  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       808  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       768  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       665  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       568  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       402  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       399  9999999999999999  39393939393939393939393939393939
       361  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
# epoch 2500  H=7.7478 C=7.2549 HO=0.4167  A(t)=317
      2007  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1317  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       815  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       673  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       566  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       526  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       492  9999999999999999  39393939393939393939393939393939
       419  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       359  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       346  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
# epoch 2750  H=7.7278 C=7.2724 HO=0.3794  A(t)=321
      1592  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1482  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       829  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       783  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       559  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       527  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       372  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       358  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       288  8888888888888888  38383838383838383838383838383838
       287  9999999999999999  39393939393939393939393939393939
# epoch 3000  H=7.7092 C=7.2879 HO=0.3433  A(t)=329
      1478  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
