rep,epoch,frac_bytes_a,frac_tapes_a,distinct_tapes,mean_steps,copies_per_run
0,0,0.5,0.5,2947,0.0,0.0
0,10,0.490921,0.490112,1168,8115.62,786.28
0,20,0.506958,0.506348,909,8111.24,775.821
0,30,0.521727,0.521118,843,8110.02,771.406
0,40,0.556782,0.555908,767,8083.18,751.108
0,50,0.535887,0.53418,778,8085.49,736.837
0,60,0.533035,0.531372,762,8065.54,733.17
0,70,0.514708,0.513428,763,8080.43,754.813
0,80,0.513006,0.511963,727,8114.07,765.25
0,90,0.514578,0.514343,740,8109.36,756.464
0,100,0.50411,0.504028,691,8126.75,761.625
0,110,0.500713,0.500732,694,8138.59,780.715
0,120,0.500025,0.499878,721,8140.1,790.31
0,130,0.472727,0.472656,763,8133.78,794.893
0,140,0.485699,0.485229,710,8144.26,796.571
0,150,0.49538,0.494263,767,8147.01,795.848
0,160,0.507072,0.506104,728,8147.57,795.159
0,170,0.492468,0.488892,693,8159.37,789.238
0,180,0.467951,0.466675,726,8144.92,802.1
0,190,0.447502,0.446777,715,8158.01,797.154
0,200,0.41758,0.417114,725,8143.48,785.481
0,210,0.418205,0.418335,694,8149.21,783.613
0,220,0.430914,0.432373,747,8141.66,786.987
0,230,0.444622,0.447144,709,8147.02,803.083
0,240,0.444622,0.447144,709,8156.55,794.535
0,250,0.456032,0.456665,695,8149.34,779.067
0,260,0.468554,0.469849,735,8150.76,781.612
0,270,0.483265,0.483887,696,8154.96,768.437
0,280,0.497128,0.498657,714,8159.81,768.069
0,290,0.487551,0.489258,740,8148.66,769.96
0,300,0.508429,0.510986,721,8146.67,778.428
1,0,0.5,0.5,2920,0.0,0.0
1,10,0.491425,0.491333,1155,8113.43,779.221
1,20,0.534531,0.536682,928,8116.06,771.422
1,30,0.528536,0.529541,803,8117.74,763.162
1,40,0.550444,0.550903,784,8109.37,765.188
1,50,0.569546,0.569824,743,8125.45,750.453
1,60,0.561895,0.563354,666,8126.86,740.905
1,70,0.527376,0.526611,724,8112.66,743.594
1,80,0.49807,0.495605,686,8108.48,774.875
1,90,0.502438,0.500122,730,8138.82,790.059
1,100,0.498329,0.49646,695,8152.34,784.704
1,110,0.460253,0.460815,710,8141.44,800.68
1,120,0.459229,0.458984,667,8126.44,823.219
1,130,0.44854,0.448242,679,8113.56,823.954
1,140,0.461691,0.461304,707,8141.59,823.907
1,150,0.473791,0.473755,680,8111.69,819.309
1,160,0.448092,0.447021,646,8144.29,836.278
1,170,0.438765,0.437866,623,8150.8,845.096
1,180,0.451111,0.449463,618,8159.72,835.551
1,190,0.46007,0.457275,669,8146.85,821.427
1,200,0.444876,0.442871,697,8156.36,826.261
1,210,0.461369,0.460205,685,8149.67,816.939
1,220,0.446344,0.447327,694,8150.11,828.131
1,230,0.435961,0.434814,712,8146.79,834.634
1,240,0.45298,0.453247,700,8146.02,820.996
1,250,0.438475,0.437012,671,8150.24,816.489
1,260,0.411407,0.410095,680,8151.67,808.233
1,270,0.40661,0.404053,670,8145.82,824.726
1,280,0.398657,0.395142,694,8128.66,827.023
1,290,0.400763,0.394043,676,8135.36,820.506
1,300,0.424194,0.416504,665,8146.47,818.613
2,0,0.5,0.5,2941,0.0,0.0
2,10,0.485275,0.484619,1115,8100.22,781.557
2,20,0.492645,0.492188,913,8088.44,783.89
2,30,0.515097,0.51416,823,8112.52,785.536
2,40,0.5345,0.533936,790,8116.46,780.321
2,50,0.516455,0.515869,822,8094.83,781.111
2,60,0.518475,0.5177,783,8066.95,783.949
2,70,0.516756,0.515991,767,8087.03,786.939
2,80,0.524488,0.52356,720,8118.54,774.248
